time,stage,v,omega,sigma_f,sigma_l,sigma_psi,P_lpsi
0.0,0,0.09056452023329374,-3.0158351909480822e-09,0.00020000000650077256,0.0002500000141664129,0.0002500000141664129,-1.927515533483155e-27
0.0,1,0.0934221966301299,-2.8594331752859726e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,5.66028251458086e-10
0.0,2,0.09550663632129905,-2.7128253417238286e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,1.1499169803963979e-09
0.0,3,0.09714885936307271,-2.5713561242000685e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,1.7468334574045169e-09
0.0,4,0.09855570663052475,-2.43200333754381e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,2.3540138284237214e-09
0.0,5,0.09986073024574321,-2.2928357886532294e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,2.969986994864501e-09
0.0,6,0.10115405021997516,-2.1526545029632358e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,3.594116558900396e-09
0.0,7,0.10249949141204866,-2.0107529269854237e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,4.22632937277524e-09
0.0,8,0.10394390061892787,-1.866755361221155e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,4.8669511941005446e-09
0.0,9,0.10552149165705892,-1.7205074675887404e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,5.516600572968844e-09
0.0,10,0.1072548246523952,-1.5720018032223777e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,6.176109895825462e-09
0.0,11,0.10915325678185542,-1.4213271226627238e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,6.846452549902932e-09
0.0,12,0.11120919314836127,-1.2686339286220477e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,7.52866040478953e-09
0.0,13,0.11339207740603426,-1.114111197951095e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,8.223717861966787e-09
0.0,14,0.11563969162280807,-9.579708295381945e-10,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,8.9324183457545e-09
0.0,15,0.11785960037502367,-8.004374447887044e-10,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,9.655166418397052e-09
0.0,16,0.11992785760384284,-6.417419032087549e-10,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,1.039178892074095e-08
0.0,17,0.1216234073324869,-4.82117392701486e-10,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,1.1141338030764967e-08
0.0,18,0.1225774684743416,-3.217972933560963e-10,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,1.190148432659301e-08
0.0,19,0.12222422451979012,-1.6101424445762122e-10,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,1.2667593504557647e-08
0.0,20,,,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,1.3431494907806334e-08
0.1,0,0.06916779319592108,1.1075327999437774,0.00019999999999918398,0.00025000000000080313,0.00024999999999973085,3.0099794049030815e-20
0.1,1,0.07068699358119473,0.9973065933069285,0.0007477724536097047,0.0015091309040875993,0.002634958135695328,1.763374082588333e-08
0.1,2,0.07167955659952989,0.8869527142576848,0.0010472511803235516,0.0022289566864563174,0.003792633963087386,1.0063305535295449e-07
0.1,3,0.07228295939515589,0.7773664452422626,0.0012826388920011268,0.0028842351860973933,0.004738925849097904,2.572179084861768e-07
0.1,4,0.07257827895397223,0.6689992697087973,0.001482546496953499,0.0035227006719128102,0.0055822864672531326,4.953425406806512e-07
0.1,5,0.0726233931650879,0.5620100326275426,0.0016580342863549331,0.004153727003643462,0.0063598527897992365,8.225493209787285e-07
0.1,6,0.07246970683263707,0.4563560571004404,0.0018146492385576044,0.004776808373285931,0.007087422717169218,1.245827320279072e-06
0.1,7,0.07217043578958944,0.3518484036437438,0.001955617519147753,0.005388488292747118,0.007772231274639885,1.7715110358727213e-06
0.1,8,0.07178437438663474,0.2481857396687231,0.0020830473598872253,0.005984618809862627,0.008417644141219737,2.4052304011145823e-06
0.1,9,0.07137683290686528,0.14497563104723554,0.0021984853096795546,0.006561307037328327,0.009025325095803791,3.151920694602402e-06
