timestep,x,y,theta,sdf_value,risk_margin_stage0,risk_margin_5,risk_margin_max,path_s,predicted_s,solver_status,planner_projected_s_raw,planner_projected_s,planner_slice_start_s,planner_slice_lookback,slice_start_s,slice_end_s,slice_start_idx,slice_end_idx,slice_n_segments
0,0.075,0.7949999999999999,-1.5707963267948966,0.029999956488609314,,,,0.012781250000000003,0.02231023767182692,0,0.011250000000000093,0.04125000000000009,0.011250000000000093,0.03,0.0,2.891614275999009,0,15,16
1,0.075,0.7826598781955127,-1.570796326789561,0.0299999937415123,,,,0.023590121804487274,0.03210473200528579,0,0.023590121804487274,0.05359012180448727,0.023590121804487274,0.03,0.0,2.891614275999009,0,15,16
2,0.07500000000006113,0.7712021987588297,-1.547073703253855,0.02823362685739994,,,,0.03504780124117035,0.043100921678746316,0,0.03504780124117035,0.06504780124117035,0.03504780124117035,0.03,0.0,2.891614275999009,0,15,16
3,0.0752854196368662,0.7591729182236712,-1.5368456307692293,0.027194704860448837,,,,0.040732569125905976,0.05040156750814224,0,0.047077081776328855,0.07707708177632885,0.047077081776328855,0.03,0.0,2.891614275999009,0,15,16
4,0.07569115968672642,0.7472266492718979,-1.545563451286342,0.027430906891822815,,,,0.05504015675081423,0.06360562656421559,0,0.059023350728102164,0.08902335072810216,0.059023350728102164,0.03,0.0,2.891614275999009,0,15,16
5,0.07601277016383978,0.7344836617413224,-1.5445413556183776,0.02703385427594185,,,,0.05636056265642155,0.06824545094303966,0,0.07176633825867762,0.10176633825867762,0.07176633825867762,0.03,0.0,2.891614275999009,0,15,16
6,0.07632994960195597,0.722405699328537,-1.5512998521190902,0.027216464281082153,,,,0.07103068136787996,0.08189592633080313,0,0.08384430067146298,0.11384430067146298,0.08384430067146298,0.03,0.0,2.891614275999009,0,15,16
7,0.0765790033445429,0.7096330217148097,-1.5463932318575067,0.02660434879362583,,,,0.08728438894962046,0.09719358236569528,0,0.09661697828519034,0.12661697828519033,0.09661697828519034,0.03,0.0,2.891614275999009,0,15,16
8,0.07691562441260542,0.6958415642889391,-1.5377917624144044,0.025633996352553368,,,,0.08957903735485429,0.10305450870851675,0,0.11040843571106096,0.14040843571106096,0.11040843571106096,0.03,0.0,2.891614275999009,0,15,16
9,0.07733812900690083,0.6830448139156456,-1.5182638148347662,0.023785829544067383,,,,0.10553453902399043,0.11828859197529544,0,0.12320518608435439,0.1532051860843544,0.1232051860843544,0.03,0.0,2.891614275999009,0,15,16
10,0.07804345881150787,0.6696306284084529,-1.4886314351412129,0.021001199260354042,,,,0.12365771839505908,0.13544181756779514,0,0.13661937159154713,0.16661937159154713,0.13661937159154713,0.03,0.0,2.891614275999009,0,15,16
11,0.0791884881280015,0.6557262538159747,-1.4493775825597168,0.01854059100151062,,,,0.12708836351355904,0.14252888505866299,0,0.15052374618402534,0.18052374618402534,0.15052374618402534,0.03,0.0,2.891614275999009,0,15,16
