timestep,x,y,theta,sdf_value,risk_margin_stage0,risk_margin_5,risk_margin_max,path_s,predicted_s,solver_status,planner_projected_s_raw,planner_projected_s,planner_slice_start_s,planner_slice_lookback,slice_start_s,slice_end_s,slice_start_idx,slice_end_idx,slice_n_segments
0,0.3,0.2,0.0,0.10499998927116394,,,,0.015811388300841868,0.025739407585700372,0,0.015811388300841864,0.04581138830084186,0.01581138830084186,0.03,0.0,0.987913663321624,0,4,5
1,0.30905645201230764,0.2,-1.9210417643162867e-14,0.10499998927116394,,,,0.02628697037928502,0.03376525164312429,0,0.024403093064514093,0.05440309306451409,0.02440309306451409,0.03,0.0,0.987913663321624,0,4,5
2,0.3159396389125204,0.19999999999999987,0.10975640896970398,0.09705555438995361,,,,0.03093305751410601,0.039151117858291506,0,0.030933057514106004,0.06093305751410601,0.030933057514106008,0.03,0.0,0.987913663321624,0,4,5
3,0.32270718519185604,0.20074577865147483,0.1987997241633215,0.09032857418060303,,,,0.04043633383937187,0.04834765386412443,0,0.037589151554994586,0.06758915155499459,0.03758915155499459,0.03,0.0,0.987913663321624,0,4,5
4,0.3305098268097492,0.20231770462192492,0.2890626359194393,0.08317024260759354,,,,0.04548847397654297,0.055222220451516535,0,0.045488473976542966,0.07548847397654296,0.04548847397654296,0.03,0.0,0.987913663321624,0,4,5
5,0.33927810292631283,0.20492532185516354,0.36844722087169074,0.07608217000961304,,,,0.05552222204515165,0.06563245386925227,0,0.054631392053316144,0.08463139205331614,0.054631392053316144,0.03,0.0,0.987913663321624,0,4,5
6,0.3490254058314562,0.2086885396975878,0.4411323911365734,0.06859706342220306,,,,0.06506852949180944,0.07594399133222236,0,0.06506852949180943,0.09506852949180943,0.06506852949180943,0.03,0.0,0.987913663321624,0,4,5
7,0.35936713843756307,0.21357154008440082,0.5042152229095391,0.06079449504613876,,,,0.0764236987919087,0.08758219736400133,0,0.07642369879190869,0.10642369879190869,0.07642369879190869,0.03,0.0,0.987913663321624,0,4,5
8,0.3701132806977095,0.21950113668815086,0.5615675432545109,0.052471358329057693,,,,0.08813732960460019,0.09958422110583676,0,0.08849348755996927,0.11849348755996927,0.08849348755996927,0.03,0.0,0.987913663321624,0,4,5
9,0.38104554744667246,0.22637901243754616,0.6151661215532391,0.04358842596411705,,,,0.10103972171771615,0.11247969438549332,0,0.1010397217177161,0.1310397217177161,0.10103972171771611,0.03,0.0,0.987913663321624,0,4,5
10,0.39205012617354823,0.2341552494856193,0.6667461328216044,0.034099627286195755,,,,0.11393864382771472,0.1254173004434333,0,0.11393864382771468,0.14393864382771468,0.11393864382771468,0.03,0.0,0.987913663321624,0,4,5
11,0.40290507311781754,0.24269778404751857,0.7173704066869826,0.02456848882138729,,,,0.12508346008868668,0.13719721329535642,0,0.12693793731559846,0.15693793731559846,0.12693793731559846,0.03,0.0,0.987913663321624,0,4,5
12,0.4133388363791866,0.2518004723928624,0.7689755673705986,0.01753879152238369,,,,0.139714797057668,0.15145907362619232,0,0.13971479705766796,0.16971479705766795,0.13971479705766796,0.03,0.0,0.987913663321624,0,4,5
13,0.4235797731687704,0.261710449116223,0.8235850094100836,0.013959337025880814,,,,0.15256401254684435,0.16464541479246958,0,0.1525640125468443,0.1825640125468443,0.1525640125468443,0.03,0.0,0.987913663321624,0,4,5
14,0.4333484698266808,0.272255230715114,0.8822777384441206,0.010845132172107697,,,,0.16207629766126078,0.17556429488035574,0,0.16207629766126078,0.19207629766126078,0.16207629766126078,0.03,0.158113883008419,0.987913663321624,1,4,4
15,0.4422671822238165,0.2830940558882846,0.9454137963810114,0.008166410028934479,,,,0.17604698645677236,0.1895939115299517,0,0.17604698645677236,0.20604698645677236,0.17604698645677236,0.03,0.158113883008419,0.987913663321624,1,4,4
16,0.4505548978134657,0.29457183308691953,1.0144015437528253,0.005973480641841888,,,,0.19002330044086185,0.20385986117037444,0,0.19002330044086185,0.22002330044086185,0.19002330044086185,0.03,0.158113883008419,0.987913663321624,1,4,4
17,0.4580476979625423,0.30661932608093095,1.0910680437441165,0.004339106380939484,,,,0.2038403742287124,0.218302991916161,0,0.2038403742287124,0.2338403742287124,0.2038403742287124,0.03,0.158113883008419,0.987913663321624,1,4,4
18,0.46463307984832336,0.3192770585119966,1.176748306632103,0.003391128033399582,,,,0.21744731085330266,0.23293689083958005,0,0.21744731085330266,0.24744731085330265,0.21744731085330266,0.03,0.158113883008419,0.987913663321624,1,4,4
19,0.4702435141474077,0.33277033437904324,1.2482010362827278,0.0033719502389431,,,,0.23659489550611695,0.25165107241617973,0,0.23659489550611695,0.2665948955061169,0.23659489550611693,0.03,0.22882456112707372,0.987913663321624,2,4,3
20,0.4750936390529477,0.3472798418952178,1.308730995589336,0.004087995737791061,,,,0.25110440302229153,0.26723455313150335,0,0.25110440302229153,0.28110440302229156,0.25110440302229153,0.03,0.22882456112707372,0.987913663321624,2,4,3
21,0.4790561331453133,0.36205235544205944,1.3586711669887581,0.005307000130414963,,,,0.2692053105274059,0.2851272410811426,0,0.26587691656913315,0.2958769165691332,0.26587691656913315,0.03,0.22882456112707372,0.987913663321624,2,4,3
22,0.482356914346644,0.3773787954553199,1.3988470546601584,0.006826456636190414,,,,0.2844548291224806,0.30087321019120256,0,0.2812033565823936,0.3112033565823936,0.2812033565823936,0.03,0.22882456112707372,0.987913663321624,2,4,3
23,0.4850472034368329,0.3928701229635847,1.4299315426860064,0.008433468639850616,,,,0.3003306422600898,0.31678353094123485,0,0.2966946840906584,0.3266946840906584,0.29669468409065836,0.03,0.22882456112707372,0.987913663321624,2,4,3
24,0.4872738174658637,0.40857218107500864,1.4525317407158902,0.009927928447723389,,,,0.3170184065991979,0.33307826075266944,0,0.31239674220208236,0.3423967422020824,0.31239674220208236,0.03,0.22882456112707372,0.987913663321624,2,4,3
25,0.48917330649574103,0.42455858141604996,1.4673136351086526,0.011666649952530861,,,,0.334568958561553,0.3498523386258844,0,0.3283831425431237,0.35838314254312365,0.3283831425431236,0.03,0.22882456112707372,0.987913663321624,2,4,3
26,0.49087024744496266,0.44089831192952506,1.4748603902035067,0.013892985880374908,,,,0.35303011662683587,0.36724710399616817,0,0.34472287305659877,0.3747228730565988,0.34472287305659877,0.03,0.22882456112707372,0.987913663321624,2,4,3
27,0.4924837021368246,0.45766472699161476,1.4832397255835943,0.016097713261842728,,,,0.3614892881186884,0.37766731148748356,0,0.3614892881186884,0.39148928811868844,0.3614892881186884,0.03,0.22882456112707372,0.987913663321624,2,4,3
