timestep,x,y,theta,sdf_value,risk_margin_stage0,risk_margin_5,risk_margin_max,path_s,predicted_s,solver_status,planner_projected_s_raw,planner_projected_s,planner_slice_start_s,planner_slice_lookback,slice_start_s,slice_end_s,slice_start_idx,slice_end_idx,slice_n_segments
0,0.075,0.7949999999999999,-1.5707963267948966,0.029999956488609314,,,,,,0,,,,,,,,,
1,0.075,0.7807206412298408,-1.5660363999947169,0.03964340686798096,,,,,,0,,,,,,,,,
2,0.07511661571593904,0.7562213495146151,-1.5837237966056583,0.03891678899526596,,,,,,0,,,,,,,,,
3,0.07481019500992235,0.7325196011687116,-1.5455987341604975,0.03793167695403099,,,,,,0,,,,,,,,,
4,0.07539286358942132,0.7094005172542054,-1.5077567896729605,0.0349518321454525,,,,,,0,,,,,,,,,
5,0.07690913895028059,0.6853796194699855,-1.4904527634764073,0.03218448907136917,,,,,,0,,,,,,,,,
6,0.07888748846633307,0.660809003048867,-1.4231952460573385,0.026396386325359344,,,,,,0,,,,,,,,,
7,0.08171298194675548,0.6418054510781125,-1.3231952461440197,0.02095884457230568,,,,,,0,,,,,,,,,
8,0.08537740292695264,0.6273094355898984,-1.2231952461472257,0.016454920172691345,,,,,,0,,,,,,,,,
9,0.08971647942389079,0.6153333683600276,-1.1231952461472603,0.01270853728055954,,,,,,0,,,,,,,,,
10,0.09629028432321529,0.6016407882902416,-1.0231952461495433,0.010001834481954575,,,,,,0,,,,,,,,,
11,0.10402951748426467,0.588949555033388,-0.9231952461521802,0.008329462260007858,,,,,,0,,,,,,,,,
12,0.1126199605100004,0.5775929345512459,-0.8231952461521804,0.007645793259143829,,,,,,0,,,,,,,,,
13,0.12222080030496077,0.5672374442941494,-0.7231952461521807,0.007945768535137177,,,,,,0,,,,,,,,,
14,0.13293754868303845,0.5577773740916919,-0.623195246152181,0.009243771433830261,,,,,,0,,,,,,,,,
15,0.1450234496033502,0.5490907076586627,-0.5231952461604332,0.011585589498281479,,,,,,0,,,,,,,,,
16,0.15852810402771056,0.5413010561335536,-0.4231952461604337,0.01501832902431488,,,,,,0,,,,,,,,,
17,0.18148269391121463,0.5309620678176614,-0.32319524616043416,0.020464729517698288,,,,,,0,,,,,,,,,
18,0.20259381220549125,0.523891124192585,-0.2231952461604348,0.023158323019742966,,,,,,0,,,,,,,,,
19,0.22017573580630304,0.519900434408951,-0.1231952461625026,0.025949424132704735,,,,,,0,,,,,,,,,
20,0.23882497115218504,0.5175912431812221,-0.023195246178490697,0.030861174687743187,,,,,,0,,,,,,,,,
21,0.25906994139655226,0.5171215718787419,0.07680475380938233,0.02647004835307598,,,,,,0,,,,,,,,,
22,0.2802131892852289,0.5187486744964402,0.17680475380208982,0.021102963015437126,,,,,,0,,,,,,,,,
23,0.3120400779144306,0.5244351969717824,0.27680475379851144,0.0202713031321764,,,,,,0,,,,,,,,,
24,0.3365133062854368,0.5313879931000529,0.35615949645056727,0.0224336925894022,,,,,,0,,,,,,,,,
25,0.3579457388195924,0.5393613838827174,0.3983665668997415,0.02800852060317993,,,,,,0,,,,,,,,,
26,0.3794057658254098,0.5483932467749509,0.4242038741132616,0.035625770688056946,,,,,,0,,,,,,,,,
27,0.4006960127492356,0.5580084396421008,0.44376398964196195,0.044197823852300644,,,,,,0,,,,,,,,,
28,0.4216831274260614,0.5679854396685338,0.4617402968991198,0.0517590269446373,,,,,,0,,,,,,,,,
29,0.4428486461097942,0.5785177854640466,0.5289103965490949,0.060455821454524994,,,,,,0,,,,,,,,,
30,0.46290222754584487,0.5902381870218814,0.4843387666768213,0.05442725867033005,,,,,,0,,,,,,,,,
31,0.48324411633659187,0.6009408295575247,0.4056486944110388,0.03403088450431824,,,,,,0,,,,,,,,,
32,0.5016090108834408,0.6088279576892494,0.35473229059041816,0.016036182641983032,,,,,,0,,,,,,,,,
33,0.517498922911849,0.61471359164554,0.32434308759387265,0.005238387733697891,,,,,,0,,,,,,,,,
34,0.5397139048540397,0.622182633427515,0.3047317438284362,0.004248656332492828,,,,,,0,,,,,,,,,
35,0.5624646428331883,0.6293383868108885,0.3165918984187158,0.004566174000501633,,,,,,0,,,,,,,,,
36,0.5849655239192404,0.6367099293088254,0.2992231236770156,0.004510566592216492,,,,,,0,,,,,,,,,
37,0.6073063849373335,0.6436017551633489,0.25150553177931234,0.005411718040704727,,,,,,0,,,,,,,,,
38,0.6295906078871824,0.6493276022580488,0.1515055317811561,0.009296495467424393,,,,,,0,,,,,,,,,
39,0.6596142527215034,0.6539114769631017,0.07896024160877999,0.014041204005479813,,,,,,0,,,,,,,,,
40,0.683096737746399,0.6557695227250783,0.025930024686857733,0.018836734816432,,,,,,0,,,,,,,,,
41,0.706287074842484,0.6563709835451571,-0.04842320889246271,0.019189003854990005,,,,,,0,,,,,,,,,
42,0.7276198673665455,0.655337173121471,-0.1484232087826457,0.0164191834628582,,,,,,0,,,,,,,,,
43,0.7432185745788716,0.6530048108530716,-0.24842320878159824,0.014710240066051483,,,,,,0,,,,,,,,,
44,0.7647791580021555,0.6475356886106435,-0.3484232087815974,0.014725185930728912,,,,,,0,,,,,,,,,
45,0.782419571065819,0.6411279385888935,-0.44842320868789654,0.016117021441459656,,,,,,0,,,,,,,,,
46,0.7974588489264381,0.6338923642327887,-0.5484232086857375,0.01866423711180687,,,,,,0,,,,,,,,,
47,0.8099053174337925,0.6262883461103818,-0.6319135888340228,0.008903127163648605,,,,,,0,,,,,,,,,
48,0.8195289825103376,0.6192433450139585,-0.6917395545365784,0.0015106648206710815,,,,,,0,,,,,,,,,
49,0.8373140213550326,0.6045126230739157,-0.706865880111324,0.0022802501916885376,,,,,,0,,,,,,,,,
50,0.8546955349714219,0.5896671815610331,-0.7222652911217036,0.0027029402554035187,,,,,,0,,,,,,,,,
51,0.8727007472696051,0.5738030816347797,-0.6945360079269122,0.0026007480919361115,,,,,,0,,,,,,,,,
52,0.8871286750175782,0.5617847525957022,-0.5945360079270667,0.0038674063980579376,,,,,,0,,,,,,,,,
53,0.9050151869226655,0.5496908729607047,-0.4945360079270671,0.006901208311319351,,,,,,0,,,,,,,,,
54,0.9225087840896549,0.5402578209689702,-0.3945360079291763,0.011500589549541473,,,,,,0,,,,,,,,,
55,0.938027022242873,0.5337965341030804,-0.2945360079291822,0.017313461750745773,,,,,,0,,,,,,,,,
56,0.9541163930770488,0.5289156713093903,-0.19453600795532391,0.02428223192691803,,,,,,0,,,,,,,,,
57,0.9715181805236988,0.5254870361473353,-0.09453600795532588,0.032589592039585114,,,,,,0,,,,,,,,,
58,0.9898383838287791,0.523749939331822,0.005463992041775251,0.03834069147706032,,,,,,0,,,,,,,,,
59,1.0084689730600855,0.5238517377361883,0.10546399204177434,0.03115108236670494,,,,,,0,,,,,,,,,
60,1.0265030070875227,0.525760762016442,0.20546399203762297,0.026195351034402847,,,,,,0,,,,,,,,,
61,1.0424693418591335,0.5290882246535256,0.3054639920371592,0.023153260350227356,,,,,,0,,,,,,,,,
62,1.0623108247081046,0.5353449045411189,0.40546399203715766,0.02359933964908123,,,,,,0,,,,,,,,,
63,1.0783725044368087,0.5422393628895904,0.5054639920371211,0.025300122797489166,,,,,,0,,,,,,,,,
64,1.091917799170573,0.5497355796204924,0.6054639920369482,0.026494404301047325,,,,,,0,,,,,,,,,
65,1.104041325043751,0.5581273431403476,0.7007192031872604,0.016063440591096878,,,,,,0,,,,,,,,,
66,1.1143769371760543,0.5668456238812272,0.7635453286583677,0.0072419228963553905,,,,,,0,,,,,,,,,
67,1.1225981318101685,0.5747151349982141,0.8109767114544283,0.003697287291288376,,,,,,0,,,,,,,,,
68,1.1387947521655972,0.5917622677851012,0.801023517340617,0.0032163336873054504,,,,,,0,,,,,,,,,
69,1.155207297869676,0.6086959017581711,0.7950115640386687,0.0030658282339572906,,,,,,0,,,,,,,,,
70,1.1720148669095574,0.6258297735188951,0.7467771529602002,0.002965688705444336,,,,,,0,,,,,,,,,
71,1.1858077023648086,0.638596347445239,0.646777152960202,0.0043535903096199036,,,,,,0,,,,,,,,,
72,1.2049848935541974,0.6530776475487136,0.5467771529604257,0.0077473558485507965,,,,,,0,,,,,,,,,
73,1.2228233839503366,0.663935573351649,0.4467771529607305,0.012798856943845749,,,,,,0,,,,,,,,,
74,1.2391051753492832,0.6717359574810918,0.34677715296075073,0.019175071269273758,,,,,,0,,,,,,,,,
75,1.2568578046194498,0.6781514114510065,0.2467771529607533,0.01958790235221386,,,,,,0,,,,,,,,,
76,1.2764605396831463,0.6830895708844498,0.14677825029609742,0.021317893639206886,,,,,,0,,,,,,,,,
77,1.29798913095915,0.6862723894660001,0.07795229546833389,0.02299340069293976,,,,,,0,,,,,,,,,
78,1.320770315102036,0.6880518408389564,0.030247361778968522,0.02469598315656185,,,,,,0,,,,,,,,,
79,1.344449239939733,0.6887682843504679,0.024342986969134194,0.02441655658185482,,,,,,0,,,,,,,,,
80,1.3684572552252872,0.6893528266211645,0.03432159985507659,0.023094182834029198,,,,,,0,,,,,,,,,
81,1.3925210517161795,0.690179059067088,0.04145657779254798,0.021742668002843857,,,,,,0,,,,,,,,,
82,1.4162792318222264,0.6911645565479343,0.060488199263886155,0.01936560496687889,,,,,,0,,,,,,,,,
83,1.4397176113718169,0.6925840335476544,0.09255181553620452,0.016598951071500778,,,,,,0,,,,,,,,,
84,1.4639638986421502,0.6948345008401436,0.15420618110372591,0.013975869864225388,,,,,,0,,,,,,,,,
85,1.4874096215269452,0.6984789095909653,0.2542061811026296,0.011699143797159195,,,,,,0,,,,,,,,,
86,1.5098845100594167,0.7043184966543736,0.3542061811026288,0.011274058371782303,,,,,,0,,,,,,,,,
87,1.5295209082443604,0.7115800855965937,0.4542061811020561,0.012476745992898941,,,,,,0,,,,,,,,,
88,1.5460273388182721,0.7196394051060293,0.5472873857008828,0.01487744227051735,,,,,,0,,,,,,,,,
89,1.5591570106458053,0.7276403529765474,0.6089577981233577,0.009304169565439224,,,,,,0,,,,,,,,,
90,1.5688092197658823,0.7343715013709111,0.6540015035386645,0.0019900910556316376,,,,,,0,,,,,,,,,
91,1.5873291355595023,0.7485677152867262,0.6587262037080616,0.002228822559118271,,,,,,0,,,,,,,,,
92,1.6062018631970396,0.7631764497052624,0.683420355268952,0.002873498946428299,,,,,,0,,,,,,,,,
93,1.6267859017201267,0.7799387347416147,0.6404547728677477,0.0028774403035640717,,,,,,0,,,,,,,,,
94,1.6434445285010006,0.7923535919401897,0.5404547728677478,0.004690065979957581,,,,,,0,,,,,,,,,
95,1.6596216400916022,0.8020606349388618,0.44045477286782775,0.00798969715833664,,,,,,0,,,,,,,,,
96,1.6758465654828534,0.8097080298196262,0.3404547728679256,0.012650404125452042,,,,,,0,,,,,,,,,
97,1.6920388808141533,0.8154441354863411,0.2404547728828816,0.01854993775486946,,,,,,0,,,,,,,,,
98,1.7077210494302602,0.8192893838467306,0.1404547733781435,0.025526490062475204,,,,,,0,,,,,,,,,
99,1.723175231868826,0.8214743847041758,0.04045477337814364,0.03347153589129448,,,,,,0,,,,,,,,,
100,1.7381158489834942,0.8220791339282598,-0.059545226618847355,0.03326864913105965,,,,,,0,,,,,,,,,
101,1.7523019949382295,0.8212334168818166,-0.15954522661884715,0.02775096520781517,,,,,,0,,,,,,,,,
102,1.7654487571837132,0.8191179335357808,-0.25954522661649665,0.022935736924409866,,,,,,0,,,,,,,,,
103,1.7774837832112214,0.815922217183358,-0.3595452266164413,0.01878466084599495,,,,,,0,,,,,,,,,
104,1.7880454509335806,0.8119522580699654,-0.45954522661621877,0.015222631394863129,,,,,,0,,,,,,,,,
105,1.800343176977562,0.805866328780273,-0.5595452266162183,0.012528672814369202,,,,,,0,,,,,,,,,
106,1.812078156594414,0.7985165210994192,-0.6595452266055815,0.010742176324129105,,,,,,0,,,,,,,,,
107,1.822890944214456,0.7901325400164062,-0.7595452266055107,0.009864654392004013,,,,,,0,,,,,,,,,
108,1.833100633872769,0.780437559222989,-0.8595452261999502,0.009944424033164978,,,,,,0,,,,,,,,,
109,1.842697704003661,0.769300273910136,-0.9595452261955147,0.011042814701795578,,,,,,0,,,,,,,,,
110,1.8515466713545317,0.756673011798469,-1.0595452261943,0.01322048157453537,,,,,,0,,,,,,,,,
111,1.8594999522890265,0.7424961014510552,-1.159545226194287,0.016539212316274643,,,,,,0,,,,,,,,,
112,1.8699366274210294,0.7185653296218862,-1.2595452261757187,0.021949399262666702,,,,,,0,,,,,,,,,
113,1.876893218658489,0.6969413684450664,-1.359545226175718,0.023158710449934006,,,,,,0,,,,,,,,,
114,1.8807707769181121,0.6788600206726343,-1.4595452255014572,0.026118993759155273,,,,,,0,,,,,,,,,
115,1.8828924440099128,0.6598677888545385,-1.5595452174752389,0.031265951693058014,,,,,,0,,,,,,,,,
116,1.8831358171883097,0.6382376631429287,-1.6244446748918036,0.027892908081412315,,,,,,0,,,,,,,,,
117,1.8819043760286152,0.6153057453036901,-1.6742714237143352,0.025536101311445236,,,,,,0,,,,,,,,,
118,1.87947549831969,0.591916515964003,-1.7069829265982501,0.02566618099808693,,,,,,0,,,,,,,,,
119,1.8762289095419298,0.5682248116802632,-1.7201558839924374,0.02800043486058712,,,,,,0,,,,,,,,,
120,1.8726595083366098,0.5445047410261294,-1.7119216395409556,0.02745826542377472,,,,,,0,,,,,,,,,
121,1.8693557713487077,0.5212504080583124,-1.7144462402061782,0.023979611694812775,,,,,,0,,,,,,,,,
122,1.8660888772839863,0.49866499952480464,-1.7329715297311066,0.02236400917172432,,,,,,0,,,,,,,,,
123,1.8623812777381354,0.47600408669736144,-1.832971464805076,0.018509812653064728,,,,,,0,,,,,,,,,
124,1.8567043738794256,0.45484939179432365,-1.9329714648050742,0.016307707875967026,,,,,,0,,,,,,,,,
125,1.8479001469490248,0.43161238697273224,-2.0329714648050716,0.01607370376586914,,,,,,0,,,,,,,,,
126,1.8387617515228962,0.41326811723948736,-2.1271640615306406,0.017314042896032333,,,,,,0,,,,,,,,,
127,1.8299144712733786,0.39904193029146334,-2.1877436294947246,0.01761910878121853,,,,,,0,,,,,,,,,
128,1.8220741562403013,0.3879884981657727,-2.234058471162968,0.007340217940509319,,,,,,0,,,,,,,,,
