timestep,x,y,theta,sdf_value,risk_margin_stage0,risk_margin_5,risk_margin_max,path_s,predicted_s,solver_status,planner_projected_s_raw,planner_projected_s,planner_slice_start_s,planner_slice_lookback,slice_start_s,slice_end_s,slice_start_idx,slice_end_idx,slice_n_segments
0,0.3,0.2,0.0,0.10499998927116394,0.00021099633908402396,0.0002117430469387641,0.0002117430469387641,0.015811388300841868,0.025739407847445668,0,0.015811388300841864,0.04581138830084186,0.01581138830084186,0.03,0.0,0.987913663321624,0,4,5
1,0.3090564521018531,0.2,-1.8079246661986086e-09,0.10499998927116394,0.0002109962435451196,0.004503634717534437,0.006887469886312172,0.026286970392372284,0.03386726926654612,0,0.024403093149464396,0.0544030931494644,0.0244030931494644,0.03,0.0,0.987913663321624,0,4,5
2,0.3163106938612317,0.1999999999868849,0.07650498067458719,0.09939934313297272,0.00021071926131504756,0.005725927373865762,0.0089881167853074,0.03128507114246005,0.0392996555318437,0,0.03128507114246005,0.06128507114246005,0.03128507114246005,0.03,0.0,0.987913663321624,0,4,5
3,0.3228402675197319,0.20050052179475378,0.17762067646803736,0.09195585548877716,0.00020967815560060153,0.006517097290891287,0.012946649795554795,0.04044747416488828,0.048431162694373156,0,0.03763784750881487,0.06763784750881487,0.03763784750881487,0.03,0.0,0.987913663321624,0,4,5
4,0.3306720981029668,0.20190643311286377,0.2710009059532694,0.08465871214866638,0.0002080596877621769,0.007062709924870885,0.014511929681378329,0.045512362571634796,0.05489903663654024,0,0.04551236257163479,0.0755123625716348,0.045512362571634796,0.03,0.0,0.987913663321624,0,4,5
5,0.3391920975266101,0.2042735957172475,0.3415964894560072,0.07820206135511398,0.000206443052753499,0.00793522483198078,0.016010104471543822,0.05548990366365403,0.06503362182229841,0,0.054343706266428045,0.08434370626642804,0.05434370626642804,0.03,0.0,0.987913663321624,0,4,5
6,0.3486376425476248,0.20763180956008356,0.40333062176865214,0.07154273241758347,0.0002047729305509339,0.009520633526020937,0.016933097701284247,0.06436649753017576,0.07456242101905229,0,0.06436649753017575,0.09436649753017574,0.06436649753017575,0.03,0.0,0.987913663321624,0,4,5
7,0.35855690938450363,0.21186460625701745,0.45444655034244574,0.06478030979633331,0.00020322372093060223,0.011438718881843217,0.017533324154138295,0.0751152681507039,0.08532164816136581,0,0.07511526815070388,0.10511526815070388,0.07511526815070388,0.03,0.0,0.987913663321624,0,4,5
8,0.3687364374797224,0.21683782514126798,0.4935277719518506,0.05800195783376694,0.00020194613153112035,0.012421701806293066,0.01818122008418933,0.08634508633435321,0.09645556643045047,0,0.08634508633435319,0.11634508633435318,0.08634508633435319,0.03,0.0,0.987913663321624,0,4,5
9,0.3790302278714682,0.22237514467678823,0.5221073896998223,0.051217105239629745,0.000200964780580862,0.013323708069119873,0.0190654235163222,0.09786168753907426,0.10791935196806149,0,0.09786168753907423,0.12786168753907423,0.09786168753907423,0.03,0.0,0.987913663321624,0,4,5
10,0.3894634481127023,0.22837803841470872,0.5432828768559957,0.04465796425938606,0.0002042231062913482,0.014243555355530436,0.02023195252675023,0.10638588659441076,0.11752722076961841,0,0.10965779100319464,0.13965779100319464,0.10965779100319464,0.03,0.0,0.987913663321624,0,4,5
11,0.39990854000963544,0.23468583886065617,0.5617551609079402,0.03996822610497475,0.00020945630551292912,0.015789370328123303,0.020439035160428748,0.12156157687591991,0.1319692737419242,0,0.12156157687591988,0.15156157687591987,0.12156157687591987,0.03,0.0,0.987913663321624,0,4,5
12,0.4110738709921867,0.24171326787342332,0.5841820662341609,0.037648312747478485,0.00021094002334240015,0.012480669856049778,0.023392536430517915,0.13437620807382145,0.14261488619041846,0,0.13437620807382142,0.16437620807382142,0.13437620807382142,0.03,0.0,0.987913663321624,0,4,5
13,0.41985743640217704,0.24752062848018397,0.6479646800282685,0.03360435366630554,0.00021086243163843412,0.017661776568901093,0.026085269497065806,0.14454547854674366,0.15539581319677917,0,0.14454547854674363,0.17454547854674363,0.14454547854674363,0.03,0.0,0.987913663321624,0,4,5
14,0.4310967002026689,0.2560287264836182,0.7071247763958867,0.030400782823562622,0.00021073985018819094,0.012902839556850102,0.028914824225731356,0.15789847722133232,0.1665291592533499,0,0.1578984772213323,0.1878984772213323,0.1578984772213323,0.03,0.0,0.987913663321624,0,4,5
15,0.43984932217742606,0.2635082057864065,0.7733596235911794,0.02726362645626068,0.00021066597436262123,0.01701485717749953,0.031723756582360894,0.1604880137996684,0.1741624279735384,0,0.1604880137996684,0.1904880137996684,0.1604880137996684,0.03,0.158113883008419,0.987913663321624,1,4,4
16,0.44996564236402437,0.27338384040196717,0.8300353327604162,0.025127917528152466,0.0002105709848876973,0.018278986074300743,0.03364310394749096,0.17462446060945,0.18619909892905342,0,0.17462446060945,0.20462446060945,0.17462446060945,0.03,0.158113883008419,0.987913663321624,1,4,4
17,0.4575077948901239,0.2816312633568908,0.9500306904423872,0.021210134029388428,0.00021054699318141774,0.02126836889981723,0.03417507942086628,0.18578937650413832,0.20003138078103927,0,0.18578937650413832,0.21578937650413832,0.18578937650413832,0.03,0.158113883008419,0.987913663321624,1,4,4
18,0.4672086950402564,0.29519771318323185,1.0017476883574594,0.020086325705051422,0.00021046301835697987,0.023400353698381202,0.03478248705333328,0.2022418774527434,0.21504733617365526,0,0.2022418774527434,0.2322418774527434,0.2022418774527434,0.03,0.158113883008419,0.987913663321624,1,4,4
19,0.47457533341344216,0.30671479524706136,1.1217476883068125,0.01845093071460724,0.0002104374332262981,0.021415988848204486,0.03217275823592828,0.21380722832494262,0.22750983308928485,0,0.21559468422778788,0.24559468422778788,0.21559468422778788,0.03,0.158113883008419,0.987913663321624,1,4,4
20,0.48180160208978384,0.32171071733625056,1.1705613312307195,0.018335014581680298,0.00021040692640425212,0.025176091999759925,0.03357619935595134,0.22882456112707372,0.24307628775578036,0,0.22882456112707372,0.25882456112707375,0.22882456112707375,0.03,0.22882456112707372,0.987913663321624,2,4,3
21,0.4873355642914586,0.33479119799996904,1.2646442980717545,0.01902078092098236,0.00021040724255162532,0.02574761438530548,0.03117619556569206,0.2416808542927914,0.25697838993866845,0,0.23861575912704275,0.2686157591270427,0.23861575912704272,0.03,0.22882456112707372,0.987913663321624,2,4,3
