timestep,time,x,y,theta,v,omega,solver_computation_time,solver_raw_status,solver_status_code,solver_success
0,0.1,0.3090564521018531,0.2,-1.8079246661986086e-09,0.0905645210185314,-1.8079246661986085e-08,0.036062002182006836,success,0,True
1,0.2,0.3163106938612317,0.1999999999868849,0.07650498067458719,0.07254241759378538,0.7650498248251185,0.031980276107788086,success,0,True
2,0.30000000000000004,0.3228402675197319,0.20050052179475378,0.17762067646803736,0.06548729208169507,1.0111569579345017,0.03444314002990723,success,0,True
3,0.4,0.3306720981029668,0.20190643311286377,0.2710009059532694,0.07957019348907204,0.9338022948523204,0.03690052032470703,success,0,True
4,0.5,0.3391920975266101,0.2042735957172475,0.3415964894560072,0.08842728593283546,0.7059558350273775,0.03979778289794922,success,0,True
5,0.6000000000000001,0.3486376425476248,0.20763180956008356,0.40333062176865214,0.10024765381705009,0.6173413231264494,0.03955388069152832,success,0,True
6,0.7000000000000001,0.35855690938450363,0.21186460625701747,0.4544465503424451,0.10784638262768884,0.5111592857379293,0.041471242904663086,success,0,True
7,0.8,0.36873643747972296,0.2168378251412683,0.49352777195185515,0.11329417386257278,0.39081221609410105,0.03735613822937012,success,0,True
8,0.9,0.37903022787147034,0.22237514467678948,0.5221073896998377,0.11688628160211777,0.28579617747982605,0.0463407039642334,success,0,True
9,1.0,0.38946344811270467,0.2283780384147103,0.543282876856011,0.12036894027566715,0.21175487156173234,0.03319859504699707,success,0,True
10,1.1,0.3999085400096375,0.23468583886065775,0.5617551609079515,0.12201978987085099,0.184722840519406,0.030277252197265625,success,0,True
11,1.2000000000000002,0.41107387099219517,0.24171326787342912,0.5841820662342675,0.13192777360343916,0.2242690532631597,0.03086113929748535,success,0,True
12,1.3,0.419857436401347,0.2475206284796367,0.6479646800320993,0.10529789100802563,0.6378261379783181,0.03188443183898926,success,0,True
13,1.4000000000000001,0.43109670020160323,0.25602872648296027,0.7071247763951672,0.14096410266656847,0.5916009636306796,0.03328967094421387,success,0,True
14,1.5,0.43984932217629535,0.26350820578568207,0.7733596235888903,0.11513079608502119,0.6623484719372312,0.03185462951660156,success,0,True
15,1.6,0.44996564236295505,0.27338384040125746,0.8300353327567639,0.14137471244157138,0.5667570916787361,0.03391098976135254,success,0,True
16,1.7000000000000002,0.4575077948890216,0.28163126335608457,0.9500306904387162,0.11176048054758049,1.199953576819523,0.029364347457885742,success,0,True
17,1.8,0.46720869503933526,0.2951977131825736,1.0017476883537082,0.16678010211682917,0.5171699791499201,0.030347108840942383,success,0,True
18,1.9000000000000001,0.47457533341256036,0.30671479524636946,1.1217476883030613,0.13671522965130162,1.1999999994935295,0.03831744194030762,success,0,True
19,2.0,0.4818016020888756,0.32171071733536,1.1705613312271992,0.16646219939715118,0.48813642924137957,0.034192800521850586,success,0,True
