timestep,time,x,y,theta,v,omega,controller_computation_time,solver_computation_time,solver_raw_status,solver_status_code,solver_success
0,0.1,0.075,0.7865503654600462,-1.4889051067971304,0.08449634539953775,0.8189121999776613,0.953118977000031,0.411537,Solve_Succeeded,,True
1,0.2,0.07569337220023908,0.7781023102333916,-1.4300611122306002,0.08476461650987961,0.5884399456653032,0.8022624800000813,0.400528,Solve_Succeeded,,True
2,0.30000000000000004,0.07687764824715315,0.7697430168017569,-1.4022940377244877,0.08442765923052992,0.27767074506112416,0.7832322809999823,0.390642,Solve_Succeeded,,True
3,0.4,0.078281930137059,0.7614881374759389,-1.3962704477780814,0.08373472416514847,0.06023589946406174,0.7988871809998273,0.403894,Solve_Succeeded,,True
4,0.5,0.0797209800545792,0.7533265435568404,-1.389355508251255,0.08287489364420417,0.06914939526826507,0.8975884779997614,0.481731,Solve_Succeeded,,True
5,0.6000000000000001,0.08119777978925412,0.7452767658262696,-1.3824735447819119,0.08184122370048555,0.06881963469343089,0.9535612760000731,0.491836,Solve_Succeeded,,True
6,0.7000000000000001,0.08270763673952902,0.7373543821036423,-1.3760711521412585,0.08064975626673758,0.06402392640653395,0.9412592769999719,0.509996,Solve_Succeeded,,True
7,0.8,0.08424220857502739,0.7295735354834092,-1.3734349964837715,0.07930730410617827,0.026361556574869494,1.0347394750001513,0.579193,Solve_Succeeded,,True
8,0.9,0.085773151696311,0.7219174571533642,-1.3760061157683248,0.07807645114654672,-0.02571119284553247,0.9880096020001474,0.461064,Solve_Succeeded,,True
9,1.0,0.08725805451485248,0.7143910292903712,-1.3820574607727425,0.07671509157743912,-0.06051345004417828,0.891510111000116,0.467015,Solve_Succeeded,,True
10,1.1,0.08867250499046468,0.7069860091756035,-1.3903174710699349,0.07538898662807078,-0.08260010297192273,0.9736751129998993,0.532794,Solve_Succeeded,,True
11,1.2000000000000002,0.08999983782299607,0.6997115289221142,-1.3998503453918738,0.07394584194308762,-0.09532874321938871,0.9269146110000293,0.473672,Solve_Succeeded,,True
12,1.3,0.09123198342993906,0.6925740693998195,-1.4099768580395213,0.0724303190860739,-0.10126512647647451,0.9166124110001874,0.475204,Solve_Succeeded,,True
13,1.4000000000000001,0.09236567611789182,0.6855854735778553,-1.4202285239251156,0.07079952731021077,-0.10251665885594263,0.9054301120004311,0.464787,Solve_Succeeded,,True
14,1.5,0.09340158380048529,0.6787575358123333,-1.430305307143617,0.06906072607256364,-0.10076783218501274,0.9255013109996071,0.491731,Solve_Succeeded,,True
15,1.6,0.0943435827870366,0.6720966604135065,-1.4399039414631023,0.06727155652232227,-0.09598634319485266,0.9067076110000016,0.461949,Solve_Succeeded,,True
16,1.7000000000000002,0.09519753622939793,0.6656098736924164,-1.443429190905667,0.06542754652791954,-0.035252494425645944,0.9137321110001722,0.472399,Solve_Succeeded,,True
17,1.8,0.09600322652764043,0.6593183854403415,-1.4406755050557924,0.06342866960821361,0.027536858498744717,0.9116499060000933,0.465461,Solve_Succeeded,,True
18,1.9000000000000001,0.09680091723021772,0.6532226385201563,-1.4382939000043207,0.061477183549611625,0.023816050514717444,0.9213964059999853,0.475847,Solve_Succeeded,,True
19,2.0,0.09758699588561508,0.64732483789525,-1.436256298131077,0.0594995561862579,0.020376018732437537,0.9628497070002595,0.525194,Solve_Succeeded,,True
20,2.1,0.09841455565181127,0.6412109659616841,-1.4345562336103785,0.06169626016759118,0.017000645206984737,0.9433021060003739,0.501373,Solve_Succeeded,,True
21,2.2,0.09933068131070168,0.6345282749054477,-1.4440593746795052,0.06745194287489426,-0.0950314106912657,0.9656652059998123,0.519642,Solve_Succeeded,,True
22,2.3000000000000003,0.10025034797974267,0.627310668678596,-1.4394618171050542,0.07275962233824082,0.04597557574450915,1.0133895069998289,0.564643,Solve_Succeeded,,True
23,2.4000000000000004,0.10149231426570408,0.6179085909309464,-1.539461801597675,0.09483751695838046,-0.9999998449262101,1.0025461059999543,0.560391,Solve_Succeeded,,True
24,2.5,0.10176582046874441,0.6091828584932402,-1.5086352057393682,0.08730017881856846,0.3082659585830699,1.0562471069997628,0.613123,Solve_Succeeded,,True
25,2.6,0.10231205589445978,0.600406766894238,-1.4169247381873529,0.08793074371025347,0.9171046755201521,1.0647643550000794,0.627448,Solve_Succeeded,,True
26,2.7,0.10325412911599806,0.594332699032044,-1.3169247402022173,0.061466903573612,0.9999999798513555,1.0450790620002408,0.608714,Solve_Succeeded,,True
27,2.8000000000000003,0.10462153128711679,0.5890627179660523,-1.2169247401080387,0.05444491632236372,1.000000000941786,1.0393055609997646,0.599461,Solve_Succeeded,,True
28,2.9000000000000004,0.10644547306534238,0.5841254352312462,-1.1169247415285983,0.05263413760457291,0.9999999857944036,1.0542480610001803,0.61133,Solve_Succeeded,,True
29,3.0,0.10870545546348957,0.5794927956141974,-1.016924742943455,0.0515450000110433,0.9999999858514348,1.097555365000062,0.656044,Solve_Succeeded,,True
30,3.1,0.11159452309138322,0.5748212913197659,-0.9169247429203649,0.05492691883897622,1.0000000002309,1.1884846700004346,0.739085,Solve_Succeeded,,True
31,3.2,0.11524118204860376,0.5700626991592314,-0.8169247451018165,0.05995191481560623,0.9999999781854835,1.2631203740002093,0.809406,Solve_Succeeded,,True
32,3.3000000000000003,0.11965993011045957,0.5653561668484605,-0.7169247479516871,0.06455755635592522,0.9999999715012933,1.1330743899998197,0.645344,Solve_Succeeded,,True
33,3.4000000000000004,0.12484743522913502,0.5608345214069519,-0.6169247517544759,0.06881532304290937,0.9999999619721122,0.9332402860000002,0.483362,Solve_Succeeded,,True
34,3.5,0.13077681730946758,0.5566289496559576,-0.516924756979925,0.0726941576795072,0.9999999477455087,0.9005308830001013,0.450892,Solve_Succeeded,,True
35,3.6,0.13740127530375995,0.5528630406530907,-0.416924764495093,0.07620073118810469,0.99999992484832,0.8848509809999996,0.440851,Solve_Succeeded,,True
36,3.7,0.14465071931198908,0.5496523411192089,-0.3169247760764203,0.07928620934646674,0.9999998841867276,0.903768183000011,0.458718,Solve_Succeeded,,True
37,3.8000000000000003,0.15243116780047922,0.5471005101894743,-0.21692479602403425,0.08188236670736797,0.9999998005238604,0.88737238099975,0.443519,Solve_Succeeded,,True
38,3.9000000000000004,0.16062679170744898,0.5452942549281914,-0.11692483827570443,0.08392306553826928,0.9999995774832982,0.8999493829996936,0.442576,Solve_Succeeded,,True
39,4.0,0.17162288227934702,0.5440026474093724,-0.016924897326911187,0.11071687217766542,0.9999994094879324,0.9543149880000783,0.506689,Solve_Succeeded,,True
40,4.1000000000000005,0.18216281334014428,0.5438242431232466,0.03582465695421879,0.10541440833949918,0.5274955428112997,0.9444834840001022,0.479379,Solve_Succeeded,,True
41,4.2,0.19208737041796115,0.5441799391564829,0.05403598399474485,0.09930929103508146,0.18211327040526062,0.8867651139998998,0.437114,Solve_Succeeded,,True
42,4.3,0.20140693363249967,0.5446840216421063,0.0656991715615024,0.09333185825970249,0.11663187566757556,0.9168841140003678,0.471199,Solve_Succeeded,,True
43,4.4,0.21015611781306912,0.5452596642640237,0.0726695811501846,0.0876810060695556,0.0697040958868219,0.9354847149998022,0.473702,Solve_Succeeded,,True
44,4.5,0.21860292031287692,0.5458745726617066,0.07611541250525976,0.08469154905201617,0.03445831355075161,0.9203885150000133,0.471267,Solve_Succeeded,,True
45,4.6000000000000005,0.22703850365444375,0.5465178934192033,0.07675523910179322,0.08460078481287618,0.006398265965334564,0.9381658150000476,0.483361,Solve_Succeeded,,True
46,4.7,0.23546620094291648,0.5471660366563479,0.08284238972326234,0.08452583702158,0.06087150621469121,0.9610677149998992,0.508886,Solve_Succeeded,,True
47,4.800000000000001,0.24388374953076045,0.547864966114348,0.09009788027630779,0.08446515649424571,0.07255490553045452,0.9687056150000899,0.514622,Solve_Succeeded,,True
48,4.9,0.2522861547756195,0.5486240601428952,0.09683395159173702,0.0843662477789614,0.06736071315429235,0.9621850149997044,0.515258,Solve_Succeeded,,True
49,5.0,0.2606760519531262,0.5494390359259906,0.10323484833653816,0.0842938670225582,0.06400896744801138,0.9676482400000168,0.517129,Solve_Succeeded,,True
50,5.1000000000000005,0.269040888341713,0.5503056593922965,0.1094620829528786,0.08409609030161762,0.062272346163404386,1.0517864680000457,0.575557,Solve_Succeeded,,True
51,5.2,0.2803670239888142,0.5515504173092023,0.11659141120528044,0.11394330650294261,0.07129328252401841,1.0793061710000984,0.604173,Solve_Succeeded,,True
52,5.300000000000001,0.29099205876630746,0.5527948489756851,0.11919446262745849,0.10697662090171221,0.026030514221780515,1.2068622779997895,0.712035,Solve_Succeeded,,True
53,5.4,0.30095909774238755,0.5539885231622682,0.14429262882874833,0.10038262997870419,0.2509816620128984,1.209038879000218,0.656202,Solve_Succeeded,,True
54,5.5,0.31027718401986476,0.5553424639078826,0.23195157811883899,0.09415937946755171,0.8765894929009064,1.4127346919999582,0.856535,Solve_Succeeded,,True
55,5.6000000000000005,0.31891323075699035,0.5573823229824554,0.23195550246979219,0.08873687412228068,3.924350953188128e-05,1.3603255889997854,0.821871,Solve_Succeeded,,True
56,5.7,0.3272871041548457,0.5593602906558243,0.23482895740626888,0.08604307746716253,0.028734549364767072,1.2357263290000446,0.691518,Solve_Succeeded,,True
57,5.800000000000001,0.3356512251303076,0.5613613469105246,0.24016549081775368,0.08600159639601872,0.05336533411484808,1.2487611400001697,0.702595,Solve_Succeeded,,True
58,5.9,0.34400088205652257,0.5634061120235195,0.245176309011939,0.08596385004919865,0.050108181941853056,1.2842135440000675,0.760189,Solve_Succeeded,,True
59,6.0,0.3523369628950475,0.565491882886256,0.24988151709136627,0.08593060213815769,0.047052080794272824,1.2272233369999412,0.697504,Solve_Succeeded,,True
60,6.1000000000000005,0.3606603000622238,0.5676161293500747,0.25429954475026023,0.08590131817239156,0.04418027658893981,1.2158191359999364,0.684942,Solve_Succeeded,,True
61,6.2,0.3689716748343684,0.5697764788633596,0.25844751484256273,0.08587552656175775,0.04147970092302518,1.5260561699997197,0.845336,Solve_Succeeded,,True
62,6.300000000000001,0.3772718210280123,0.5719707044823937,0.2623415901769068,0.08585281177869919,0.038940753343440264,1.6544899580003403,0.96084,Solve_Succeeded,,True
63,6.4,0.3855614280741757,0.5741967160420535,0.2659938580585975,0.08583280983606469,0.03652267881690687,1.3397414310002205,0.720743,Solve_Succeeded,,True
64,6.5,0.3938411481100197,0.5764525249118844,0.2694222633527976,0.08581517204385461,0.034284052942001084,1.1163274919999822,0.561801,Solve_Succeeded,,True
65,6.6000000000000005,0.4021115896038275,0.5787362935855127,0.27264326316294424,0.08579965143119421,0.03220999810146608,1.0511418810001487,0.523364,Solve_Succeeded,,True
66,6.7,0.4103733157932512,0.5810463213844305,0.275666639617289,0.08578598257336807,0.03023376454344756,1.0136010760002137,0.499095,Solve_Succeeded,,True
67,6.800000000000001,0.41862686173626806,0.5833809892171931,0.2785043984780198,0.08577394390071284,0.028377588607307692,1.09936899000013,0.554029,Solve_Succeeded,,True
68,6.9,0.42687272990649877,0.5857387777298094,0.28116783393012873,0.08576334214047936,0.026634354521089556,1.100396990000263,0.557747,Solve_Succeeded,,True
69,7.0,0.4351113760181253,0.5881182564989943,0.2836501465158716,0.08575383896107533,0.02482312585742904,1.128415589999804,0.574007,Solve_Succeeded,,True
70,7.1000000000000005,0.44334185804549014,0.5905175281313128,0.28444061928894726,0.0857305889215887,0.00790472773075659,1.13782288099992,0.585414,Solve_Succeeded,,True
71,7.2,0.45144045403040634,0.5928853009317685,0.29460457633028014,0.08437630293007525,0.10163957041332887,1.1386124810001093,0.589932,Solve_Succeeded,,True
72,7.300000000000001,0.45929103246367964,0.5952674359915768,0.31530588403339266,0.08204032495068737,0.20701307703112526,1.162643282999852,0.615959,Solve_Succeeded,,True
73,7.4,0.46653493197456575,0.5976303079238601,0.34546926529985084,0.07619530424651394,0.3016338126645819,1.184405185000287,0.631735,Solve_Succeeded,,True
74,7.5,0.47318904894487346,0.60002514126533,0.3911532822496415,0.07071951596833316,0.45684016949790707,1.1907074850000754,0.646681,Solve_Succeeded,,True
75,7.6000000000000005,0.4792301827491786,0.6025165272169258,0.44953284079145434,0.06534699809580224,0.5837955854181281,1.2066910949997691,0.661018,Solve_Succeeded,,True
76,7.7,0.48465438440469655,0.6051335907615311,0.5239613156546671,0.060225397629426206,0.7442847486321277,1.299777654999616,0.748115,Solve_Succeeded,,True
77,7.800000000000001,0.48943803061867097,0.6078977430262414,0.6189933786423285,0.05524835639453509,0.9503206298766141,1.309623356999964,0.757795,Solve_Succeeded,,True
78,7.9,0.49595603746937933,0.6125411087641512,0.5638246759797598,0.08002828167708914,-0.5516870266256864,1.1772469309998996,0.599556,Solve_Succeeded,,True
79,8.0,0.502874969269154,0.6169158828697281,0.5162153452750197,0.08185979826798877,-0.47609330704740205,1.190269434000129,0.630943,Solve_Succeeded,,True
80,8.1,0.5100794584751519,0.6210047713068976,0.4659167290608929,0.08283940690936804,-0.5029861621412676,1.1612979279998399,0.611752,Solve_Succeeded,,True
81,8.200000000000001,0.5175570575471586,0.6247648044326959,0.4217730056280665,0.08369727414245709,-0.4414372343282636,1.2089829379997354,0.65768,Solve_Succeeded,,True
82,8.3,0.5252516728677146,0.628217384671427,0.3827696260755355,0.08433707087408811,-0.3900337955253103,1.2203702100000555,0.653926,Solve_Succeeded,,True
83,8.4,0.533115171624712,0.6313834475002817,0.3476540456625414,0.08476943230761642,-0.3511558041299412,1.2215816820003056,0.658503,Solve_Succeeded,,True
84,8.5,0.541115125289618,0.6342824084835402,0.3153399053697628,0.08509008956576448,-0.32314140292778565,1.2404869850001887,0.679824,Solve_Succeeded,,True
85,8.6,0.5492193181249138,0.6369262026913702,0.28471338870006474,0.08524528686385796,-0.30626516669698056,1.3011682940000355,0.740583,Solve_Succeeded,,True
86,8.700000000000001,0.5574050573120242,0.6393218772746372,0.2546118671859192,0.08529102106805052,-0.301015215141455,1.3357300999996369,0.743604,Solve_Succeeded,,True
87,8.8,0.5656539724503068,0.6414687424576628,0.2233642990772736,0.08523709935977203,-0.3124756810864563,1.2897184919997926,0.727944,Solve_Succeeded,,True
88,8.9,0.5739534268255073,0.6433540019246877,0.18804022155055763,0.08510883983702357,-0.3532407752671595,1.376154958999905,0.810729,Solve_Succeeded,,True
89,9.0,0.5822961499611623,0.6449415248280322,0.1413258555895182,0.08492423581453977,-0.46714365961039406,1.349160539999957,0.79483,Solve_Succeeded,,True
90,9.1,0.5906819827647373,0.6461346136069863,0.06013664868781708,0.08470280552849502,-0.8118920690170113,1.3990078420001737,0.846176,Solve_Succeeded,,True
91,9.200000000000001,0.5991135907606651,0.6466422743734311,0.01994923167478379,0.084468771064093,-0.4018741701303329,1.5575463469999704,0.994087,Solve_Succeeded,,True
92,9.3,0.607512605118228,0.6468098504874715,0.008615059764478471,0.0840068592036066,-0.11334171910305317,1.683666549999998,1.115818,Solve_Succeeded,,True
93,9.4,0.6185520668003024,0.6469049584625896,-0.006521637648703197,0.11039871365053122,-0.15136697413181668,1.7134861550002825,1.146468,Solve_Succeeded,,True
94,9.5,0.6289265882031548,0.6468372986339882,-0.009099667718726355,0.10374742030077223,-0.02578030070023157,1.6535560160000387,1.063534,Solve_Succeeded,,True
95,9.600000000000001,0.6386714742779136,0.646748620961117,-0.010662505497486537,0.09745289546221439,-0.01562837778760183,1.8069467269997403,1.165415,Solve_Succeeded,,True
96,9.700000000000001,0.6478246889079278,0.6466510210610976,-0.011620455834077557,0.09153734964679146,-0.009579503365910192,1.7314692209997702,1.136306,Solve_Succeeded,,True
97,9.8,0.6564219870261295,0.6465511120409109,-0.012086836092474263,0.08597878618912337,-0.00466380258396705,1.6450689149996833,1.054285,Solve_Succeeded,,True
98,9.9,0.6645060015748693,0.6464533971236016,-0.012208761106273272,0.08084605088023843,-0.001219250137990092,1.5930320110001048,1.010834,Solve_Succeeded,,True
99,10.0,0.6725292817252583,0.6463554379458443,-0.012018073776729426,0.08023878137916453,0.001906873295438463,1.7315327179999258,1.130241,Solve_Succeeded,,True
100,10.100000000000001,0.6804941104520803,0.646259711437818,0.00042700339802858277,0.07965403957863518,0.12445077174758008,1.4446145980000438,0.855036,Solve_Succeeded,,True
101,10.200000000000001,0.688556073714209,0.6462631539237349,0.0034094931975522116,0.08061963997105308,0.029824897995236285,1.489176002000022,0.9013,Solve_Succeeded,,True
102,10.3,0.6967577796182411,0.6462911176925794,-0.0045605273123814245,0.08201753575218149,-0.07970020509933635,1.4966689010002483,0.888149,Solve_Succeeded,,True
103,10.4,0.7049542731496808,0.6462537371008109,-0.006194923297705006,0.08196578769192323,-0.016343959853235814,1.5270963009998013,0.931597,Solve_Succeeded,,True
104,10.5,0.7131072310096559,0.6462032295061061,-0.0015518090680106539,0.08153114305812954,0.04643114229694352,1.645103993000248,1.060192,Solve_Succeeded,,True
105,10.600000000000001,0.7212735176054346,0.6461905569783425,-0.0005897687304653396,0.08166296428452423,0.009620403375453142,1.9454830099998617,1.348108,Solve_Succeeded,,True
106,10.700000000000001,0.7318092595245288,0.6461843433264859,0.002942252884788848,0.1053574375140307,0.035320216152541876,1.9241907089999586,1.313368,Solve_Succeeded,,True
107,10.8,0.7414423517729746,0.6462126864017307,-0.028029921502637344,0.09633133944723293,-0.30972174387426193,1.7594156999998631,1.126299,Solve_Succeeded,,True
108,10.9,0.751587010717571,0.6459282579143479,-0.12129382879277453,0.10148645459696284,-0.9326390729013718,1.7288796990001174,1.091112,Solve_Succeeded,,True
109,11.0,0.7594089743572189,0.6449748216908359,-0.22129381886336189,0.07879857601015314,-0.9999999007058735,1.7235749989999931,1.09987,Solve_Succeeded,,True
110,11.100000000000001,0.7669120375024336,0.6432867950553915,-0.3212938002108032,0.07690604038893824,-0.9999998134744135,1.6555256950000512,1.042433,Solve_Succeeded,,True
111,11.200000000000001,0.7742458816318853,0.6408459017392506,-0.42129376252280787,0.07729374482833261,-0.9999996231200465,1.7284079989999555,1.112047,Solve_Succeeded,,True
112,11.3,0.781217074631964,0.6377219343565607,-0.5212936719647996,0.07639155977754095,-0.9999990944199173,1.742944499999794,1.131644,Solve_Succeeded,,True
113,11.4,0.7877494023711366,0.6339705434526837,-0.6212933659161008,0.07532877232880797,-0.9999969395130119,1.7096655909999754,1.080122,Solve_Succeeded,,True
114,11.5,0.793914850285212,0.6295569251749157,-0.7212921596986452,0.07582398979414494,-0.9999879378254445,1.8013667969999005,1.181022,Solve_Succeeded,,True
115,11.600000000000001,0.7997268212475058,0.6244461298822548,-0.8125432525709496,0.07739459605814356,-0.9125109287230434,1.5321214819996385,0.922511,Solve_Succeeded,,True
116,11.700000000000001,0.8052191936396708,0.6186471781855242,-0.8327928985935231,0.0798711432716656,-0.2024964602257352,1.5498388830001204,0.927394,Solve_Succeeded,,True
117,11.8,0.810576746421926,0.612756099977212,-0.8002838581080354,0.07962924982134482,0.3250904048548774,1.566158378000182,0.951567,Solve_Succeeded,,True
118,11.9,0.8163403582438334,0.6068182915187503,-0.768413840142752,0.08275070424051428,0.31870017965283354,1.7032938540000941,1.091877,Solve_Succeeded,,True
119,12.0,0.8222592169205044,0.6010971493903848,-0.7455751496116885,0.08231910791994872,0.2283869053106359,1.7056854530001146,1.089215,Solve_Succeeded,,True
