timestep,time,x,y,theta,v,omega,controller_computation_time,solver_computation_time,solver_raw_status,solver_status_code,solver_success
0,0.1,0.075,0.7813326245826607,-1.5702785568819317,0.13667375417339156,0.005177699129649204,3.155797143000086,1.5845799446105957,success,0,True
1,0.2,0.0750123988593855,0.7573859680330032,-1.6323001706043734,0.2394665975953579,-0.6202161372244165,0.24439308300009088,0.23393464088439941,success,0,True
2,0.30000000000000004,0.07356433550493947,0.733871388615529,-1.5743330443932944,0.2355912419125952,0.5796712621107912,0.2550118520000524,0.24797868728637695,success,0,True
3,0.4,0.0734819716753923,0.7105832736210662,-1.5409383044110214,0.2328826064341732,0.3339473998227285,0.25865944199995283,0.2519688606262207,success,0,True
4,0.5,0.07422243266984485,0.6857912451618231,-1.5370700232288583,0.24803083631037215,0.038682811821630414,0.25472955199995795,0.24759221076965332,success,0,True
5,0.6000000000000001,0.07508989205224105,0.6600804389179302,-1.4770787689649785,0.2572543572985905,0.5999125426387992,0.3164857709999751,0.3089895248413086,success,0,True
6,0.7000000000000001,0.0770104987604212,0.6396469089205754,-1.3770787689863626,0.20523593210749125,0.9999999997861582,0.2665738179999835,0.25983381271362305,success,0,True
7,0.8,0.08003999537237934,0.6242042921553017,-1.2770787689863634,0.15736971191464288,0.9999999999999917,0.27575899099997514,0.26909542083740234,success,0,True
8,0.9,0.08306066933906796,0.614217467591013,-1.1770787689864326,0.10433654014337918,0.9999999999993072,0.2600313369999867,0.25335121154785156,success,0,True
9,1.0,0.08745012222810528,0.603650842874231,-1.0770787689877594,0.11442065135734365,0.9999999999867303,0.32133565700007694,0.3140757083892822,success,0,True
10,1.1,0.09339334036606531,0.5926075174530407,-0.9770787689877596,0.12541007861957665,0.9999999999999986,0.2758298910000576,0.2689943313598633,success,0,True
11,1.2000000000000002,0.10055004387278099,0.5820042595618017,-0.8770787689879542,0.12792477593928395,0.999999999998053,0.260734135000007,0.25412487983703613,success,0,True
12,1.3,0.10885171063229004,0.5720215583472235,-0.7770787689882275,0.12983527815100174,0.9999999999972671,0.2632496279999259,0.25649309158325195,success,0,True
13,1.4000000000000001,0.11847979942442789,0.5625523511580424,-0.6770787689882299,0.13504294819831553,0.9999999999999757,0.2629575290000048,0.2560851573944092,success,0,True
14,1.5,0.12952856588140577,0.5536708971725318,-0.5770787689882304,0.14175876167545362,0.9999999999999957,0.2615849320000052,0.2535059452056885,success,0,True
15,1.6,0.14231861155520392,0.5453445613791877,-0.47707876907136343,0.15261491934976948,0.9999999991686697,0.2633313270000599,0.2558410167694092,success,0,True
16,1.7000000000000002,0.15656194302539686,0.5379821337293663,-0.3770787690764889,0.1603364687987868,0.9999999999487451,0.26362992600002144,0.25670552253723145,success,0,True
17,1.8,0.18103295931921984,0.5282908917559909,-0.2770787690801371,0.26320159753296796,0.9999999999635177,0.2958244320000176,0.2878289222717285,success,0,True
18,1.9000000000000001,0.20297755098223216,0.5220499773602523,-0.17707876908283482,0.22814778450629056,0.9999999999730229,0.3092220930000167,0.29938483238220215,success,0,True
19,2.0,0.22101416768454846,0.5188222677603384,-0.07707876908283721,0.18323145235675334,0.999999999999976,0.3073233979999941,0.29772019386291504,success,0,True
20,2.1,0.24018252610778207,0.517341861360308,0.02292123091715538,0.1922544063866423,0.999999999999926,0.28341746799992507,0.2742786407470703,success,0,True
21,2.2,0.2610047279132633,0.5178192154569048,0.12291928519671562,0.2082767281675325,0.9999805427956023,0.3111464869999736,0.3026008605957031,success,0,True
22,2.3000000000000003,0.28269720801632,0.520499150400591,0.2229192606747678,0.2185739564366949,0.9999997547805219,0.28091167500008396,0.27419066429138184,success,0,True
23,2.4000000000000004,0.31407463821602793,0.5276119956514905,0.3208553457216175,0.3217352472920537,0.979360850468497,0.29446303600002466,0.2859683036804199,success,0,True
24,2.5,0.3377489841673407,0.5354799030094612,0.37910936408080087,0.24947517359770477,0.5825401835918337,0.3494399749999957,0.3405909538269043,success,0,True
25,2.6,0.35918333837942484,0.5440189289473484,0.40939918566836514,0.2307263540337333,0.3028982158756428,0.3122955840000259,0.30416417121887207,success,0,True
26,2.7,0.3805978190878879,0.5533110378916996,0.4301883320763032,0.23343591682661627,0.20789146407938044,0.28076147600006607,0.27372121810913086,success,0,True
27,2.8000000000000003,0.4017483827641077,0.5630159526248945,0.4511656566822828,0.23270833973031801,0.20977324605979622,0.2868715589999056,0.27996253967285156,success,0,True
28,2.9000000000000004,0.42234721057241115,0.5729959514196068,0.476470988198216,0.22889125868381177,0.2530533151593315,0.27961517999995067,0.2724273204803467,success,0,True
29,3.0,0.4424023856556637,0.5833471001644989,0.5034556440967053,0.2256892394330741,0.26984655898489274,0.2808484769999495,0.27358388900756836,success,0,True
30,3.1,0.46213769292390483,0.5942172672087356,0.5365054508743162,0.2253093172821538,0.3304980677761095,0.2686241119999977,0.2612955570220947,success,0,True
