timestep,time,x,y,theta,v,omega,controller_computation_time,solver_computation_time,solver_raw_status,solver_status_code,solver_success
0,0.1,0.075,0.7722203374886725,-1.522457239421972,0.22779662511327414,0.48339087372924516,1.0579818940000223,0.444914,Solve_Succeeded,,True
1,0.2,0.07612489273049006,0.7489675934186646,-1.4960094299489775,0.23279937509374854,0.2644780947299444,0.8661109949999855,0.427074,Solve_Succeeded,,True
2,0.30000000000000004,0.07789569831604354,0.7253337349572523,-1.498533362811876,0.23700105868875307,-0.025239328628986424,1.0857690940000566,0.55226,Solve_Succeeded,,True
3,0.4,0.07962850150870086,0.7013963560982007,-1.5101931455198698,0.24000014865542327,-0.1165978270799394,1.05133509399991,0.519097,Solve_Succeeded,,True
4,0.5,0.08112373966966009,0.676753967067479,-1.5039380955359165,0.246877109975676,0.06255049983953302,1.0575621939999564,0.571504,Solve_Succeeded,,True
5,0.6000000000000001,0.08300901542470657,0.6485978850600779,-1.4538000323355507,0.28219128595335224,0.5013806320036576,1.1882066929999837,0.689297,Solve_Succeeded,,True
6,0.7000000000000001,0.08582001036126505,0.6246812518647687,-1.3538000317875105,0.24081259018836976,1.000000005480402,1.1762756070000933,0.603219,Solve_Succeeded,,True
7,0.8,0.0891042135993505,0.6097847187124157,-1.253800030898508,0.1525426795582813,1.0000000088900256,1.164890620000051,0.658931,Solve_Succeeded,,True
8,0.9,0.09254640029434433,0.5992921390226943,-1.1538000300307552,0.11042774913414995,1.000000008677529,1.2363502219999418,0.738088,Solve_Succeeded,,True
9,1.0,0.09630462386418509,0.5908080786694105,-1.053800029194994,0.092791984825775,1.0000000083576113,1.184879720999902,0.635953,Solve_Succeeded,,True
10,1.1,0.10066830355429292,0.5831333844671804,-0.9538000284065519,0.08828512419179324,1.0000000078844213,1.1185486190000802,0.623083,Solve_Succeeded,,True
11,1.2000000000000002,0.10653267620852427,0.5748665335833253,-0.8538000276846955,0.10135664268492378,1.0000000072185626,1.096655219000013,0.591906,Solve_Succeeded,,True
12,1.3,0.11403530829038737,0.5662603035900301,-0.7538000270315655,0.11417385114521443,1.0000000065313006,1.1082980190000171,0.609087,Solve_Succeeded,,True
13,1.4000000000000001,0.12318573510072384,0.557670617908326,-0.6538000264645968,0.12550418754838308,1.0000000056696863,1.0537706180000441,0.58587,Solve_Succeeded,,True
14,1.5,0.1339955970678219,0.5493879081467142,-0.5538000260032561,0.13618237651870083,1.0000000046134074,1.094012017999944,0.579901,Solve_Succeeded,,True
15,1.6,0.14647616987538825,0.5416705971648418,-0.45380002566682764,0.14673840206159178,1.0000000033642844,1.0565018160000363,0.543945,Solve_Succeeded,,True
16,1.7000000000000002,0.16086572075115907,0.5346520874060281,-0.3538000253497705,0.16009954829447842,1.0000000031705711,1.0703477170000042,0.53702,Solve_Succeeded,,True
17,1.8,0.185447052989034,0.5255731970143874,-0.2538000245714075,0.26204353556846516,1.00000000778363,1.2173699190000207,0.647763,Solve_Succeeded,,True
18,1.9000000000000001,0.20625478834468086,0.5201758024589592,-0.153800023993778,0.21496365242003185,1.0000000057762946,1.1024051179999788,0.576178,Solve_Succeeded,,True
19,2.0,0.22375305508944435,0.5174631460118589,-0.05380002594036143,0.17707282232767704,0.9999999805341658,1.1960329190000039,0.575664,Solve_Succeeded,,True
20,2.1,0.24324384533043547,0.5164135281095071,0.04619996447662149,0.19519031788468733,0.9999999041698291,1.3106899219999377,0.620519,Solve_Succeeded,,True
