timestep,time,x,y,theta,v,omega,controller_computation_time,solver_computation_time,solver_raw_status,solver_status_code,solver_success
0,0.1,0.075,0.7450000015864068,-1.5207963322399434,0.4999999841359319,0.4999999455495308,0.6380741220000345,0.23059,Solve_Succeeded,,True
1,0.2,0.07749895807871844,0.6950624908092373,-1.485643012447007,0.49999997740990976,0.35153319792936244,0.5415264250000291,0.255843,Solve_Succeeded,,True
2,0.30000000000000004,0.08061396142391836,0.6585698343162855,-1.4356430116531267,0.3662536312111036,0.5000000079388026,0.5946151680000185,0.30944,Solve_Succeeded,,True
3,0.4,0.08281103712821027,0.6424127625140911,-1.3856430107899016,0.16305769251147148,0.5000000086322516,0.5699993939997512,0.276178,Solve_Succeeded,,True
4,0.5,0.0851173057640062,0.630099432417675,-1.335643009931663,0.12527448785916573,0.5000000085823856,0.5986018630001126,0.296101,Solve_Succeeded,,True
5,0.6000000000000001,0.08554677681970438,0.6283068761458822,-1.2856430090488598,0.018432860264283972,0.5000000088280323,0.6018068600001243,0.300014,Solve_Succeeded,,True
6,0.7000000000000001,0.08861554536906338,0.617838339987016,-1.2356430080942988,0.10909059983290234,0.5000000095456093,0.5914962719998584,0.297312,Solve_Succeeded,,True
7,0.8,0.09178929493859508,0.6087260427017077,-1.1856430072258497,0.09649178625455049,0.5000000086844913,0.6241401490001408,0.321783,Solve_Succeeded,,True
8,0.9,0.09490272737249786,0.6010461503492575,-1.1356430063640288,0.08286990289948604,0.5000000086182086,0.5851964889998271,0.293664,Solve_Succeeded,,True
9,1.0,0.09789242276170455,0.5946149426654765,-1.0856430055090656,0.07092158401514022,0.5000000085496316,0.5814385930002572,0.291302,Solve_Succeeded,,True
10,1.1,0.10076577333313666,0.5891645114598971,-1.0356430046616738,0.06161440077863571,0.5000000084739182,0.6315792400000646,0.321364,Solve_Succeeded,,True
11,1.2000000000000002,0.10350151835766433,0.5845500278361685,-0.9856430038205253,0.05364490651766237,0.5000000084114848,0.6324140399997304,0.314252,Solve_Succeeded,,True
12,1.3,0.10612647419238783,0.5805881821675094,-0.9356430029863423,0.047525376628199494,0.5000000083418302,0.6216697509998994,0.326307,Solve_Succeeded,,True
13,1.4000000000000001,0.10867013854493798,0.5771369811703168,-0.8856430021586714,0.04287308790075449,0.5000000082767083,0.6087444640002104,0.309595,Solve_Succeeded,,True
14,1.5,0.1110111965546989,0.574272321789038,-0.8356430013403267,0.03699571052948509,0.5000000081834481,0.6262032459999318,0.32726,Solve_Succeeded,,True
15,1.6,0.11339302927146257,0.5716382536511793,-0.7856430005335819,0.035512592197033455,0.5000000080674475,0.6817787879999742,0.386763,Solve_Succeeded,,True
16,1.7000000000000002,0.11571972632100268,0.5693104169989148,-0.7356429997382803,0.03291252442454775,0.500000007953016,0.6150156580001749,0.320459,Solve_Succeeded,,True
17,1.8,0.11811210085161385,0.5671450032854999,-0.6856429989597854,0.03226836290387602,0.5000000077849488,0.6785378919998948,0.373245,Solve_Succeeded,,True
18,1.9000000000000001,0.1244342898806542,0.5619732161877408,-0.6356429982067299,0.08168075410001172,0.5000000075305553,0.6464284250000674,0.344176,Solve_Succeeded,,True
19,2.0,0.13257205676279285,0.5559692255596026,-0.5856429973020896,0.10112920116900134,0.5000000090464032,0.5676611040003081,0.271536,Solve_Succeeded,,True
20,2.1,0.14196307835786998,0.5497405018922464,-0.5356429964023572,0.11268907894001425,0.500000008997323,0.5758722840000701,0.269926,Solve_Succeeded,,True
21,2.2,0.1524408043838962,0.5435217360670862,-0.4856429956903741,0.12184243557342732,0.5000000071198313,0.5607156999999461,0.260582,Solve_Succeeded,,True
22,2.3000000000000003,0.16325576054362576,0.5378135535082433,-0.43564299498893005,0.12228925744395965,0.5000000070144405,0.5807166790000338,0.272593,Solve_Succeeded,,True
23,2.4000000000000004,0.17539858744402778,0.5321614473844072,-0.38564299421595866,0.13393825023802322,0.5000000077297141,0.5568021050003154,0.257886,Solve_Succeeded,,True
24,2.5,0.18818503448442256,0.5269705232984564,-0.3356429933109304,0.13799960897876648,0.5000000090502827,0.5643910969997705,0.260607,Solve_Succeeded,,True
25,2.6,0.20208768563616394,0.5221206919828856,-0.28564299261990517,0.14724285138386436,0.5000000069102521,0.5644022970000151,0.263315,Solve_Succeeded,,True
26,2.7,0.21635273676105618,0.5179314185246325,-0.2356429919916732,0.1486747105945771,0.5000000062823194,0.5604461009997976,0.253903,Solve_Succeeded,,True
27,2.8000000000000003,0.22989123661551703,0.5146807751700572,-0.18564299140027493,0.13923277650319307,0.5000000059139827,0.5485221140002068,0.244411,Solve_Succeeded,,True
