run_id,scenario,setting,status,s_max,min_psdf,solver_failure_count,mf_slack_max
g0_s_path_r1,s_path,G0,success,0.980324774765,0.00336354970932,0,1.1601566833e-10
g0_maze_r1,maze,G0,success,2.88324401909,0.00117073208094,0,1.23734600266e-10
r0_s_path_r1,s_path,R0,success,0.980369501755,0.0107514802366,0,0.200995990657
r0_maze_r1,maze,R0,collision,1.6228377652,-0.12210278213,20,0.580245581292
p1-l1_s_path_r1,s_path,linear=1,success,0.980372994707,0.0090670529753,0,0.199230420591
p1-l1_maze_r1,maze,linear=1,solver_fail,2.88425146835,0.00197018892504,2,0.382304826409
p1-l3_s_path_r1,s_path,linear=3,success,0.980368411781,0.00683226855472,0,0.176817881185
p1-l3_maze_r1,maze,linear=3,success,2.8841722094,0.00456778332591,0,0.147262332471
p1-l10_s_path_r1,s_path,linear=10,success,0.980366951528,0.0107166105881,0,0.173178279425
p1-l10_maze_r1,maze,linear=10,collision,1.95167631459,-0.0617258250713,20,0.0596857810805
p1-l30_s_path_r1,s_path,linear=30,collision,0.680414657115,-0.015743849799,20,0.18400056721
p1-l30_maze_r1,maze,linear=30,collision,1.60087392656,-0.152602091432,20,0.205805266231
p2-q0p1_s_path_r1,s_path,quadratic=0.1,collision,0.980365986456,-0.0186486467719,6,0.596620882597
p2-q0p1_maze_r1,maze,quadratic=0.1,success,2.88407997506,0.00129901617765,0,0.298751252165
p2-q10_s_path_r1,s_path,quadratic=10,collision,0.980366134723,-0.0187631547451,12,2.47416080064
p2-q10_maze_r1,maze,quadratic=10,success,2.88365653139,0.00612141191959,0,0.23744347533
p3-e0p3_s_path_r1,s_path,epsilon=0.3,success,0.980346650993,0.00615333672613,0,0.00292940486122
p3-e0p3_maze_r1,maze,epsilon=0.3,success,2.88405501698,0.00376233761199,0,0.324242558654
p3-e0p5_s_path_r1,s_path,epsilon=0.5,success,0.980333819771,0.006891194731,0,3.14435929515e-11
p3-e0p5_maze_r1,maze,epsilon=0.5,clearance_fail,2.88285936415,0.000211395337828,2,0.466404555589
p4-h5_s_path_r1,s_path,horizon=1-5,success,0.980333744955,0.0112484544516,0,3.74652341521e-11
p4-h5_maze_r1,maze,horizon=1-5,clearance_fail,2.8856548656,0.000918250530958,2,0.16922476736
p4-h10_s_path_r1,s_path,horizon=1-10,success,0.980368401917,0.0162508375943,0,0.408868181357
p4-h10_maze_r1,maze,horizon=1-10,success,2.88341977254,0.00290829688311,0,0.435001476579
p4-h20_s_path_r1,s_path,horizon=1-20,collision,0.980364220627,-0.00165520608425,4,0.848690741563
p4-h20_maze_r1,maze,horizon=1-20,collision,2.88418629197,-0.00962942838669,10,0.0690684456491
p5-c0_s_path_r1,s_path,covariance_scale=0,success,0.98032388277,0.00336258858442,0,2.95895923518e-10
p5-c0_maze_r1,maze,covariance_scale=0,success,2.88325331652,0.00135933607817,0,3.49880333527e-10
p5-c0p01_s_path_r1,s_path,covariance_scale=0.01,success,0.980324089316,0.00452619791031,0,1.7843278362e-10
p5-c0p01_maze_r1,maze,covariance_scale=0.01,success,2.88291755496,0.00182608515024,0,2.68414453518e-10
p5-c0p03_s_path_r1,s_path,covariance_scale=0.03,success,0.980323301349,0.00582748651505,0,2.81649325393e-10
p5-c0p03_maze_r1,maze,covariance_scale=0.03,success,2.88296172829,0.00242342054844,0,1.35036761648e-10
p5-c0p1_s_path_r1,s_path,covariance_scale=0.1,success,0.980323902101,0.00785752385855,0,1.19751527247e-10
p5-c0p1_maze_r1,maze,covariance_scale=0.1,success,2.88310279113,0.00386568903923,0,1.86102122064e-10
p5-c0p3_s_path_r1,s_path,covariance_scale=0.3,success,0.980323354453,0.0116678476334,0,1.4406466697e-10
p5-c0p3_maze_r1,maze,covariance_scale=0.3,success,2.88336707752,0.00589907169342,0,1.58248120508e-10
