timestep,x,y,theta,sdf_value,risk_margin_stage0,risk_margin_5,risk_margin_max,path_s,predicted_s,solver_status,planner_projected_s_raw,planner_projected_s,planner_slice_start_s,planner_slice_lookback,slice_start_s,slice_end_s,slice_start_idx,slice_end_idx,slice_n_segments
0,0.075,0.7949999999999999,-1.5707963267948966,0.029999956488609314,,,,0.012781250000000003,0.022310238815798432,0,0.011250000000000093,0.04125000000000009,0.011250000000000093,0.03,0.0,2.891614275999009,0,15,16
1,0.075,0.7826598772790299,-1.5707963218488885,0.0299999937415123,,,,0.023590122720970164,0.03213165578597599,0,0.023590122720970164,0.05359012272097016,0.023590122720970164,0.03,0.0,2.891614275999009,0,15,16
2,0.07500000005655971,0.771224450503761,-1.5619986462426658,0.0293419249355793,,,,0.03502554949623904,0.042972439850862035,0,0.03502554949623904,0.06502554949623904,0.03502554949623904,0.03,0.0,2.891614275999009,0,15,16
3,0.07510452498766167,0.7593437924424973,-1.5439937203280396,0.027901679277420044,,,,0.04072293298881466,0.05028940832257034,0,0.04690620755750274,0.07690620755750274,0.046906207557502744,0.03,0.0,2.891614275999009,0,15,16
4,0.07542478131492009,0.747397952942455,-1.5482597209622777,0.027896545827388763,,,,0.05502894083225703,0.06342272536848591,0,0.05885204705754498,0.08885204705754499,0.05885204705754499,0.03,0.0,2.891614275999009,0,15,16
5,0.07570844986176628,0.7348130711561901,-1.5442214563550993,0.02731456235051155,,,,0.05634227253684859,0.06805504019261283,0,0.07143692884380992,0.10143692884380992,0.07143692884380992,0.03,0.0,2.891614275999009,0,15,16
6,0.07602739224294353,0.7228142432859243,-1.551395433729449,0.02752610482275486,,,,0.0710068800240766,0.08164716029435938,0,0.08343575671407577,0.11343575671407577,0.08343575671407577,0.03,0.0,2.891614275999009,0,15,16
7,0.07627309038439352,0.7101515625856645,-1.546200159640806,0.026895999908447266,,,,0.08724707404415391,0.09690233787215045,0,0.09609843741433555,0.12609843741433555,0.09609843741433555,0.03,0.0,2.891614275999009,0,15,16
8,0.07661036701595045,0.6964417592468719,-1.5385387360141223,0.02599414251744747,,,,0.08953535068082255,0.10270627286501981,0,0.10980824075312813,0.13980824075312814,0.10980824075312814,0.03,0.0,2.891614275999009,0,15,16
9,0.0770203103139843,0.6837377386079543,-1.5198614835155126,0.024219591170549393,,,,0.10547359775137846,0.11788623265670019,0,0.12251226139204575,0.15251226139204577,0.12251226139204577,0.03,0.0,2.891614275999009,0,15,16
10,0.0777003155587782,0.670398793393998,-1.4913287269944155,0.021502509713172913,,,,0.12357724653134003,0.13504901103465328,0,0.13585120660600203,0.16585120660600203,0.13585120660600203,0.03,0.0,2.891614275999009,0,15,16
11,0.07880696440295676,0.6565023332879711,-1.4503732833130263,0.018889710307121277,,,,0.12700980220693064,0.14218033795889276,0,0.14974766671202888,0.17974766671202888,0.14974766671202888,0.03,0.0,2.891614275999009,0,15,16
12,0.08033374548860187,0.6438851996827405,-1.401173567110598,0.016258161514997482,,,,0.14449057604075088,0.15878698623952148,0,0.16236480031725953,0.19236480031725953,0.16236480031725953,0.03,0.0,2.891614275999009,0,15,16
13,0.08251599995789727,0.6311434837134677,-1.3409729634603953,0.013614971190690994,,,,0.16469674655988037,0.1776950569822467,0,0.1751065162865323,0.2051065162865323,0.1751065162865323,0.03,0.0,2.891614275999009,0,15,16
14,0.08550204695064709,0.6183802564560232,-1.2683555910191953,0.011095982044935226,,,,0.18636614067011784,0.19780723868007635,0,0.18786974354397679,0.21786974354397678,0.18786974354397679,0.03,0.0,2.891614275999009,0,15,16
15,0.08940775289109153,0.6058624722146188,-1.180687419304933,0.008810382336378098,,,,0.20038752778538127,0.21236429139935237,0,0.20038752778538127,0.23038752778538127,0.20038752778538127,0.03,0.0,2.891614275999009,0,15,16
16,0.09408455120925512,0.5944884439208188,-1.0789364329749207,0.006889946758747101,,,,0.21370928741980574,0.2257775583669572,0,0.21176155607918123,0.24176155607918123,0.21176155607918123,0.03,0.0,2.891614275999009,0,15,16
17,0.09951391014752675,0.5843548753129194,-0.9642892857822022,0.005399346351623535,,,,0.22948627750445724,0.23991652788536288,0,0.22948627750445724,0.25948627750445724,0.22948627750445724,0.03,0.2250000000000001,2.891614275999009,1,15,15
18,0.10504284368355299,0.5763850377856166,-0.8442892917208324,0.004292003810405731,,,,0.23787291319713416,0.2493941341504805,0,0.23725176832289283,0.2672517683228928,0.23725176832289283,0.03,0.2250000000000001,2.891614275999009,1,15,15
19,0.1116883282244215,0.568906830181951,-0.7242892917209156,0.003673318773508072,,,,0.25121970670752414,0.2626390490504627,0,0.24592104539858498,0.275921045398585,0.24592104539858498,0.03,0.2250000000000001,2.891614275999009,1,15,15
20,0.12038545851273535,0.561212605776967,-0.6042892917392171,0.0037447214126586914,,,,0.2566049950388979,0.2705450855969074,0,0.2566049950388979,0.2866049950388979,0.2566049950388979,0.03,0.2250000000000001,2.891614275999009,1,15,15
21,0.1303398752955873,0.5543395563622185,-0.48428929173967084,0.004563167691230774,,,,0.2682220330447725,0.28275128141443756,0,0.2682220330447725,0.29822203304477246,0.26822203304477243,0.03,0.2250000000000001,2.891614275999009,1,15,15
22,0.14200297409072266,0.5482038925734237,-0.3643251754402903,0.006245963275432587,,,,0.28122688732819145,0.29609562123516775,0,0.28122688732819145,0.3112268873281915,0.28122688732819145,0.03,0.2250000000000001,2.891614275999009,1,15,15
23,0.1553173590871355,0.5431264665392009,-0.2587029303419716,0.008620630949735641,,,,0.2963869526543961,0.31106114939437124,0,0.2954636450900207,0.3254636450900207,0.29546364509002065,0.03,0.2250000000000001,2.891614275999009,1,15,15
24,0.17001810695753927,0.5392361611755602,-0.16700588206415934,0.011590801179409027,,,,0.3106402216377918,0.3254829512401332,0,0.3106402216377918,0.34064022163779184,0.3106402216377918,0.03,0.2250000000000001,2.891614275999009,1,15,15
25,0.18550134125315718,0.5366260586418165,-0.08682765198124685,0.015056617558002472,,,,0.32615429430716814,0.34050551467468243,0,0.32615429430716814,0.35615429430716816,0.32615429430716814,0.03,0.2250000000000001,2.891614275999009,1,15,15
26,0.20115244777915253,0.5352636844241805,-0.010809274125527873,0.01917967200279236,,,,0.34143305821971126,0.3552198199740694,0,0.34143305821971126,0.3714330582197113,0.34143305821971126,0.03,0.2250000000000001,2.891614275999009,1,15,15
27,0.21655746274601684,0.5350971609088868,0.0573738414676911,0.01567620225250721,,,,0.35389287500233113,0.3678936326233947,0,0.35389287500233113,0.38389287500233116,0.35389287500233113,0.03,0.3435854122563143,2.891614275999009,2,15,14
28,0.23127814842825273,0.5359426711374358,0.11572552306320777,0.010714024305343628,,,,0.368613560684567,0.3820034362680951,0,0.368613560684567,0.398613560684567,0.36861356068456697,0.03,0.3435854122563143,2.891614275999009,2,15,14
29,0.245543102314661,0.5376008995559742,0.16548916197059307,0.0075756944715976715,,,,0.38287851457097527,0.39577724604141273,0,0.38287851457097527,0.41287851457097524,0.3828785145709752,0.03,0.3435854122563143,2.891614275999009,2,15,14
30,0.25929199774585954,0.5398971937233659,0.20898591302097594,0.005349479615688324,,,,0.39662741000217383,0.4090599781070413,0,0.39662741000217383,0.42662741000217386,0.39662741000217383,0.03,0.3435854122563143,2.891614275999009,2,15,14
31,0.27238423975899606,0.54267382935574,0.2357145859017379,0.004291664808988571,,,,0.40971965201531035,0.42185867323059867,0,0.40971965201531035,0.4397196520153104,0.40971965201531035,0.03,0.3435854122563143,2.891614275999009,2,15,14
32,0.28491807763838123,0.5456841987884752,0.25307016338000543,0.003809574991464615,,,,0.4222534898946955,0.434170166060899,0,0.4222534898946955,0.4522534898946955,0.42225348989469547,0.03,0.3435854122563143,2.891614275999009,2,15,14
33,0.2968871465011222,0.5487795775427156,0.27516437364146196,0.003447752445936203,,,,0.4342225587574365,0.4460080636854632,0,0.4342225587574365,0.46422255875743645,0.4342225587574364,0.03,0.3435854122563143,2.891614275999009,2,15,14
34,0.30829749071292745,0.5520010153265708,0.2964504750116205,0.0033291950821876526,,,,0.44563290296924174,0.4578801751290241,0,0.44563290296924174,0.47563290296924177,0.44563290296924174,0.03,0.3435854122563143,2.891614275999009,2,15,14
35,0.3197272251849558,0.5554922428511123,0.2965292493855438,0.0033296607434749603,,,,0.4607257126925506,0.47242547460866624,0,0.4607257126925506,0.4907257126925506,0.4607257126925506,0.03,0.45608541225631427,2.891614275999009,3,15,13
36,0.33156155092980505,0.5591080725602592,0.3047516108186648,0.003477945923805237,,,,0.4730961656215992,0.48508734008014087,0,0.4730961656215992,0.5030961656215992,0.4730961656215992,0.03,0.45608541225631427,2.891614275999009,3,15,13
37,0.34328158742494974,0.5627946128516055,0.3117184401480004,0.003686625510454178,,,,0.4853805548977489,0.4976329640341896,0,0.4853805548977489,0.5153805548977489,0.4853805548977489,0.03,0.45608541225631427,2.891614275999009,3,15,13
