solve_step,horizon_stage,phi,d_mf_mask,phi_gt_d_mf_mask,mf_valid,mf_active,row_g_residual,row_g_feasible,row_m_residual_before_slack,row_m_lower_slack,row_m_residual_after_slack,row_m_feasible_before_slack,row_m_feasible_after_slack
0,1,0.029999956488609314,0.001,True,False,False,0.04134007943214835,True,,,,,
0,2,0.029999956488609314,0.001,True,False,False,0.05360430481352918,True,,,,,
0,3,0.029999956488609314,0.001,True,False,False,0.06578467722594983,True,,,,,
0,4,0.029999956488609314,0.001,True,False,False,0.07787059152932574,True,,,,,
0,5,0.029999956488609314,0.001,True,False,False,0.08985069684408165,True,,,,,
0,6,0.029999956488609314,0.001,True,False,False,0.10171429392994358,True,,,,,
0,7,0.029999956488609314,0.001,True,False,False,0.11345249988986261,True,,,,,
0,8,0.029999956488609314,0.001,True,False,False,0.1250593599694293,True,,,,,
0,9,0.029999956488609314,0.001,True,False,False,0.1365330280791237,True,,,,,
0,10,0.029999956488609314,0.001,True,False,False,0.14787709237923763,True,,,,,
0,11,0.029999956488609314,0.001,True,False,False,0.1591020672982041,True,,,,,
0,12,0.029999956488609314,0.001,True,False,False,0.17022698035565165,True,,,,,
0,13,0.029999956488609314,0.001,True,False,False,0.18128081155003328,True,,,,,
0,14,0.029999956488609314,0.001,True,False,False,0.19230324305103907,True,,,,,
0,15,0.029999956488609314,0.001,True,False,False,0.20334369698832833,True,,,,,
0,16,0.029999956488609314,0.001,True,False,False,0.2144569780171801,True,,,,,
0,17,0.029999956488609314,0.001,True,False,False,0.22569314981708566,True,,,,,
0,18,0.029999956488609314,0.001,True,False,False,0.23707902536347225,True,,,,,
0,19,0.029999956488609314,0.001,True,False,False,0.24858967063550075,True,,,,,
0,20,0.029999956488609314,0.001,True,False,False,0.26011141601855026,True,,,,,
1,1,0.0299999937415123,0.001,True,False,False,0.029608606904970136,True,,,,,
1,2,0.0299999937415123,0.001,True,False,False,0.030237463753394783,True,,,,,
1,3,0.0299999937415123,0.001,True,False,False,0.03087250942070552,True,,,,,
1,4,0.030000001192092896,0.001,True,False,False,0.03149638914425293,True,,,,,
1,5,0.030000001192092896,0.001,True,False,False,0.032088988707592886,True,,,,,
1,6,0.030000001192092896,0.001,True,False,False,0.032628119117521226,True,,,,,
1,7,0.0299999937415123,0.001,True,False,False,0.017632115392355437,True,,,,,
1,8,0.0299999937415123,0.001,True,False,False,0.014618851202573967,True,,,,,
1,9,0.0299999937415123,0.001,True,False,False,0.011228209692129891,True,,,,,
1,10,0.0299999937415123,0.001,True,False,False,0.007461654816451661,True,,,,,
1,11,0.0299999937415123,0.001,True,False,False,0.0053669373287015786,True,,,,,
1,12,0.0299999937415123,0.001,True,False,False,0.0037075614161540572,True,,,,,
1,13,0.0299999937415123,0.001,True,False,False,0.025191899146387864,True,,,,,
1,14,0.0299999937415123,0.001,True,False,False,0.02600689880794005,True,,,,,
1,15,0.030000001192092896,0.001,True,False,False,0.00044968227816630235,True,,,,,
1,16,0.030000001192092896,0.001,True,False,False,2.5025537198075654e-12,True,,,,,
1,17,0.0299999937415123,0.001,True,False,False,0.03024080077843913,True,,,,,
1,18,0.0299999937415123,0.001,True,False,False,0.032933484067040136,True,,,,,
