time,stage,v,omega,sigma_f,sigma_l,sigma_psi,P_lpsi
0.0,0,0.0905645202332938,-3.015835116980083e-09,0.000200000006500772,0.00025000001416641284,0.00025000001416641284,-1.4373558260786464e-27
0.0,1,0.09342219663012995,-2.8594331049703795e-09,0.00020000002452270432,0.00025000002858395536,0.00025000002858395536,5.660282514580863e-10
0.0,2,0.09550663632129908,-2.7128252749513744e-09,0.00020000002452270432,0.00025000002858395536,0.00025000002858395536,1.1499169803963985e-09
0.0,3,0.09714885936307277,-2.5713560609292484e-09,0.00020000002452270432,0.00025000002858395536,0.00025000002858395536,1.7468334574045177e-09
0.0,4,0.0985557066305248,-2.432003277773777e-09,0.00020000002452270432,0.00025000002858395536,0.00025000002858395536,2.3540138284237227e-09
0.0,5,0.09986073024574324,-2.292835732397536e-09,0.00020000002452270432,0.00025000002858395536,0.00025000002858395536,2.969986994864503e-09
0.0,6,0.10115405021997519,-2.152654450260846e-09,0.00020000002452270432,0.00025000002858395536,0.00025000002858395536,3.594116558900398e-09
0.0,7,0.10249949141204868,-2.0107528778693713e-09,0.00020000002452270432,0.00025000002858395536,0.00025000002858395536,4.226329372775244e-09
0.0,8,0.10394390061892789,-1.8667553157337917e-09,0.00020000002452270432,0.00025000002858395536,0.00025000002858395536,4.866951194100548e-09
0.0,9,0.10552149165705894,-1.7205074257605594e-09,0.00020000002452270432,0.00025000002858395536,0.00025000002858395536,5.516600572968847e-09
0.0,10,0.10725482465239526,-1.5720017650957307e-09,0.00020000002452270432,0.00025000002858395536,0.00025000002858395536,6.176109895825466e-09
0.0,11,0.10915325678185545,-1.4213270882634453e-09,0.00020000002452270432,0.00025000002858395536,0.00025000002858395536,6.846452549902935e-09
0.0,12,0.11120919314836127,-1.2686338979806308e-09,0.00020000002452270432,0.00025000002858395536,0.00025000002858395536,7.528660404789533e-09
0.0,13,0.11339207740603424,-1.1141111710899863e-09,0.00020000002452270432,0.00025000002858395536,0.00025000002858395536,8.22371786196679e-09
0.0,14,0.11563969162280806,-9.57970806478993e-10,0.00020000002452270432,0.00025000002858395536,0.00025000002858395536,8.932418345754506e-09
0.0,15,0.1178596003750236,-8.004374255462335e-10,0.00020000002452270432,0.00025000002858395536,0.00025000002858395536,9.655166418397057e-09
0.0,16,0.11992785760384285,-6.417418877993197e-10,0.00020000002452270432,0.00025000002858395536,0.00025000002858395536,1.0391788920740954e-08
0.0,17,0.1216234073324869,-4.821173811344041e-10,0.00020000002452270432,0.00025000002858395536,0.00025000002858395536,1.1141338030764972e-08
0.0,18,0.12257746847434164,-3.217972856408967e-10,0.00020000002452270432,0.00025000002858395536,0.00025000002858395536,1.1901484326593015e-08
0.0,19,0.12222422451979023,-1.6101424059800972e-10,0.00020000002452270432,0.00025000002858395536,0.00025000002858395536,1.266759350455765e-08
0.0,20,,,0.00020000002452270432,0.00025000002858395536,0.00025000002858395536,1.343149490780634e-08
0.1,0,0.06916786896187034,1.1074918860763852,0.0002000000780491209,0.000249999958539273,0.0002500000226456998,5.896374952355258e-16
0.1,1,0.0706870237824379,0.9973141868982935,0.0009514597003962561,0.001937559017529712,0.0033955918085091506,2.9101617145719732e-08
0.1,2,0.0716795745999808,0.8869596751197989,0.001342098733545926,0.002870322788589118,0.004892017922463873,1.6713972848691064e-07
0.1,3,0.07228297173943159,0.7773727637932254,0.0016478093091211697,0.003717932267014765,0.006114525807631261,4.2781638825494977e-07
0.1,4,0.07257828751073916,0.6690049448356588,0.0019069815537069957,0.004543202369940066,0.007203814272392672,8.243902549893156e-07
0.1,5,0.07262339847331978,0.5620150678778045,0.0021342762118976423,0.005358549411271926,0.008208001457742446,1.3694332082015637e-06
0.1,6,0.07246970894010307,0.4563604564621568,0.0023370049424754026,0.0061634499318852,0.009147550520100202,2.074594724162304e-06
0.1,7,0.0721704345351894,0.3518521735313383,0.002519405794380686,0.006953507731714593,0.0100318349521971,2.9504331064354e-06
0.1,8,0.07178436952797779,0.24818888713840637,0.00268424096208859,0.007723406000695675,0.010865218265950452,4.006332158706341e-06
0.1,9,0.07137682419848455,0.14497816329757973,0.0028335316472761158,0.008468142934188303,0.011649859682799642,5.250517675027654e-06
0.1,10,0.0710182792706415,0.04175100462398374,0.0029689493325731476,0.00918375316728488,0.012387288046428625,6.690189176733585e-06
0.1,11,0.0707807030522572,-0.06202571846607161,0.0030920481712339333,0.009867875130677491,0.013079446210443742,8.331779479856414e-06
0.1,12,0.07073108209770626,-0.1669340989020261,0.0032044114751756045,0.01052023966232341,0.01372945130321805,1.0181342186557763e-05
0.1,13,0.07092131065602642,-0.27358102626086395,0.0033077385934253876,0.011143023797927159,0.014342112528572456,1.2245036340821627e-05
0.1,14,0.0713729857155861,-0.3825560125276121,0.0034038724796860652,0.011740921648190952,0.01492412106674473,1.4529613021127185e-05
0.1,15,0.07205465105945028,-0.49436426492821994,0.0034947475196058864,0.012320695549163554,0.015483716283838359,1.7042685554757972e-05
0.1,16,0.07284761790077764,-0.6093236499579479,0.0035821803552496716,0.01288965871440648,0.016029298712336867,1.9792551136810797e-05
0.1,17,0.07349376009639094,-0.727371900520053,0.003667432533866127,0.013452615322168935,0.01656651017685615,2.2786814518059643e-05
0.1,18,0.07351375623469261,-0.8477289207157853,0.0037506046654788142,0.01400769815341291,0.017094183070518926,2.60275123866612e-05
0.1,19,0.09640152865638033,-0.48200694360258195,0.0038296788711728895,0.014539910343643532,0.017597971989837972,2.950122099126743e-05
0.1,20,,,0.00404867001341058,0.015951591881417385,0.018985485229223227,3.348291510783999e-05
0.2,0,0.0681617043998093,0.8949401980517762,0.00020000000660459478,0.00024999999869261655,0.00024999999972584404,-1.9216370258395065e-16
0.2,1,0.06967134693739875,0.8191875063939614,0.0009933457434582094,0.0021760725271080896,0.024849790772927757,2.085779455905873e-06
0.2,2,0.07990288893048349,0.7467135008279517,0.0014175019305263687,0.0032410128818817613,0.0338090490485023,8.26591476382723e-06
0.2,3,0.08740557215443556,0.6808111211617287,0.0018332812464314924,0.004404453893034682,0.0399087328137533,1.8355729327461596e-05
0.2,4,0.09295341070572055,0.6216565469181385,0.002229402182549082,0.005625493403787064,0.04449773512522041,3.17030788943015e-05
0.2,5,0.0970902779846669,0.5690200874477912,0.0026030579925639527,0.006884372753224492,0.04812097337790294,4.778063120665996e-05
0.2,6,0.10020483731897276,0.522406928293393,0.0029537005761960337,0.008169075609293475,0.05105550123794355,6.615169606673082e-05
0.2,7,0.10258120709742638,0.481138337389313,0.0032814896641675047,0.00947163864287728,0.05345182391932286,8.644064902243309e-05
0.2,8,0.10443022654104847,0.44440367473986,0.0035868521127327226,0.010786648083012489,0.05538805380105961,0.00010830965433130463
0.2,9,0.10590730285804506,0.41129708664811154,0.0038703811088912207,0.012110410112059971,0.05689549664634631,0.00013144122829937955
0.2,10,0.10712152909617834,0.3808439177577004,0.004132877121758167,0.013440368489614834,0.057972264161667224,0.00015552526421309864
0.2,11,0.10813885164550874,0.35201767802924444,0.004375479476737135,0.014774598182662472,0.058590685505274014,0.0001802484396792938
0.2,12,0.10898017417861793,0.32374715979970947,0.004599875285605086,0.016111273810754924,0.05870069945577039,0.0002052832992978158
0.2,13,0.10961359724844623,0.29491440535445995,0.004808573646887175,0.017448021217928718,0.058229901735588036,0.0002302739021932226
0.2,14,0.10993863480717563,0.26434801467919006,0.005005216235174888,0.01878104228341726,0.057079960641762725,0.0002548150127190725
0.2,15,0.10975942687236107,0.2308246828974715,0.005194863742195709,0.02010387458660121,0.055117900907526766,0.0002784227776184526
0.2,16,0.10874434600713034,0.19310703313928856,0.005384149722309912,0.021405630035461094,0.052158060957765214,0.000300497271049513
0.2,17,0.1063852345707133,0.150072258808992,0.0055811404456502746,0.02266859707231139,0.047922854900543474,0.0003202822758702617
0.2,18,0.10199641193120047,0.10102128346280836,0.005794734820492433,0.023867160773101807,0.0419447952930997,0.00033683811916439846
0.2,19,0.09665398112843779,0.03757045204278425,0.006033465473382642,0.02499635155642011,0.03325954228136869,0.00034906923949476097
0.2,20,,,0.006212936124175396,0.026155359091552928,0.030848407187663504,0.000358999016845868
0.30000000000000004,0,0.07952802173724147,0.899348657658984,0.0002000000001099671,0.0002499999999872471,0.00024999999999265166,-4.796139897799425e-18
0.30000000000000004,1,0.07932254869512781,0.8218914978268838,0.0011455190502173726,0.002856622593387239,0.0258021054410484,2.641295366577168e-06
0.30000000000000004,2,0.08733460281187716,0.7427463071904296,0.0016238736144089452,0.004132897842949011,0.03500502649995877,1.0091366222046143e-05
0.30000000000000004,3,0.09369645207200498,0.6621978754390329,0.0020689058719515077,0.005437238385129573,0.041124694383147656,2.2766504611815693e-05
0.30000000000000004,4,0.09884218523206433,0.5837131925483013,0.0024893837402627326,0.006799528282130139,0.04551583179296024,4.033837772254137e-05
0.30000000000000004,5,0.10307024438943974,0.5094007532151088,0.002888700397016317,0.008225049478970802,0.04876902443952239,6.228727822550199e-05
0.30000000000000004,6,0.10659559717912394,0.44045441029651566,0.003268648351324129,0.009710913093318356,0.05122371766477478,8.804397204553209e-05
0.30000000000000004,7,0.1095818256606555,0.3774529007624226,0.003630491103217436,0.011251448540436049,0.053102009350565194,0.00011706688115533658
0.30000000000000004,8,0.11215998654364348,0.32056427363044393,0.003975359196151849,0.012840261697750953,0.054559762264492266,0.00014887879823862664
0.30000000000000004,9,0.11443923358995955,0.2696884752525076,0.00430440729692703,0.014471011973849961,0.05571114208069734,0.00018307981715466536
0.30000000000000004,10,0.11651222610707213,0.2245579954569275,0.004618870271914361,0.016137602700898406,0.05664238803706402,0.00021934720506478736
0.30000000000000004,11,0.11845663623216522,0.18480799139053497,0.004920073270635437,0.01783404376915606,0.05742037474757206,0.0002574285764966489
0.30000000000000004,12,0.12033256725173305,0.15002243658582184,0.005209416916986375,0.019554078724239157,0.05809821079987086,0.0002971312858745795
0.30000000000000004,13,0.12217420696715334,0.11976007829545876,0.005488338203385473,0.02129058678909182,0.058718856440632516,0.00033830785321628943
0.30000000000000004,14,0.12397223123046294,0.09356263055157557,0.005758230300432351,0.023034709850817736,0.05931718571969878,0.00038083405320132456
0.30000000000000004,15,0.12565506959663333,0.07094958607362803,0.006020285682782938,0.024774590578517063,0.05992062489439236,0.0004245726866291674
0.30000000000000004,16,0.12712168606309318,0.051416924222623867,0.006275254304771158,0.026497647839365333,0.06054979868291652,0.00046931735231849937
0.30000000000000004,17,0.12822756981949093,0.0344535500056293,0.006523279661809746,0.02824505363728045,0.061237825075413886,0.0005147356774530024
0.30000000000000004,18,0.1287230953194979,0.019581627652790784,0.00676364170446581,0.03005183945900356,0.0620102445717285,0.0005602545235371917
0.30000000000000004,19,0.12813712097794505,0.006306884583535545,0.0069940096024588335,0.03194250948223368,0.06287969778669555,0.0006048413763105973
0.30000000000000004,20,,,0.007211206334066489,0.033937075414201504,0.0638495737480262,0.0006472532743752053
0.4,0,0.09151179315759661,0.7909151594015873,0.0001999999999987417,0.0002499999999994673,0.00024999999999994867,-2.863630985499029e-20
0.4,1,0.0929188360423068,0.7215224198885174,0.0013138962775812663,0.0034863349614365,0.022736108469951874,2.4554553990391386e-06
0.4,2,0.10012976728603686,0.6546377996825237,0.001877079826674846,0.005116742040171968,0.03087144751426303,9.572139872920378e-06
0.4,3,0.10554403943089953,0.5914825033560642,0.002379096134157542,0.006705008513738767,0.036383363258629925,2.138135678435444e-05
0.4,4,0.10967619626845662,0.5338077058556192,0.0028412897854425104,0.008306063657180887,0.04049504961393722,3.749582595204665e-05
0.4,5,0.11289510344254798,0.48246330066632503,0.003272110115819853,0.009934936449522444,0.043726355648944386,5.746206706226559e-05
0.4,6,0.1154714607915032,0.4376849367094655,0.0036764282988048257,0.011595087237533361,0.04636406739281862,8.085387278099359e-05
0.4,7,0.11760749766754997,0.39928990975639955,0.004057818184081846,0.013286054914648966,0.04858604122284701,0.00010731215589136799
0.4,8,0.11945519890337915,0.36681535003370624,0.004419249796547012,0.015005913524077433,0.05050924358269278,0.00013655531684388374
0.4,9,0.12112722347388778,0.3396187278194608,0.004763304952459768,0.0167519250654336,0.05221301643584256,0.0001683747761595953
0.4,10,0.12270239432854459,0.3169517158241234,0.005092232616940732,0.018520417413331436,0.05375208778193906,0.0002026239752898014
0.4,11,0.12422549584670106,0.29801343470022823,0.00540795039969092,0.02030625873662107,0.055164478658030605,0.00023920485029333425
0.4,12,0.1256990009927573,0.2819868067268969,0.00571202169966152,0.022102062155644947,0.05647644529620673,0.00027805258468883786
0.4,13,0.12706393729405557,0.26806184580509557,0.006005598935607693,0.023897137739726983,0.057705453463131634,0.0003191165925065134
0.4,14,0.1282286428996754,0.25545930231167685,0.0062892974300462305,0.0256711832958186,0.05885995994165538,0.00036233187191379623
