timestep,x,y,theta,sdf_value,risk_margin_stage0,risk_margin_5,risk_margin_max,path_s,predicted_s,solver_status,planner_projected_s_raw,planner_projected_s,planner_slice_start_s,planner_slice_lookback,slice_start_s,slice_end_s,slice_start_idx,slice_end_idx,slice_n_segments
0,0.3,0.2,0.0,0.10499998927116394,,,,0.015811388300841868,0.025739407621172612,0,0.015811388300841864,0.04581138830084186,0.01581138830084186,0.03,0.0,0.987913663321624,0,4,5
1,0.30905645202088866,0.2,-1.213530606042587e-10,0.10499998927116394,,,,0.026286970381058632,0.03379732826362647,0,0.02440309307265477,0.05440309307265477,0.024403093072654772,0.03,0.0,0.987913663321624,0,4,5
2,0.31597323160667523,0.19999999999916063,0.11075301595397118,0.09698618948459625,,,,0.030964926341721814,0.03974164729060068,0,0.030964926341721804,0.060964926341721806,0.030964926341721807,0.03,0.0,0.987913663321624,0,4,5
3,0.3237143512953121,0.2008608751309078,0.1816680408009515,0.09132935851812363,,,,0.04048062354679505,0.04980410344938572,0,0.038581029918273474,0.06858102991827347,0.038581029918273474,0.03,0.0,0.987913663321624,0,4,5
4,0.3335824332333933,0.20267357594657665,0.23621309503515453,0.08602433651685715,,,,0.04851594076612092,0.057048964171066585,0,0.04851594076612091,0.07851594076612091,0.04851594076612091,0.03,0.0,0.987913663321624,0,4,5
5,0.3412378593455358,0.20451628838827762,0.31965696945823335,0.07919518649578094,,,,0.05636123249702081,0.06639510473651138,0,0.05636123249702079,0.0863612324970208,0.0563612324970208,0.03,0.0,0.987913663321624,0,4,5
6,0.3514346654837233,0.20789152040831768,0.3586287055979238,0.07364711910486221,,,,0.06710211425526405,0.07596899167625369,0,0.06710211425526402,0.09710211425526402,0.06710211425526402,0.03,0.0,0.987913663321624,0,4,5
7,0.36003109424761887,0.2111137892624451,0.4530987675478026,0.06559538841247559,,,,0.07627637352769913,0.08576643934202358,0,0.0762763735276991,0.1062763735276991,0.0762763735276991,0.03,0.0,0.987913663321624,0,4,5
8,0.3698969516517926,0.2159173040407252,0.4972657635488602,0.05875580385327339,,,,0.08715495241535114,0.09725314142849636,0,0.0871549524153511,0.1171549524153511,0.0871549524153511,0.03,0.0,0.987913663321624,0,4,5
9,0.3801791277810745,0.22149803242295077,0.5468685857776018,0.05106376111507416,,,,0.0986742624458725,0.10715123167730427,0,0.09867426244587246,0.12867426244587246,0.09867426244587246,0.03,0.0,0.987913663321624,0,4,5
10,0.3889467037507882,0.2268357760612231,0.5868615861173371,0.04418697580695152,,,,0.10625146554352824,0.11833145821343585,0,0.10867985807903034,0.13867985807903033,0.10867985807903033,0.03,0.0,0.987913663321624,0,4,5
11,0.40042034746486166,0.23446597610743986,0.6138766318276946,0.037152934819459915,,,,0.12197759335323083,0.13004068476462266,0,0.1219775933532308,0.1519775933532308,0.1219775933532308,0.03,0.0,0.987913663321624,0,4,5
12,0.4086545281429879,0.2402686434678394,0.7092872858052247,0.029010774567723274,,,,0.12600813695292454,0.13847859933979956,0,0.1316241875720174,0.1616241875720174,0.1316241875720174,0.03,0.0,0.987913663321624,0,4,5
13,0.41864428930553477,0.248842757211705,0.7513635905045116,0.0245828777551651,,,,0.14365768485145491,0.15158533809664204,0,0.14381267997323618,0.17381267997323618,0.14381267997323618,0.03,0.0,0.987913663321624,0,4,5
14,0.42617908453615655,0.2558813614142426,0.7911197097224247,0.022008530795574188,,,,0.14660670107174448,0.16091259121576987,0,0.15318661644560294,0.18318661644560294,0.15318661644560294,0.03,0.0,0.987913663321624,0,4,5
15,0.436900545461357,0.26672621636124727,0.811846275862898,0.020940229296684265,,,,0.1606783908869309,0.1713392074543108,0,0.1606783908869309,0.1906783908869309,0.1606783908869309,0.03,0.158113883008419,0.987913663321624,1,4,4
16,0.44365837695619015,0.2738513106770355,0.9250780874231544,0.015726003795862198,,,,0.1709445161195663,0.18516437488353446,0,0.17049510187033104,0.20049510187033104,0.17049510187033104,0.03,0.158113883008419,0.987913663321624,1,4,4
