timestep,x,y,theta,sdf_value,risk_margin_stage0,risk_margin_5,risk_margin_max,path_s,predicted_s,solver_status,planner_projected_s_raw,planner_projected_s,planner_slice_start_s,planner_slice_lookback,slice_start_s,slice_end_s,slice_start_idx,slice_end_idx,slice_n_segments
0,0.075,0.7949999999999999,-1.5707963267948966,0.029999956488609314,,,,0.012781250000000003,0.02231029132666841,0,0.011250000000000093,0.04125000000000009,0.011250000000000093,0.03,0.0,2.891614275999009,0,15,16
1,0.075,0.7826598548046049,-1.5707962449957134,0.0299999937415123,,,,0.02359014519539515,0.03213167830550266,0,0.02359014519539515,0.05359014519539515,0.02359014519539515,0.03,0.0,2.891614275999009,0,15,16
2,0.07500000093540893,0.7712244235517609,-1.561998588974148,0.0293419249355793,,,,0.035025576448239115,0.04347224199944093,0,0.035025576448239115,0.06502557644823911,0.035025576448239115,0.03,0.0,2.891614275999009,0,15,16
3,0.07511241765655331,0.7584468410571177,-1.5555495779517563,0.028749357908964157,,,,0.040760418149958066,0.052029810263248474,0,0.04780315894288233,0.07780315894288234,0.04780315894288234,0.03,0.0,2.891614275999009,0,15,16
4,0.07533299898200595,0.7439805285928054,-1.5520994122961396,0.028272690251469612,,,,0.05520298102632485,0.06271867284194443,0,0.06226947140719463,0.09226947140719463,0.06226947140719463,0.03,0.0,2.891614275999009,0,15,16
5,0.07553237442764132,0.7333182231675343,-1.5186504362974544,0.0256196241825819,,,,0.05627186728419444,0.0661026747213629,0,0.07293177683246577,0.10293177683246577,0.07293177683246577,0.03,0.0,2.891614275999009,0,15,16
6,0.07601666283098285,0.7240394600453064,-1.5065822187626923,0.02426333539187908,,,,0.07076283434017036,0.08197714746645342,0,0.08221053995469363,0.11221053995469363,0.08221053995469363,0.03,0.0,2.891614275999009,0,15,16
7,0.07704038042558155,0.7081191248474781,-1.536917507355468,0.02544501982629299,,,,0.08729657211996802,0.09510569942967502,0,0.09813087515252195,0.12813087515252194,0.09813087515252195,0.03,0.0,2.891614275999009,0,15,16
8,0.07745384223927627,0.6959196556373564,-1.5414021470999368,0.025361353531479836,,,,0.08926585491445127,0.09866121713418527,0,0.11033034436264366,0.14033034436264366,0.11033034436264366,0.03,0.0,2.891614275999009,0,15,16
9,0.07770710111712066,0.6873061839837644,-1.5631622914520455,0.026721660047769547,,,,0.10476571299848242,0.11957069264705085,0,0.1189438160162356,0.1489438160162356,0.1189438160162356,0.03,0.0,2.891614275999009,0,15,16
10,0.07787268077509794,0.6656169418004605,-1.6180351221011569,0.02363593876361847,,,,0.12391413852941018,0.13441483810726834,0,0.14063305819953953,0.17063305819953953,0.14063305819953953,0.03,0.0,2.891614275999009,0,15,16
11,0.07715851591733369,0.6505100036669681,-1.6337403673675,0.023212909698486328,,,,0.14274333857413535,0.1524132885982989,0,0.15573999633303193,0.18573999633303193,0.15573999633303193,0.03,0.0,2.891614275999009,0,15,16
