time,stage,v,omega,sigma_f,sigma_l,sigma_psi,P_lpsi
0.0,0,0.12340124609661114,1.4740961964262856e-07,0.0002000012435906442,0.00024999952990864826,0.00024999952990864826,2.0583855499916937e-28
0.0,1,0.12264226683051904,1.0859216587042245e-07,0.00020000251225341762,0.0002500005448480167,0.0002500005448480167,7.712577881038197e-10
0.0,2,0.12180373315034354,7.924487199324592e-08,0.00020000251225341762,0.0002500005448480167,0.0002500005448480167,1.5377719557945637e-09
0.0,3,0.12085914866187839,5.804716284141362e-08,0.00020000251225341762,0.0002500005448480167,0.0002500005448480167,2.299045287984211e-09
0.0,4,0.11980105611016933,4.27089694182067e-08,0.00020000251225341762,0.0002500005448480167,0.0002500005448480167,3.054414967120951e-09
0.0,5,0.11863597181572015,3.143700331028204e-08,0.00020000251225341762,0.0002500005448480167,0.0002500005448480167,3.80317156780951e-09
0.0,6,0.11738205909181941,2.2984401515337057e-08,0.00020000251225341762,0.0002500005448480167,0.0002500005448480167,4.54464639165776e-09
0.0,7,0.11606859924656909,1.6512392245963308e-08,0.00020000251225341762,0.0002500005448480167,0.0002500005448480167,5.278284260981632e-09
0.0,8,0.11473667882449813,1.146174082823314e-08,0.00020000251225341762,0.0002500005448480167,0.0002500005448480167,6.003713006272689e-09
0.0,9,0.11344064023624072,7.459706517992921e-09,0.00020000251225341762,0.0002500005448480167,0.0002500005448480167,6.7208172489258025e-09
0.0,10,0.11224974609413403,4.257576583941928e-09,0.00020000251225341762,0.0002500005448480167,0.0002500005448480167,7.429821250402307e-09
0.0,11,0.11124912725966832,1.690204332598031e-09,0.00020000251225341762,0.0002500005448480167,0.0002500005448480167,8.131382163490644e-09
0.0,12,0.110538308483106,-3.4949944529782885e-10,0.00020000251225341762,0.0002500005448480167,0.0002500005448480167,8.826689208863572e-09
0.0,13,0.11022431144778114,-1.9261111856068283e-09,0.00020000251225341762,0.0002500005448480167,0.0002500005448480167,9.517553636882986e-09
0.0,14,0.11040453573096752,-3.0708405899450178e-09,0.00020000251225341762,0.0002500005448480167,0.0002500005448480167,1.0206455583431617e-08
0.0,15,0.11113280657120136,-3.7870696084426836e-09,0.00020000251225341762,0.0002500005448480167,0.0002500005448480167,1.0896483931750164e-08
0.0,16,0.11236171419614155,-4.055027799283699e-09,0.00020000251225341762,0.0002500005448480167,0.0002500005448480167,1.1591063972820172e-08
0.0,17,0.11385875155356176,-3.83884125044397e-09,0.00020000251225341762,0.0002500005448480167,0.0002500005448480167,1.2293324686546057e-08
0.0,18,0.11510644867700298,-3.0993509274731178e-09,0.00020000251225341762,0.0002500005448480167,0.0002500005448480167,1.3004941883755818e-08
0.0,19,0.11521744965689219,-1.8140346114030024e-09,0.00020000251225341762,0.0002500005448480167,0.0002500005448480167,1.3724357187987087e-08
0.0,20,,,0.00020000251225341762,0.0002500005448480167,0.0002500005448480167,1.4444466248342662e-08
0.1,0,0.11435467548216505,0.08797662644715193,0.00020000390383281025,0.00025000001894115925,0.0002500001455191278,3.2326322232838537e-14
0.1,1,0.1136893568240563,0.10700902228297487,0.001624510209494601,0.002576012519674054,0.005558151336853258,1.7459960423926416e-07
0.1,2,0.11364539724567366,0.12679438741818766,0.0022821166651269824,0.0037753304277364356,0.007890032365445651,7.292854554345612e-07
0.1,3,0.11377467363835672,0.14705954226142862,0.002788870747883324,0.004879801896137087,0.00975472418174888,1.672376726732708e-06
0.1,4,0.11385345803895056,0.16742648061959792,0.0032181823075390823,0.0059921928769952485,0.01140826915957476,3.0197884812992897e-06
0.1,5,0.11376569017696843,0.1874764875292886,0.0035975192233862344,0.007142281791419433,0.012945389708577747,4.790820560979643e-06
0.1,6,0.11344646394101318,0.20678674588884172,0.0039402953045956455,0.008341659413682995,0.014412921826814173,7.006434218433929e-06
0.1,7,0.11285644959298449,0.22495370803318435,0.004254039179746961,0.009596875063319101,0.015838640204556404,9.688852755674918e-06
0.1,8,0.1119726247019663,0.24161063454632944,0.00454335794382324,0.010913438922430725,0.017241589100254657,1.2862004764708677e-05
0.1,9,0.11078814754072908,0.25644210931269046,0.004811252138900848,0.01229714878124648,0.018636586688661555,1.6552653378524736e-05
0.1,10,0.10931788412919966,0.2691963645224456,0.005059796708208094,0.013754524964690176,0.020036493803433156,2.079222809086691e-05
0.1,11,0.10760752421960677,0.27969351022142186,0.005290548508809761,0.015292901171628957,0.021453489858407882,2.5619471369109347e-05
0.1,12,0.10574391494215622,0.287827847467307,0.005504827619779444,0.01692030788941439,0.02289981359634348,3.1084043221996406e-05
0.1,13,0.10386214523360175,0.2935574820820951,0.005703935921007071,0.01864509092184106,0.024388082747234946,3.7251153413443034e-05
0.1,14,0.10214097641337061,0.29688337870678594,0.00588933430883168,0.02047502783865444,0.025931067501750834,4.4206997860522425e-05
0.1,15,0.10077375876181963,0.29781641104187073,0.006062768107908987,0.02241542736426373,0.027540506275299144,5.20640195896081e-05
