timestep,time,x,y,theta,v,omega,solver_computation_time,solver_raw_status,solver_status_code,solver_success
0,0.1,0.075,0.7826598753903388,-1.5707963120539346,0.12340124609661114,1.4740961964262856e-07,0.12953686714172363,success,0,True
1,0.2,0.0750000001685698,0.7712244078421222,-1.5619986494092193,0.11435467548216505,0.08797662644715193,0.13531923294067383,success,0,True
2,0.30000000000000004,0.07511241609214689,0.7584468282224137,-1.5555494196883373,0.12778074122412295,0.06449229720881924,0.13750171661376953,success,0,True
3,0.4,0.0753331639335638,0.7439697454938909,-1.5805373966667036,0.14478765622040568,-0.24987976978366214,0.2415943145751953,success,0,True
4,0.5,0.07522493517625402,0.7328595352712985,-1.5910707115181426,0.11110737358704204,-0.10533314851439138,0.23608636856079102,success,0,True
5,0.6000000000000001,0.07492730911332861,0.7181816406731683,-1.5789873379377724,0.14680911794134371,0.12083373580370263,0.12163400650024414,success,0,True
6,0.7000000000000001,0.07480490676196695,0.7032384777618824,-1.489241507798526,0.1494366421360059,0.8974583013924649,0.2525322437286377,success,0,True
7,0.8,0.07568269469851366,0.6924991864135869,-1.4367834734517828,0.10775105118982528,0.5245803434674311,0.3980114459991455,success,0,True
8,0.9,0.07676436793346578,0.6844761496308288,-1.4048103398065408,0.08095624509863349,0.3197313364524195,0.37709760665893555,success,0,True
9,1.0,0.0789472273348181,0.671446281169159,-1.3494841231509456,0.1321144758512442,0.5532621665559527,0.3801281452178955,success,0,True
10,1.1,0.08072632827826642,0.6635390832070667,-1.2944132566065885,0.08104873828672289,0.550708665443571,0.3738517761230469,success,0,True
11,1.2000000000000002,0.0818379674952582,0.6596199254084765,-1.2669070407694922,0.04073762339533858,0.2750621583709616,0.35879039764404297,success,0,True
12,1.3,0.08289684035387321,0.6562434482738414,-1.2547559676853335,0.03538616900912736,0.12151073084158734,0.37607860565185547,success,0,True
13,1.4000000000000001,0.08488498296382799,0.6501635136641332,-1.2583657946439237,0.06396742600405719,-0.036098269585901704,0.3775026798248291,success,0,True
14,1.5,0.08586917603717707,0.6471165661546583,-1.3783657633193587,0.032019564536581946,-1.1999996867543503,0.3919532299041748,success,0,True
15,1.6,0.08827557466511403,0.6347660205666117,-1.460081823494049,0.12582795026501592,-0.8171606017469026,0.3968381881713867,success,0,True
16,1.7000000000000002,0.0890546462315472,0.6277580339869859,-1.4996276477739112,0.07051157947872086,-0.39545824279862374,0.27417945861816406,success,0,True
17,1.8,0.09006007980870605,0.6136544210368794,-1.4973188681559892,0.1413940574863355,0.02308779617921941,0.24337434768676758,success,0,True
18,1.9000000000000001,0.09057900823627132,0.6066047188075033,-1.4016375820614684,0.07068775582503979,0.9568128609452079,0.3651697635650635,success,0,True
19,2.0,0.09211173387223752,0.5976304373516981,-1.3599674204339303,0.09104228441947097,0.4167016162753805,0.374009370803833,success,0,True
20,2.1,0.09357261216501915,0.5908041954950606,-1.252408414966966,0.0698081250798435,1.0755900546696413,0.3642153739929199,success,0,True
21,2.2,0.09596839338396126,0.5835354689880617,-1.1543713271829383,0.0765337524773112,0.9803708778402781,0.3613617420196533,success,0,True
22,2.3000000000000003,0.09751516971722986,0.580038280718693,-1.0589902442505195,0.03823982585808984,0.953810829324188,0.3656449317932129,success,0,True
23,2.4000000000000004,0.10345521768881037,0.5694637631406482,-0.9670143580937083,0.1212866818381377,0.9197588615681116,0.36050963401794434,success,0,True
24,2.5,0.10720389714670986,0.5640285574663896,-0.8470143783950163,0.0660257967763888,1.1999997969869198,0.36399292945861816,success,0,True
25,2.6,0.11111218969283637,0.5596063185274678,-0.7793908080300813,0.059017749752954846,0.6762357036493489,0.26856207847595215,success,0,True
26,2.7,0.11689938087992147,0.5538882443892291,-0.659390808030748,0.08135597930470101,1.1999999999933333,0.2560300827026367,success,0,True
27,2.8000000000000003,0.1231710152346532,0.5490269172053288,-0.5793203769887363,0.07935105510853578,0.8007043104201178,0.3709876537322998,success,0,True
28,2.9000000000000004,0.12662713861758332,0.5467659298156282,-0.530220710707431,0.04129994287456257,0.49099666281305254,0.2841675281524658,success,0,True
29,3.0,0.13761162479272762,0.5403266753846669,-0.42013609941231056,0.12732750455364716,1.1008461129512046,0.24190783500671387,success,0,True
30,3.1,0.14510053104051973,0.5369811128794856,-0.3665711857303853,0.08202225628711707,0.5356491368192529,0.2894744873046875,success,0,True
31,3.2,0.15675651200035792,0.5325061049870646,-0.24657771211233936,0.12485495095243122,1.199934736180459,0.25800228118896484,success,0,True
32,3.3000000000000003,0.16795570545453167,0.5296872716852334,-0.17279140272388238,0.11548495798480446,0.7378630938845699,0.2617313861846924,success,0,True
33,3.4000000000000004,0.1815243574438216,0.5273191095937625,-0.14243044186763548,0.13773761595800224,0.30360960856246905,0.13945817947387695,success,0,True
34,3.5,0.1910741604117094,0.5259496539331271,-0.05449846356006097,0.09647494261823929,0.8793197830757451,0.12979626655578613,success,0,True
35,3.6,0.20707484284572653,0.525076776981206,-0.016010857908618982,0.1602447354915158,0.3848760565144198,0.12240934371948242,success,0,True
36,3.7,0.2219796338173266,0.5248381180972451,-0.008650363455555272,0.14906701579155093,0.0736049445306371,0.12418627738952637,success,0,True
37,3.8000000000000003,0.23611717294494078,0.524715820194941,0.04875343451062687,0.14138068091565048,0.5740379796618214,0.12364625930786133,success,0,True
38,3.9000000000000004,0.24954654374364707,0.5253710673787487,0.07038227692947993,0.13445346738594482,0.21628842418853056,0.11970257759094238,success,0,True
39,4.0,0.26254246519086755,0.526287263263311,0.09125759119970164,0.1302817673971355,0.20875314270221715,0.13623690605163574,success,0,True
40,4.1000000000000005,0.2743966470365202,0.5273720603954404,0.12028368933083436,0.11903714212281728,0.2902609813113271,0.1281282901763916,success,0,True
41,4.2,0.2857649841759922,0.5287461190314782,0.153370097693532,0.11451075340419713,0.33086408362697617,0.15177130699157715,success,0,True
42,4.3,0.29646971071338224,0.5304008991714052,0.19040146901254418,0.10831872762906648,0.3703137131901217,0.12866926193237305,success,0,True
43,4.4,0.3067052817588198,0.5323736641150597,0.22970297656915878,0.10423949162822667,0.3930150755661459,0.12222027778625488,success,0,True
44,4.5,0.31714646831553406,0.5348151275710626,0.24665855690480382,0.10722831739755517,0.16955580335645026,0.11215591430664062,success,0,True
45,4.6000000000000005,0.32682463081791246,0.53725194989855,0.27749209786555906,0.09980227075481998,0.3083354096075527,0.11579608917236328,success,0,True
46,4.7,0.3345992608170112,0.539466483301721,0.2876429647434393,0.08083874678435189,0.10150866877880232,0.122344970703125,success,0,True
47,4.800000000000001,0.34375483897990855,0.5421751396438038,0.32354704391317446,0.09547849531513827,0.35904079169735137,0.14280939102172852,success,0,True
48,4.9,0.3531565847696851,0.5453278329918619,0.34123603282627296,0.09916264379415818,0.17688988913098486,0.1402127742767334,success,0,True
49,5.0,0.3617909863499231,0.5483941523485153,0.3684006599057177,0.09162707298926699,0.2716462707944474,0.12992405891418457,success,0,True
50,5.1000000000000005,0.3714566736469159,0.5521253430954229,0.3934019486291906,0.1036085398570295,0.2500128872347291,0.13422727584838867,success,0,True
51,5.2,0.3810770373925286,0.5561181525252783,0.40697049243584843,0.10416041750158302,0.13568543806657854,0.12612223625183105,success,0,True
52,5.300000000000001,0.39055991658904293,0.5602055971608649,0.44048769166078827,0.10326286917603582,0.33517199224939836,0.1257467269897461,success,0,True
53,5.4,0.40142935798719187,0.5653291958063478,0.4483695502925279,0.12016489478536872,0.07881858631739624,0.12212252616882324,success,0,True
54,5.5,0.4086189185647806,0.5687877033230562,0.49167682464025214,0.07978161162946415,0.43307274347724234,0.13404250144958496,success,0,True
55,5.6000000000000005,0.4202772387058466,0.575031246292797,0.5071846839560075,0.13224910484634075,0.15507859315755307,0.12125015258789062,success,0,True
56,5.7,0.43161891746498277,0.5813334580920598,0.49494243344963196,0.1297503567001679,-0.1224225050637549,0.12679171562194824,success,0,True
57,5.800000000000001,0.4421702377145468,0.5870285706469962,0.45753301253637185,0.11990190408090003,-0.37409420913260105,0.11681079864501953,success,0,True
58,5.9,0.4537614957324494,0.5927358737621408,0.43791783951938007,0.12920161426457902,-0.19615173016991763,0.1184849739074707,success,0,True
59,6.0,0.46597496649210013,0.5984547016878922,0.41185268049222507,0.13486061724654702,-0.26065159027155027,0.1262495517730713,success,0,True
60,6.1000000000000005,0.47811996352185593,0.6037600692622475,0.4083276561407667,0.1325322141789673,-0.035250243514583585,0.11970925331115723,success,0,True
61,6.2,0.489045666364115,0.6084870133047505,0.4225542723456541,0.11904410215474895,0.14226616204887427,0.12046647071838379,success,0,True
62,6.300000000000001,0.5038043453557175,0.6151231015187226,0.4539021056021282,0.16181973685579526,0.3134783325647403,0.12925314903259277,success,0,True
63,6.4,0.5175857929994703,0.621846750235693,0.46066507624602954,0.15334136794313466,0.06762970643901367,0.1483778953552246,success,0,True
64,6.5,0.5340754342283112,0.6300301860902763,0.44900995181256,0.1840860913382562,-0.11655124433469571,0.14545106887817383,success,0,True
65,6.6000000000000005,0.5442620815440191,0.63493846502844,0.34826989280499954,0.11307474769790184,-1.0074005900756047,0.28022217750549316,success,0,True
66,6.7,0.5549343861209692,0.638813248977782,0.2999598879202007,0.11353943616086362,-0.4831000488479885,0.24837374687194824,success,0,True
67,6.800000000000001,0.5683496364150717,0.6429624825935535,0.282408401605759,0.14042260503624993,-0.17551486314441722,0.24083232879638672,success,0,True
68,6.9,0.583322551683459,0.6473070788507239,0.297861415395928,0.15590500577984098,0.15453013790169018,0.35392093658447266,success,0,True
69,7.0,0.5937878747935486,0.6505198762367358,0.2937229482856174,0.10947376619178639,-0.04138467110310581,0.2525053024291992,success,0,True
70,7.1000000000000005,0.6031310714389417,0.6533459296720677,0.25104735565064906,0.09761244878284675,-0.4267559263496832,0.1333293914794922,success,0,True
71,7.2,0.6150644660817105,0.656406342557881,0.23647784673516667,0.12319579324462133,-0.14569508915482393,0.12992072105407715,success,0,True
72,7.300000000000001,0.623927226374688,0.6585421509801445,0.16935882107624084,0.0911647945357148,-0.6711902565892585,0.13165664672851562,success,0,True
73,7.4,0.6367989096964576,0.6607431679319676,0.14067628308362853,0.13058510908910453,-0.2868253799261231,0.12076592445373535,success,0,True
74,7.5,0.647551248647976,0.6622658246526523,0.12971845286142386,0.10859616771202668,-0.10957830222204668,0.12912273406982422,success,0,True
75,7.6000000000000005,0.6617816021870475,0.6641221880628213,0.12712544102119963,0.14350924951290786,-0.025930118402242255,0.12507033348083496,success,0,True
76,7.7,0.6720621333179674,0.6654361912363793,0.08833822330039315,0.10364165411355311,-0.3878721772080649,0.26162052154541016,success,0,True
77,7.800000000000001,0.6827689319636526,0.6663844787889726,0.017000060268780218,0.10748710923717765,-0.7133816303161293,0.38847827911376953,success,0,True
78,7.9,0.6978254757495755,0.6666404656014857,-0.032220047711246806,0.15058719733948023,-0.4922010798002702,0.25380587577819824,success,0,True
79,8.0,0.7092948331683864,0.6662707944269529,-0.0493399039219047,0.1147531334551315,-0.17119856210657897,0.2645561695098877,success,0,True
80,8.1,0.715723218779412,0.6659533608672005,-0.12228686692589927,0.06436218270762614,-0.7294696300399457,0.25887393951416016,success,0,True
81,8.200000000000001,0.7223285893159779,0.6651415601825854,-0.1566168775506119,0.06655068765750935,-0.34330010624712637,0.12393045425415039,success,0,True
82,8.3,0.7310005477417211,0.663772170261325,-0.17722441680056591,0.08779412947018006,-0.20607539249954013,0.1190805435180664,success,0,True
83,8.4,0.7358092483134839,0.662910915262308,-0.2409005576407872,0.04885218660633742,-0.6367614084022127,0.25765490531921387,success,0,True
84,8.5,0.7484695438465083,0.6598006427084114,-0.2655958954001249,0.13036751065470203,-0.24695337759337693,0.37656354904174805,success,0,True
85,8.6,0.7554569930174752,0.6578998997342816,-0.3855956878521758,0.07241358282156023,-1.199997924520509,0.2702445983886719,success,0,True
86,8.700000000000001,0.7623991262080083,0.6550819789206351,-0.4431541086357703,0.07492255397881516,-0.5755842078359454,0.23995709419250488,success,0,True
87,8.8,0.7667435859832913,0.6530199269768557,-0.4704011566796808,0.04808990430214623,-0.272470480439105,0.2521347999572754,success,0,True
88,8.9,0.7748769407769319,0.6488843546407264,-0.5502439017551265,0.09124385938056075,-0.7984274507544566,0.11842751502990723,success,0,True
89,9.0,0.7791454160164554,0.6462658975725918,-0.589613597892229,0.05007614031461322,-0.39369696137102533,0.1232454776763916,success,0,True
90,9.1,0.7891037388350199,0.6396038178232039,-0.6369369029722335,0.11981297924096079,-0.473233050800045,0.248260498046875,success,0,True
91,9.200000000000001,0.793915104344801,0.6360444007493846,-0.723670495986523,0.05984871592115067,-0.8673359301428945,0.3639845848083496,success,0,True
92,9.3,0.806976343486839,0.6245037129186612,-0.75869523613475,0.17429384485165086,-0.35024740148226974,0.40137600898742676,success,0,True
93,9.4,0.8132948702619911,0.6185139321259729,-0.8443888784318719,0.0870639159197262,-0.8569364229712195,0.255357027053833,success,0,True
94,9.5,0.8162756584358989,0.6151589587013789,-0.8890221304893271,0.04487866399241474,-0.44633252057455164,0.12093710899353027,success,0,True
95,9.600000000000001,0.8204755601318882,0.6099841167670883,-0.9192997567115799,0.06664695289423711,-0.3027762622225278,0.12665033340454102,success,0,True
96,9.700000000000001,0.8250069268354503,0.6040418749374236,-0.9302162811390577,0.07472852344611734,-0.10916524427477864,0.12852144241333008,success,0,True
97,9.8,0.8315640015832315,0.5952456959000146,-0.9146404317011667,0.1097123488519604,0.15575849437890987,0.1290426254272461,success,0,True
98,9.9,0.8379680930847505,0.5869283012614328,-0.8238457436275883,0.10497211131235651,0.9079468807357839,0.2541379928588867,success,0,True
99,10.0,0.8540713845944696,0.5695365723407164,-0.7383493975116606,0.2370207232076288,0.8549634611592765,0.23496651649475098,success,0,True
100,10.100000000000001,0.8628164553343123,0.5615779692315592,-0.6183493975132441,0.11824365762861874,1.1999999999841648,0.2632014751434326,success,0,True
101,10.200000000000001,0.881757131456208,0.5481031919336683,-0.5667171960805946,0.23244759305751256,0.5163220143264956,0.24643588066101074,success,0,True
102,10.3,0.8915554569372313,0.5418680593891212,-0.4599269905337028,0.11613959707186032,1.0679020554689178,0.11961245536804199,success,0,True
103,10.4,0.9051466935687228,0.5351355337501197,-0.3848748502322119,0.15167353581063822,0.7505214030149086,0.2567415237426758,success,0,True
104,10.5,0.9122708629541452,0.5322497013509333,-0.31943849744034447,0.07686469805338685,0.6543635279186741,0.2436351776123047,success,0,True
105,10.600000000000001,0.9159113767093503,0.5310455418860913,-0.19943849937177627,0.03834493502225102,1.199999980685682,0.11496949195861816,success,0,True
106,10.700000000000001,0.9251603658235779,0.5291760850730556,-0.14168635245958683,0.09436030331177753,0.5775214691218943,0.12021923065185547,success,0,True
107,10.8,0.9298254980731574,0.5285106405922972,-0.06792118508140359,0.04712353473906541,0.7376516737818324,0.11439800262451172,success,0,True
108,10.9,0.9400973964707681,0.5278118862312539,-0.0355949418545077,0.10295637636781571,0.3232624322689589,0.25725483894348145,success,0,True
109,11.0,0.9452354307921568,0.5276289209194668,0.04955586911876072,0.051412909850625445,0.8515081097326841,0.3843812942504883,success,0,True
110,11.100000000000001,0.9572304364170728,0.5282238309182268,0.08721213681489404,0.12009749283327828,0.3765626769613332,0.3817882537841797,success,0,True
