time,solve_mode,solver_status,u0,s,psdf,mf_probability_sum,mf_slack
0.0,sqp_rti,0,"[0.09056452079063243,-1.8401616167143786e-08,0.09928019435193981]",0.02573940773605194,0.10499998927116394,"[-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09]","[null,1.965004524259814e-12,1.965004524259814e-12,1.965004524259814e-12,1.965004524259814e-12,1.965004524259814e-12,1.965004524259814e-12,1.965004524259814e-12,1.965004524259814e-12,1.965004524259814e-12,1.965004524259814e-12,1.965004524259814e-12,1.965004524259814e-12,1.965004524259814e-12,1.965004524259814e-12,1.965004524259814e-12,1.965004524259814e-12,1.965004524259814e-12,1.965004524259814e-12,1.965004524259814e-12,9.976293036811036e-13]"
0.1,sqp_rti,0,"[0.07138475020398516,0.7664618653311623,0.07593380750298152]",0.03388035113711478,0.10499998927116394,"[-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.981231900234249e-09,-2.980232227667301e-09]","[null,4.091994359703092e-13,4.091994359703092e-13,4.091994359703092e-13,4.091994359703092e-13,4.091994359703092e-13,4.091994359703092e-13,4.091994359703092e-13,4.091994359703092e-13,4.091994359703092e-13,4.091994359703092e-13,4.091994359703092e-13,4.091994359703092e-13,4.091994359703092e-13,4.091994359703092e-13,4.091994359703092e-13,4.091994359703092e-13,4.091994359703092e-13,4.091994359703092e-13,4.091994357941197e-13,5.875459420112915e-13]"
0.2,sqp_rti,0,"[0.06837814719712555,0.8546418335798777,0.08170659201030889]",0.03934590435012977,0.09938926994800568,"[-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.9802321166449985e-09,-2.9207657958885136e-09,8.587824062988858e-10,4.474546013016889e-06,0.0009510331438381536,0.019080562918153576,0.07168354416350847,0.09359327404301904,0.08872432908666311,0.12046107867562955,0.16179493699600594,0.20440553390796962,0.24718003138810368,0.293060210167911]","[null,5.812431473259618e-12,5.812431473259618e-12,5.812431473259618e-12,5.812431473259618e-12,5.812431473259618e-12,5.812431473259618e-12,5.812431473259618e-12,5.812431473385349e-12,5.812432239943549e-12,5.812839823191425e-12,5.839708254171214e-12,5.8985594308155175e-12,5.755855197261308e-12,5.7708810211069685e-12,5.797703640442154e-12,5.757453669532019e-12,5.755438197435661e-12,5.756305640283671e-12,5.754198388682566e-12,1.297564612723131e-12]"
0.30000000000000004,sqp_rti,0,"[0.09808832765717307,0.566617632918524,0.09010867266139133]",0.04946181009239886,0.09296132624149323,"[-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.9763077835642804e-09,-4.6498707384490245e-09,8.08979647992647e-07,0.0002930774008053916,0.011044691049912958,0.059883981766901295,0.10296956072432667,0.09895853653100933,0.09112153993236599,0.0984811049106325,0.1250645172475076,0.18672222341426387,0.31191581988243283,0.4938299601945893,0.6691990342457206]","[null,9.456132148983192e-17,9.456132148983192e-17,9.456132148983192e-17,9.456132148983192e-17,9.456132148983192e-17,9.456132149306309e-17,9.456132821390557e-17,9.456665467543904e-17,9.499160700213144e-17,9.606041917882119e-17,9.329515471740502e-17,9.32766608588388e-17,9.37814101683132e-17,9.458694226223888e-17,9.363968258342849e-17,9.377373160578323e-17,9.423864607153735e-17,9.322796103648327e-17,9.376906242648814e-17,2.0353882057603764e-17]"
0.4,sqp_rti,0,"[0.10481347802509626,0.8423542904827455,0.10524840720969206]",0.058017640999410654,0.08768849074840546,"[-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.9037444393420486e-09,-9.60133952898623e-09,2.0203998110340793e-05,0.0013642604379364154,0.015754674712992356,0.06234062517787292,0.12681303448391673,0.17740895096587944,0.19578682802894481,0.23231395968170593,0.2848264690409639,0.3529234839959859,0.4549041863346684,0.5393371818827537,0.6113757669224416,0.7030900543115477]","[null,2.408349126842245e-15,2.408349126842245e-15,2.408349126842245e-15,2.4083491264286546e-15,2.4083491264286546e-15,2.4083512138221616e-15,2.4076072952455142e-15,2.4015456423432203e-15,2.416163986623002e-15,2.375322314981792e-15,2.380762317823842e-15,2.4084055844781417e-15,2.426905009016684e-15,2.4071113255955185e-15,2.374988104672027e-15,2.361724323788521e-15,2.363490656401256e-15,2.374548866548415e-15,2.5558569223324142e-15,9.38309080792422e-16]"
0.5,sqp_rti,0,"[0.10104726020759959,0.6280620497854932,0.09887481207504127]",0.06780610336561782,0.08028911799192429,"[-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.9802317003113643e-09,3.6337148290321863e-09,6.459176501993902e-07,0.0005418080279940285,0.016500900092106308,0.07204109862479796,0.10725795375830921,0.09707175793536288,0.08544044459271666,0.10577458917681432,0.1599548405904921,0.28157473374647674,0.48563584522287134,0.7102978570230654,0.5914831884742424,0.5396126662692715,0.6160755109141947,null]","[null,9.071270063518188e-16,9.071270063518188e-16,9.071270063518188e-16,9.071270178547992e-16,9.072460141060918e-16,9.199985635729572e-16,9.04638310826809e-16,8.852791692016343e-16,8.863038434215038e-16,9.06826630856884e-16,9.035525746834204e-16,8.892538277083907e-16,9.063106019025505e-16,8.968335708382895e-16,8.798556565992988e-16,9.071270064972217e-16,9.071270065295334e-16,9.07127006503684e-16,9.071270065198399e-16,3.7506169974922734e-16]"
0.6,sqp_rti,0,"[0.1487471217329559,0.23872381091176254,0.11857920682195247]",0.08283368360289749,0.07375261932611465,"[-2.980232227667301e-09,-2.980232227667301e-09,-2.980232227667301e-09,-2.9796254630287677e-09,-8.352287556023796e-09,2.4938639494515025e-05,0.0034419737248118087,0.04390634475562222,0.15075976490775594,0.2468340345572571,0.283576266995939,0.33064517753839856,0.3829334703952066,0.46493303644329026,0.5381298495795643,0.6042725258045081,0.6667669458480103,0.7151104322616739,0.7666918935740858,0.8394576696013492,0.7981520377175151]","[null,5.471971853035288e-16,5.471971853035288e-16,5.471971853037308e-16,5.471972618066283e-16,5.470830567536666e-16,5.497221732632077e-16,5.486507770964631e-16,5.440510493941529e-16,5.432035833205088e-16,5.450346392711738e-16,5.476722220412447e-16,5.468485716695445e-16,5.435329626372044e-16,5.429758654563118e-16,5.428628465971102e-16,5.431996381621449e-16,5.466382676425011e-16,5.72125465914611e-16,5.580143626962483e-16,9.639770068173613e-17]"
0.7,sqp_rti,0,"[0.11970187075534194,1.1364138950506095,0.10093877720672842]",0.09297572544490204,0.0671638548374176,"[-2.980232227667301e-09,-2.980232227667301e-09,4.214669335755872e-09,4.649496113368068e-06,0.00018068563486886569,0.0009243730553681606,0.0026809769648794,0.0066154001916888805,0.015002560873838833,0.05124848900294615,0.17340385072322634,0.34530153168975525,0.5140465134037295,0.5660043138289363,0.5582146154500112,0.5699677009531221,0.48530505667291096,0.3075532245230484,0.20571920332954347,0.5468791319808826,0.8593566441215221]","[null,2.830521423277093e-13,2.8305214257871984e-13,2.830436781619345e-13,2.8242412653158517e-13,2.823668489487188e-13,2.824500279001573e-13,2.8260656660040253e-13,2.837311828022399e-13,2.8367280647758185e-13,2.8300660364066207e-13,2.811801517768487e-13,2.807814113050998e-13,2.830521423183005e-13,2.8305214231830537e-13,2.8119793497548766e-13,2.8166457739325187e-13,2.8382256510651796e-13,2.858497890458801e-13,2.8428211019020243e-13,7.986433059151847e-14]"
0.7999999999999999,sqp_rti,0,"[0.12924679939972722,0.5274930644832625,0.0982612923975864]",0.10465055199062556,0.057140085846185684,"[-2.980232227667301e-09,-2.980232227667301e-09,-5.3282085410444324e-09,7.813849694610076e-05,0.01913690115056127,0.18560288178851342,0.30837973300868243,0.22344086940445146,0.16013833727594068,0.1611926947412246,0.1688141306560283,0.17143722478351747,0.17013307835036678,0.17817483251816918,0.2329348779647658,0.306632999009995,0.4083643495409926,0.4558477953505589,0.5889981050941315,0.6349430472745066,0.40528211685530097]","[null,1.5049435620165112e-15,1.5049435940939937e-15,1.5051584686923657e-15,1.5169068814829364e-15,1.5015754941653357e-15,1.5023359419496593e-15,1.5010253391532697e-15,1.4999554783757118e-15,1.4993787600999121e-15,1.4994153394063106e-15,1.4997405662442215e-15,1.500504722435943e-15,1.5014555726119577e-15,1.503194862687544e-15,1.5092293494933931e-15,1.5046312012603528e-15,1.506064275201094e-15,1.50814154949641e-15,1.5371466659568385e-15,4.088794529415674e-16]"
0.8999999999999999,sqp_rti,0,"[0.08906181390075527,0.8985691973419226,0.07851082602606434]",0.11366492920096591,0.04883963614702225,"[-2.980232227667301e-09,-2.915594127239629e-09,6.579819849711344e-05,0.004810839198331612,0.017135608800760427,0.018651345120726248,0.01313429161928531,0.012560090561037074,0.015259061639734062,0.021564537649226223,0.04105908013788856,0.0883487751564534,0.2492026917960704,0.44030025499029507,0.44811567808827296,0.37577750121890646,0.3269310703746127,2.5931874714224534e-07,0.23298680714031922,0.5400111060015165,0.7441276699636832]","[null,6.143918678396221e-17,6.146029100966856e-17,6.14675022125271e-17,6.124493085708484e-17,6.122096138416341e-17,6.124963976185002e-17,6.126014730368339e-17,6.125399749613343e-17,6.123872109469244e-17,6.126889791975221e-17,6.171517924111485e-17,6.115512040143128e-17,6.11570483076095e-17,6.121373248153807e-17,6.126661019081532e-17,6.159648014153259e-17,6.144045164308326e-17,6.13562827060238e-17,6.228875857227526e-17,9.18120609785739e-18]"
