timestep,x,y,theta,sdf_value,risk_margin_stage0,risk_margin_5,risk_margin_max,path_s,predicted_s,solver_status,planner_projected_s_raw,planner_projected_s,planner_slice_start_s,planner_slice_lookback,slice_start_s,slice_end_s,slice_start_idx,slice_end_idx,slice_n_segments
0,0.3,0.2,0.0,0.10499998927116394,,,,0.015811388300841868,0.02573940773605194,0,0.015811388300841864,0.04581138830084186,0.01581138830084186,0.03,0.0,0.987913663321624,0,4,5
1,0.30905645207906324,0.2,-1.8401616167143786e-09,0.10499998927116394,,,,0.0262869703868026,0.03388035113711478,0,0.024403093127844017,0.05440309312784401,0.024403093127844014,0.03,0.0,0.987913663321624,0,4,5
2,0.31619492709946173,0.19999999998686407,0.07664618469295462,0.09938926994800568,,,,0.031175245149092937,0.03934590435012977,0,0.031175245149092923,0.06117524514909292,0.031175245149092923,0.03,0.0,0.987913663321624,0,4,5
3,0.32301266680802354,0.2005235794053072,0.1621103680509424,0.09296132624149323,,,,0.04045094282625973,0.04946181009239886,0,0.037808691290887965,0.06780869129088796,0.03780869129088796,0.03,0.0,0.987913663321624,0,4,5
4,0.3326928946450091,0.20210673740432666,0.2187721313427948,0.08768849074840546,,,,0.047492800278441445,0.058017640999410654,0,0.04749280027844144,0.07749280027844144,0.04749280027844144,0.03,0.0,0.987913663321624,0,4,5
5,0.34292441607340357,0.2043815167381255,0.30300756039106935,0.08028911799192429,,,,0.05791862215811368,0.06780610336561782,0,0.05791862215811366,0.08791862215811366,0.057918622158113664,0.03,0.0,0.987913663321624,0,4,5
6,0.3525688048790047,0.20739668713480608,0.3658137653696187,0.07375261932611465,,,,0.07097576292070223,0.08283368360289749,0,0.06802157333659523,0.09802157333659522,0.06802157333659523,0.03,0.0,0.987913663321624,0,4,5
7,0.3664593016584786,0.21271751051637142,0.3896861464607949,0.0671638548374176,,,,0.08288184772422916,0.09297572544490204,0,0.08288184772422913,0.11288184772422913,0.08288184772422913,0.03,0.0,0.987913663321624,0,4,5
8,0.377532063911892,0.21726496196775275,0.5033275359658559,0.057140085846185684,,,,0.09482442275086693,0.10465055199062556,0,0.09482442275086692,0.12482442275086691,0.09482442275086692,0.03,0.0,0.987913663321624,0,4,5
9,0.38885385607271755,0.22349909172400595,0.5560768424141821,0.04883963614702225,,,,0.10581384659835948,0.11366492920096591,0,0.1075366228037204,0.1375366228037204,0.1075366228037204,0.03,0.0,0.987913663321624,0,4,5
10,0.39641816549145636,0.22820029263127495,0.6459337621483744,0.040937844663858414,,,,0.11619940707106614,0.1242952200579206,0,0.1161994070710661,0.1461994070710661,0.1161994070710661,0.03,0.0,0.987913663321624,0,4,5
11,0.40549512070690463,0.2350425738704123,0.6865668296060594,0.0341038703918457,,,,0.12485904401158412,0.1319780824068795,0,0.12697428219182572,0.15697428219182571,0.12697428219182572,0.03,0.0,0.987913663321624,0,4,5
12,0.4118283418592026,0.24023315915496282,0.7023024856839805,0.03086388297379017,,,,0.13462391051072434,0.14096826030807968,0,0.13462391051072428,0.16462391051072428,0.13462391051072428,0.03,0.0,0.987913663321624,0,4,5
13,0.4187257821741842,0.24606999399900858,0.7809683555139798,0.024537786841392517,,,,0.14301316618018953,0.15166361381532145,0,0.14301316618018947,0.17301316618018947,0.14301316618018947,0.03,0.0,0.987913663321624,0,4,5
14,0.4273280606394761,0.25459639520772837,0.814194831433079,0.02218308299779892,,,,0.1466243131084473,0.1686586558566244,0,0.15387028889178822,0.18387028889178822,0.15387028889178822,0.03,0.0,0.987913663321624,0,4,5
15,0.4644025161707519,0.29387002925145234,0.7070630668723434,0.02327011525630951,,,,0.19931879503346067,0.20538744654037083,0,0.19931879503346067,0.22931879503346067,0.19931879503346067,0.03,0.158113883008419,0.987913663321624,1,4,4
16,0.48536866083069335,0.3117842328885494,0.5888240495520316,0.002269466407597065,,,,0.22652307844991298,0.22652307844991298,4,0.22681135296919142,0.25681135296919144,0.22681135296919144,0.03,0.158113883008419,0.987913663321624,1,4,4
17,0.4999857001659625,0.32154627888697823,0.5888240495520316,-0.012347549200057983,,,,0.24132456112707373,0.24132456112707373,4,0.22882456112707372,0.25882456112707375,0.22882456112707375,0.03,0.22882456112707372,0.987913663321624,2,4,3
18,0.5062867959271669,0.3257544899515104,0.5888240495520316,-0.018648646771907806,,,,0.24134342337586148,0.24134342337586148,4,0.22957905107858412,0.25957905107858414,0.22957905107858415,0.03,0.22882456112707372,0.987913663321624,2,4,3
19,0.5062867959271669,0.3257544899515104,0.5888240495520316,-0.018648646771907806,,,,0.24134342337586148,0.24134342337592118,0,0.22957905107858412,0.25957905107858414,0.22957905107858415,0.03,0.22882456112707372,0.987913663321624,2,4,3
20,0.48687005178604137,0.3127869426187181,0.6436213004819389,0.0011309952242299914,,,,0.22858201954469418,0.2285820195471079,0,0.22858201954469418,0.2585820195446942,0.22858201954469418,0.03,0.158113883008419,0.987913663321624,1,4,4
21,0.4775280814705391,0.3057787103064383,0.6968604143820827,0.01107569970190525,,,,0.21516069666228788,0.21547185398347843,0,0.21702068039281536,0.24702068039281536,0.21702068039281536,0.03,0.158113883008419,0.987913663321624,1,4,4
22,0.4730528953513683,0.3020332679310078,0.7629224141698727,0.016638953238725662,,,,0.21120781823866747,0.21333657176047383,0,0.21120781823866747,0.24120781823866747,0.21120781823866747,0.03,0.158113883008419,0.987913663321624,1,4,4
23,0.47094949519732243,0.30002235560668994,0.8461763296071027,0.02064284309744835,,,,0.208298559985296,0.21097358050887635,0,0.208298559985296,0.238298559985296,0.208298559985296,0.03,0.158113883008419,0.987913663321624,1,4,4
24,0.46999475728008244,0.2989438909816447,0.9146469598056959,0.021799281239509583,,,,0.2068608686801204,0.2125113173796638,0,0.2068608686801204,0.2368608686801204,0.2068608686801204,0.03,0.158113883008419,0.987913663321624,1,4,4
25,0.4695740035862483,0.29839742443317346,0.9488826724198379,0.021291404962539673,,,,0.20617694068788536,0.21041972553404872,0,0.20617694068788536,0.23617694068788536,0.20617694068788536,0.03,0.158113883008419,0.987913663321624,1,4,4
26,0.4694112223117182,0.2981703306362682,1.0437574340425937,0.019453704357147217,,,,0.20590125738105786,0.2117719843976029,0,0.20590125738105786,0.23590125738105786,0.20590125738105786,0.03,0.158113883008419,0.987913663321624,1,4,4
27,0.4694218299798116,0.2981885585538864,1.091195163400851,0.018317215144634247,,,,0.20592164721925396,0.21458601130177393,0,0.20592164721925396,0.23592164721925396,0.20592164721925396,0.03,0.158113883008419,0.987913663321624,1,4,4
28,0.47321901796723587,0.30548938278569004,1.1628727262001768,0.016920000314712524,,,,0.2137610958377545,0.2217351978870964,0,0.2137691269171612,0.2437691269171612,0.2137691269171612,0.03,0.158113883008419,0.987913663321624,1,4,4
29,0.4776730788168776,0.3157957774434547,1.2332237825043766,0.01602863147854805,,,,0.2242063450998506,0.2306953503681221,0,0.2242063450998506,0.25420634509985063,0.22420634509985063,0.03,0.158113883008419,0.987913663321624,1,4,4
30,0.479700240515204,0.3215710350504367,1.2674916552637983,0.015694454312324524,,,,0.22882456112707372,0.23804022747657924,0,0.22882456112707372,0.25882456112707375,0.22882456112707375,0.03,0.22882456112707372,0.987913663321624,2,4,3
31,0.48265473482733884,0.33101149451144696,1.3372019102342343,0.015484221279621124,,,,0.23483605563852067,0.2429856523649303,0,0.23483605563852067,0.26483605563852064,0.23483605563852064,0.03,0.22882456112707372,0.987913663321624,2,4,3
32,0.48532844884571896,0.3422485121439645,1.361041789946022,0.015620164573192596,,,,0.24607307327103822,0.25526060193489336,0,0.24607307327103822,0.27607307327103825,0.24607307327103825,0.03,0.22882456112707372,0.987913663321624,2,4,3
33,0.4865305743697297,0.3478953203355575,1.3729568241575427,0.015743989497423172,,,,0.2551463631674647,0.2654755429595019,0,0.2517198814626312,0.28171988146263116,0.25171988146263113,0.03,0.22882456112707372,0.987913663321624,2,4,3
34,0.4889193530833265,0.3598117024611664,1.4087807974784363,0.016499552875757217,,,,0.2690733847645058,0.2779089945332946,0,0.2636362635882401,0.29363626358824013,0.2636362635882401,0.03,0.22882456112707372,0.987913663321624,2,4,3
35,0.490203594472834,0.3676688812416909,1.420238774049478,0.016815822571516037,,,,0.28373300446769584,0.29270533331474613,0,0.2714934423687646,0.30149344236876463,0.2714934423687646,0.03,0.22882456112707372,0.987913663321624,2,4,3
36,0.4919740543593565,0.3793392508126053,1.4378861953315103,0.017495349049568176,,,,0.285212638345841,0.29647242800599805,0,0.283163811939679,0.313163811939679,0.283163811939679,0.03,0.22882456112707372,0.987913663321624,2,4,3
37,0.49300150308042473,0.3870240794787901,1.4611943658885949,0.018543653190135956,,,,0.29978054448693925,0.30734867397152177,0,0.2908486406058638,0.3208486406058638,0.2908486406058638,0.03,0.22882456112707372,0.987913663321624,2,4,3
38,0.49400485527660415,0.3961419031682461,1.463620484837862,0.018673062324523926,,,,0.30114007523262976,0.31505128375133185,0,0.2999664642953198,0.32996646429531984,0.2999664642953198,0.03,0.22882456112707372,0.987913663321624,2,4,3
39,0.4953345060935506,0.40850061952710504,1.4891083602439004,0.02032647281885147,,,,0.31675856952071246,0.3266719601768158,0,0.31232518065417875,0.3423251806541787,0.3123251806541787,0.03,0.22882456112707372,0.987913663321624,2,4,3
40,0.4958412508100699,0.41469023447057074,1.50185156944628,0.02121642976999283,,,,0.31851479559764445,0.33382252578976,0,0.31851479559764445,0.3485147955976444,0.3185147955976444,0.03,0.22882456112707372,0.987913663321624,2,4,3
