time,stage,v,omega,sigma_f,sigma_l,sigma_psi,P_lpsi
0.0,0,0.09056455377052677,-4.111700443980976e-07,0.00020000522005122535,0.00024999766351038635,0.00024999766351038635,1.3276135574552024e-26
0.0,1,0.09342222093434727,-3.9000746628981513e-07,0.0002000105450123318,0.00025000192364972714,0.00025000192364972714,5.660284610657924e-10
0.0,2,0.09550665042840308,-3.693599190002526e-07,0.0002000105450123318,0.00025000192364972714,0.00025000192364972714,1.1499173419054627e-09
0.0,3,0.09714886504512017,-3.490571948270397e-07,0.0002000105450123318,0.00025000192364972714,0.00025000192364972714,1.746833907082982e-09
0.0,4,0.09855570610797024,-3.2896634230814194e-07,0.0002000105450123318,0.00025000192364972714,0.00025000192364972714,2.3540143136149834e-09
0.0,5,0.09986072540401875,-3.089846053608842e-07,0.0002000105450123318,0.00025000192364972714,0.00025000192364972714,2.969987476789797e-09
0.0,6,0.10115404245021524,-2.8903373970358686e-07,0.0002000105450123318,0.00025000192364972714,0.00025000192364972714,3.5941170105649144e-09
0.0,7,0.10249948169544734,-2.6905541738463687e-07,0.0002000105450123318,0.00025000192364972714,0.00025000192364972714,4.226329775878759e-09
0.0,8,0.10394388969293035,-2.490074983925053e-07,0.0002000105450123318,0.00025000192364972714,0.00025000192364972714,4.866951536475305e-09
0.0,9,0.10552148018800157,-2.2886099773357068e-07,0.0002000105450123318,0.00025000192364972714,0.00025000192364972714,5.51660084705612e-09
0.0,10,0.10725481340801617,-2.0859761296108955e-07,0.0002000105450123318,0.00025000192364972714,0.00025000192364972714,6.176110098231129e-09
0.0,11,0.10915324677179518,-1.8820770476239503e-07,0.0002000105450123318,0.00025000192364972714,0.00025000192364972714,6.846452682031231e-09
0.0,12,0.11120918565299548,-1.6768864440526375e-07,0.0002000105450123318,0.00025000192364972714,0.00025000192364972714,7.528660474354951e-09
0.0,13,0.11339207381550719,-1.4704345831252077e-07,0.0002000105450123318,0.00025000192364972714,0.00025000192364972714,8.223717884686173e-09
0.0,14,0.1156396930312903,-1.2627971295385402e-07,0.0002000105450123318,0.00025000192364972714,0.00025000192364972714,8.932418346033094e-09
0.0,15,0.11785960698289014,-1.0540859343753828e-07,0.0002000105450123318,0.00025000192364972714,0.00025000192364972714,9.655166427478658e-09
0.0,16,0.1199278681349417,-8.444413724691424e-08,0.0002000105450123318,0.00025000192364972714,0.00025000192364972714,1.039178897112172e-08
0.0,17,0.12162341884983502,-6.340259092945812e-08,0.0002000105450123318,0.00025000192364972714,0.00025000192364972714,1.1141338146965107e-08
0.0,18,0.1225774773040644,-4.230186253084209e-08,0.0002000105450123318,0.00025000192364972714,0.00025000192364972714,1.1901484514776575e-08
0.0,19,0.12222422896986614,-2.116104641492062e-08,0.0002000105450123318,0.00025000192364972714,0.00025000192364972714,1.2667593747926978e-08
0.0,20,,,0.0002000105450123318,0.00025000192364972714,0.00025000192364972714,1.3431495178988642e-08
0.1,0,0.0713844992146498,0.7664618383469368,0.0001999999999737572,0.0002499999999858826,0.00024999999999878093,-4.371698221445444e-18
0.1,1,0.07300830080964692,0.7108362143766953,0.0009927610108290466,0.002024070789880887,0.0035487676677405044,3.634164379016919e-08
0.1,2,0.07417564708648598,0.6565645217025211,0.0014029508795804226,0.0030026511437838744,0.005118184487358614,1.927425409466248e-07
0.1,3,0.07500190367904165,0.604229543772762,0.0017255938475326455,0.0038965475368058214,0.006407398092271432,4.851103801867409e-07
0.1,4,0.07555140173962951,0.5541584307381823,0.002001158071849287,0.004773146459649744,0.007564765422375679,9.294495862334695e-07
0.1,5,0.07586641171274461,0.5065113257741641,0.0022450828168113497,0.005646816501463214,0.008641556856796023,1.5416439933274176e-06
0.1,6,0.07598144388167297,0.46133457131833694,0.002465034257303106,0.006518085512785053,0.00965986355433821,2.3372279486268548e-06
0.1,7,0.07593034543759195,0.41859277274307305,0.002665388879112324,0.007383039078162667,0.010629830260970323,3.3311912066909507e-06
0.1,8,0.07574985058056047,0.3781879655744385,0.0028488940866863454,0.008236274848352232,0.01155587634586333,4.537817860530319e-06
0.1,9,0.07548120336627973,0.3399705480376065,0.0030174202047139314,0.009072025745853802,0.01243946620967427,5.970552970366874e-06
0.1,10,0.07517045631981811,0.3037446437743146,0.003172352980074631,0.009884731938161874,0.013280585123525706,7.641891591624432e-06
0.1,11,0.07486752613478619,0.2692696161935948,0.003314824537091043,0.010669474580110796,0.014078686335856891,9.563286236690493e-06
0.1,12,0.07462376764154757,0.23625930356025465,0.003445865472605946,0.011422406536551053,0.014833416168273463,1.174506801396348e-05
0.1,13,0.07448754299158467,0.20438112607473707,0.0035665153319705545,0.012141205109991974,0.015545237180593651,1.419637009767072e-05
0.1,14,0.07449689841208765,0.17325864223028992,0.0036779067287798354,0.012825509635187771,0.01621597114040941,1.6925021572875642e-05
0.1,15,0.07466790519798878,0.14248186932298113,0.0037813237837704635,0.013477251791072554,0.01684920953668215,1.993732888916767e-05
0.1,16,0.07497676417949155,0.11163324826874624,0.003878190833500134,0.014100534698021588,0.017450272858654862,2.3237825187834226e-05
0.1,17,0.07533251964175919,0.0803511361018911,0.003969955518487154,0.014700770077120468,0.0180254450391528,2.6828670832053838e-05
0.1,18,0.07553362808746503,0.0484574670456382,0.004057952075666594,0.0152835882942474,0.018581005390137007,3.0706673228137694e-05
0.1,19,0.07520260120374661,0.016176058044346193,0.004143116712271682,0.015852581097745604,0.019121166002811635,3.4857125865456324e-05
0.1,20,,,0.004225434373086511,0.016404906513480866,0.019643997556815233,3.924277417848189e-05
0.2,0,0.06837812642894525,0.8546415615706611,0.00019999999999989904,0.0002499999999999962,0.0002499999999999555,1.4424881869426653e-20
0.2,1,0.069224707676931,0.774438423203577,0.0009955315370671698,0.0021880632941054597,0.024312832992510327,2.037252807706756e-06
0.2,2,0.07817333211393769,0.6942619175416022,0.001411286679973724,0.003239891173647405,0.03288699571835398,8.05902135243523e-06
0.2,3,0.08494273163426254,0.6170938642844955,0.0018113158531953852,0.004373071870617322,0.03853175821578489,1.7659462351930103e-05
0.2,4,0.09015927798965631,0.5435763137332458,0.0021905577323633125,0.0055626446241079045,0.04257104110762762,3.0218543633500498e-05
0.2,5,0.09423573218546308,0.4741093516488196,0.002548852518515446,0.006794622023456434,0.04556070878194851,4.518336334352904e-05
0.2,6,0.09745146268308565,0.40892073768230786,0.00288708658212235,0.008059147146977818,0.0478103275525203,6.207323950979625e-05
0.2,7,0.10000083601291034,0.3481031579041673,0.003206347439578542,0.009348657183407733,0.04951909347375054,8.04800696652415e-05
0.2,8,0.1020204460885232,0.29163686258052784,0.0035077351737764825,0.010657054393577527,0.050826588310116425,0.00010006621465536415
0.2,9,0.10360182181829608,0.23940602798440822,0.0037923276493542295,0.011979163302503504,0.051835914948604615,0.00012056080228012112
0.2,10,0.10479290673629563,0.19121225885430643,0.004061164696764589,0.013310252705689215,0.05262572467377103,0.00014175488974417212
0.2,11,0.10558863933602218,0.1467862240834238,0.004315207759767701,0.014645485219379343,0.05325707255346268,0.00016349566922198525
0.2,12,0.1059078210430813,0.1057974523945529,0.004555252911410329,0.01597914982971353,0.053777548358378884,0.00018567960664447747
0.2,13,0.11939024575453305,0.28159459161440664,0.004781772191476285,0.017303477527564132,0.05422374971160349,0.00020824395270606038
0.2,14,0.12430240837083179,0.33817885642454876,0.005049738615688977,0.018842527143886213,0.05535865484964419,0.0002318350716411229
0.2,15,0.1263752009529478,0.2712239546881242,0.005320814717461704,0.020427213492746402,0.056625094681949005,0.00025663979688229373
0.2,16,0.12842039459043664,0.20657451667339294,0.005579737146077539,0.02200320990086344,0.057689584314924054,0.0002826280558192047
0.2,17,0.13006974365620932,0.14384199378483434,0.0058284138109632915,0.023561419761240956,0.05860639852425111,0.00030972255087771016
0.2,18,0.1307614323205814,0.08277801046645371,0.0060676682878491395,0.025108679225859354,0.059425148959513584,0.0003378466700049589
0.2,19,0.129822646738126,0.02343841229126787,0.006296850788633899,0.02667733836641408,0.06019795029982315,0.00036687988968716787
0.2,20,,,0.006513605158098519,0.02828664097577316,0.060968434223207434,0.0003965838862541601
0.30000000000000004,0,0.09808833707124334,0.5666178976941489,0.00019999999999160904,0.00024999999999907973,0.0002499999999969043,3.9093845700288104e-19
0.30000000000000004,1,0.09603432846828984,0.5564482381856134,0.0013470163290591225,0.003385915159966121,0.014725280406703267,1.6306600844680803e-06
0.30000000000000004,2,0.09923584673439695,0.5422314791711776,0.0018954189347670015,0.004860548235647347,0.021281037124983478,6.196537564129042e-06
0.30000000000000004,3,0.10102627784316609,0.5246705210364657,0.0023646129366303743,0.006239512977566653,0.026459749947064203,1.3408226988794444e-05
