timestep,time,x,y,theta,v,omega,solver_computation_time,solver_raw_status,solver_status_code,solver_success
0,0.1,0.3090564553770527,0.2,-4.111700443980976e-08,0.09056455377052677,-4.111700443980976e-07,0.0633387565612793,success,0,True
1,0.2,0.3161949052985176,0.19999999970648832,0.07664614271768924,0.0713844992146498,0.7664618383469368,0.0527195930480957,success,0,True
2,0.30000000000000004,0.3230126429583361,0.20052357867973075,0.16211029887475537,0.06837812642894525,0.8546415615706611,0.06513786315917969,success,0,True
3,0.4,0.3326928718339026,0.20210673616105315,0.21877208864417025,0.09808833707124334,0.5666178976941489,0.057823896408081055,success,0,True
4,0.5,0.3429243835220089,0.20438151287082237,0.30300762591608615,0.10481337724888157,0.8423553727191588,0.13601207733154297,success,0,True
5,0.6000000000000001,0.3525687700757566,0.20739668325721106,0.3658136655156998,0.10104723868422365,0.6280603959961368,0.13683390617370605,success,0,True
6,0.7000000000000001,0.3664592622368011,0.2127175032791252,0.3896859502754371,0.14874706658675324,0.2387228475973731,0.0538327693939209,success,0,True
7,0.8,0.37753204009806757,0.21726495860175585,0.5033268287315963,0.11970202983921145,1.1364087845615913,0.05549931526184082,success,0,True
8,0.9,0.38885364582771326,0.2234989752685117,0.5560759920869295,0.12924462081608484,0.5274916335533324,0.06640744209289551,success,0,True
9,1.0,0.39641785001371055,0.22820010185739031,0.6459028781482887,0.08906052782917952,0.8982688606135926,0.0557093620300293,success,0,True
10,1.1,0.4054968045863907,0.2350434505162209,0.6865181332473315,0.11369205645035543,0.40615255099042763,0.06608796119689941,success,0,True
11,1.2000000000000002,0.41182577536120235,0.24023003707620907,0.7022549604760651,0.08182698284347889,0.15736827228733602,0.1204679012298584,success,0,True
12,1.3,0.41872419111331116,0.2460671347651249,0.7809633705754329,0.09036583940787014,0.787084100993678,0.14615631103515625,success,0,True
13,1.4000000000000001,0.4273131894357158,0.254580288090934,0.8142256098222391,0.1209316632363103,0.33262239246806213,0.05274820327758789,success,0,True
14,1.5,0.46449168334042185,0.2939665602930291,0.7070189344865377,0.5416196864036418,-1.0720667533570136,0.13492798805236816,success,0,True
15,1.6,0.48545606479326786,0.3118776567804138,0.587018934486967,0.27573767734584953,-1.1999999999957083,0.237715482711792,success,0,True
16,1.7000000000000002,0.5000879053092223,0.32161144101393846,0.587018934486967,0.17573767734584952,0.0,0.23590087890625,failure,4,False
17,1.8,0.506393790493948,0.3258064105888577,0.587018934486967,0.07573767734584952,0.0,0.08812189102172852,failure,4,False
18,1.9000000000000001,0.506393790493948,0.3258064105888577,0.587018934486967,0.0,0.0,0.0874629020690918,failure,4,False
19,2.0,0.48684732436479544,0.31280318767772697,0.6402030731521339,-0.23476544554398532,0.5318413866516692,0.05698060989379883,success,0,True
20,2.1,0.47743015879465917,0.3057887222909655,0.6917954314496428,-0.11742475549790801,0.5159235829750896,0.12800025939941406,success,0,True
21,2.2,0.47291145863261974,0.30204561620392695,0.7576266534879335,-0.058676651517652265,0.6583122203829063,0.1672358512878418,success,0,True
22,2.3000000000000003,0.47078576662240834,0.3000348299820691,0.839124149888582,-0.029260601074294467,0.8149749640064845,0.06089377403259277,success,0,True
23,2.4000000000000004,0.4698180876576785,0.29895715659167077,0.9083508136592261,-0.014483723675744296,0.6922666377064413,0.05205821990966797,success,0,True
24,2.5,0.4693913490863816,0.2984100775409562,0.9429645392201995,-0.006938308842673742,0.346137255609734,0.1341230869293213,success,0,True
25,2.6,0.4692258360377238,0.29818203503500756,1.037869910457417,-0.0028177642519440623,0.9490537123721741,0.14493918418884277,success,0,True
26,2.7,0.4692353812544932,0.2981982173502654,1.0853229460984464,0.00018787721795887093,0.4745303564102954,0.14054250717163086,success,0,True
27,2.8000000000000003,0.47304446829473723,0.30541803569665904,1.157613573280365,0.08163021562820759,0.7229062718191864,0.24011635780334473,success,0,True
28,2.9000000000000004,0.47755113055559906,0.3156973515382167,1.2345342890080162,0.11223829066052912,0.7692071572765135,0.13589191436767578,success,0,True
29,3.0,0.4796757595904594,0.32177576595355206,1.2716459242649096,0.06439034891994933,0.3711163525689332,0.1242828369140625,success,0,True
30,3.1,0.4823812373978351,0.3305482325114945,1.3719143996445968,0.09180184076390932,1.0026847537968722,0.2068486213684082,success,0,True
31,3.2,0.4852537969217653,0.3448008373426174,1.4113413367723673,0.14539200208081227,0.39426937127770356,0.21097254753112793,success,0,True
32,3.3000000000000003,0.4864365870483305,0.35215556856986224,1.4303113366004978,0.0744923243754081,0.1896999982813043,0.12512755393981934,success,0,True
