time,solve_mode,solver_status,u0,s,psdf,mf_probability_sum,mf_slack
0.0,sqp_rti,0,"[0.1234012269396708,4.8066958417929665e-08,0.09528988774083298]",0.0223102387741667,0.029999956488609314,"[-1.1920928966180355e-08,-1.1920928966180355e-08,-1.1920928966180355e-08,-1.1920928966180355e-08,-1.1920928966180355e-08,-1.1920928966180355e-08,-1.1920928966180355e-08,-1.1920928966180355e-08,-1.1920928966180355e-08,-1.1920928966180355e-08,-1.1920928966180355e-08,-1.1920928966180355e-08,-1.1920928966180355e-08,-1.1920928966180355e-08,-1.1920928966180355e-08,-1.1920928966180355e-08,-1.1920928966180355e-08,-1.1920928966180355e-08,-1.1920928966180355e-08,-1.1920928966180355e-08,-1.1920928966180355e-08]","[null,7.341098147272216e-12,7.341098147272216e-12,7.341098147272216e-12,7.341098147272216e-12,7.341098147272216e-12,7.341098147272216e-12,7.341098147272216e-12,7.341098147272216e-12,7.341098147272216e-12,7.341098147272216e-12,7.341098147272216e-12,7.341098147272216e-12,7.341098147272216e-12,7.341098147272216e-12,7.341098147272216e-12,7.341098147272216e-12,7.341098147272216e-12,7.341098147272216e-12,7.341098147272216e-12,3.3089529043063402e-12]"
0.1,sqp_rti,0,"[0.11435426812534856,0.0879767565565683,0.08541533084813414]",0.032131655778796675,0.0299999937415123,"[-1.1920928966180355e-08,-1.1920928966180355e-08,-1.1920928966180355e-08,-1.1920928966180355e-08,-1.1920928966180355e-08,-1.1920928966180355e-08,-1.1920928966180355e-08,-1.1920928966180355e-08,-1.1920928966180355e-08,-1.1920928966180355e-08,-1.1920928966180355e-08,-1.1920928966180355e-08,-1.1920928966180355e-08,-1.1920928966180355e-08,-1.1920928966180355e-08,-1.1920928966180355e-08,-1.1920928966180355e-08,-1.1920928966180355e-08,-1.1920928966180355e-08,-1.1920928966180355e-08,-1.1920928966180355e-08]","[null,9.04502492057841e-13,9.04502492057841e-13,9.04502492057841e-13,9.04502492057841e-13,9.04502492057841e-13,9.04502492057841e-13,9.04502492057841e-13,9.04502492057841e-13,9.04502492057841e-13,9.04502492057841e-13,9.04502492057841e-13,9.04502492057841e-13,9.04502492057841e-13,9.04502492057841e-13,9.04502492057841e-13,9.04502492057841e-13,9.04502492057841e-13,9.04502492057841e-13,9.04502492057841e-13,5.464677641903146e-13]"
0.2,sqp_rti,0,"[0.1250893713133281,0.08222456264216801,0.08243705922515292]",0.043269255429017384,0.0293419249355793,"[-1.1920928966180355e-08,-1.1920928966180355e-08,-1.1996329984942378e-08,9.084576063633776e-08,3.280357701512804e-05,0.001022728623985003,0.008873179114167906,0.0369226660640381,0.09773676129863013,0.22771294771102218,0.7819028924336593,1.0104568249254726,0.5570068337883811,0.5587162342087517,0.6116717037466828,0.6581325383223284,0.6713507576360975,0.68421097262313,0.7106666068958247,0.7527932934553581,0.8268020541609495]","[null,5.155966239273233e-15,5.155966245283217e-15,5.156235735582757e-15,5.236978551018067e-15,5.225998708375732e-15,5.179895359395319e-15,5.119804538186448e-15,5.122745844637851e-15,5.128706594792002e-15,5.098018270774362e-15,5.092777519330742e-15,5.1178153502630804e-15,5.102971963196767e-15,5.092579614327086e-15,5.1559662406044764e-15,5.1559662406044764e-15,5.1559662406044764e-15,5.1559662406044764e-15,5.1559662406044764e-15,1.312036536039021e-15]"
0.30000000000000004,sqp_rti,0,"[0.16260551383548344,-0.006718950407354374,0.12439479156993644]",0.05318467331417093,0.028620021417737007,"[-1.1920928966180355e-08,-1.1921123810321177e-08,2.0407765144447865e-08,1.9056135376949168e-05,0.0004585028029304161,0.0031804734531212797,0.011541546427443483,0.03022588766503964,0.10537234332957474,0.2146461552144429,0.21788816930810756,0.22426953344859796,0.24896197870395537,0.28388229164300455,0.29645521368884137,0.5047408537112947,0.6257296864426023,0.6751141046595477,0.7119372139732023,0.8322575272724333,1.0474679065221786]","[null,5.253398321910019e-13,5.253462257005459e-13,5.260136491608525e-13,5.249563730332078e-13,5.2267478507966e-13,5.207675013538578e-13,5.199940783686664e-13,5.202547895812146e-13,5.173657456030259e-13,5.172212885077831e-13,5.18413454453271e-13,5.181974170376734e-13,5.177106167610753e-13,5.190856786843577e-13,5.176375476270418e-13,5.150722346498662e-13,5.104950248478091e-13,5.503318305211729e-13,6.05819855714384e-13,2.193464046263608e-13]"
0.4,sqp_rti,0,"[0.12240188847125441,0.24374327501938803,0.09270493118748965]",0.06458896045016606,0.02839316613972187,"[-1.1920928966180355e-08,-6.801979812731673e-09,6.50260323534213e-05,0.0017903043639322935,0.009953400325264539,0.041278386769969144,0.09832973058478495,0.10705204935156382,0.1264696822354791,0.18076170034322753,0.23888615482443382,0.26199947690862063,0.2862332661876518,0.32200491999435416,0.3829018669955688,0.3383084901766748,0.285678563317975,0.0035049268160692315,null,0.2575810635508537,0.320537200936634]","[null,2.45722841645544e-17,2.4599670718768746e-17,2.45154319441184e-17,2.4465136403119548e-17,2.4477811918493506e-17,2.454643356195294e-17,2.4524220305149425e-17,2.4491623030063877e-17,2.449915024439114e-17,2.4493366377828318e-17,2.450632747084641e-17,2.4504921864803485e-17,2.4532386031823744e-17,2.4512330197767086e-17,2.4502602909192632e-17,2.4468710986588513e-17,2.4529742595230572e-17,2.4572269566109057e-17,2.54270091935718e-17,6.69883884100487e-18]"
0.5,sqp_rti,0,"[0.11206365452630691,0.01932925361623397,0.06801555146781793]",0.07737517520305252,0.02639707922935486,"[-1.1920928966180355e-08,-9.36211019819666e-09,7.473124678919474e-05,0.00451228517721447,0.03429761441147161,0.11022177462220345,0.37886938182768864,1.0179166166497151,0.8212422012309546,0.5412927941620567,0.5214894813822248,0.5003430095152279,0.48667784402602193,0.4477684092657414,0.2528194776075036,0.2759497243900812,0.3179165334537643,0.306685249888136,0.38068601992154,0.46745852945236893,0.6368120464691771]","[null,4.605018301030425e-16,4.626584090922276e-16,4.604183576775296e-16,4.589169218161011e-16,4.593996841528032e-16,4.605431340626972e-16,4.593322592266598e-16,4.602380111408366e-16,4.587626762088046e-16,4.605017392103628e-16,4.605017392104133e-16,4.605017392103628e-16,4.605017392103123e-16,4.605017392103376e-16,4.605017392103628e-16,4.605017392103123e-16,4.605017392103123e-16,4.605017392103376e-16,4.605017392104133e-16,6.930153986673879e-17]"
0.6,sqp_rti,0,"[0.15166216623227222,-0.14703804927712852,0.12747257593136813]",0.08491915449351838,0.025799622759222984,"[-1.1920928966180355e-08,6.5715161645663045e-09,0.00011888879029164912,0.0024847524093621898,0.014347193045777418,0.08372102205086546,0.2584545271569711,0.3183853382758734,0.3204554917708277,0.3656512398896485,0.4450203769629805,0.5174018894390235,0.5705303413576532,0.5997961587663394,0.583419605883319,0.60045102322135,0.6255216017799683,0.6858650499200507,0.7980094621562843,0.9561766509842589,1.1644167862572836]","[null,3.971562854495941e-16,3.9923659433110233e-16,3.9922014491411926e-16,3.996247297426924e-16,3.963545483124421e-16,3.9600795235128934e-16,3.9672739397068494e-16,3.9692021357583796e-16,3.962830543067976e-16,3.963371112130805e-16,3.9626890956393803e-16,3.961970854526446e-16,3.9676901097109696e-16,3.968912771506926e-16,3.990667112385268e-16,3.960773792166923e-16,3.9672455355316346e-16,3.964945213382712e-16,3.9713080272812325e-16,6.081826303698944e-17]"
0.7,sqp_rti,0,"[0.1760748807384452,-0.01730099642523583,0.12837855995503378]",0.10057572916953116,0.026231633499264717,"[-1.1920928966180355e-08,2.412435851234518e-05,0.0035137296897997383,0.04490278808843201,0.07818848442119303,0.11587150785640915,0.1869288188152513,0.2597392463628491,0.31854221651372167,0.3624166866595315,0.3870826799939377,0.3904600737886225,0.37399289765098115,0.3415930325256881,0.3407001960007709,null,0.48068382050464215,0.48965760270946673,0.5011048973451537,0.5691902010638705,0.7023413778935106]","[null,7.538257174710088e-15,7.439659447747513e-15,7.425265206312206e-15,7.446679789511148e-15,7.45097488967354e-15,7.447604871852504e-15,7.448119588751834e-15,7.449835307835292e-15,7.456290379628645e-15,7.484453350621015e-15,7.508841307298795e-15,7.495227410146809e-15,7.42509772530736e-15,7.470729868195138e-15,7.531769536006332e-15,7.411778338398494e-15,7.412771924188179e-15,7.639577298775577e-15,7.595805225137398e-15,2.5660646789961166e-15]"
0.7999999999999999,sqp_rti,0,"[0.09596676619691152,0.4515012605249066,0.07751564277642034]",0.1128523168820884,0.025867145508527756,"[-1.1920928966180355e-08,0.0026767765392047838,0.08097693308561854,0.1262337691231094,0.18440394023796464,0.2441633841156487,0.23234566772993198,0.16747359524680244,0.10375575318022084,0.012123313075672992,8.999238521045783e-08,0.20137795467192204,0.31058803774212523,0.12067255151991602,0.0005349827906011018,0.0020530263501112866,0.16445142030851861,0.20496280438078335,0.12005423719653424,null,null]","[null,2.2655663851306586e-10,2.2488179933234317e-10,2.2606081947749668e-10,2.2522935333505306e-10,2.2546438237698392e-10,2.2547822202283065e-10,2.2527215900479131e-10,2.2529915582135325e-10,2.2572695141261939e-10,2.2616186870545578e-10,2.2544384656979637e-10,2.2529925110764675e-10,2.2526901527848035e-10,2.2540310706810019e-10,2.2665358866912872e-10,2.256082986495097e-10,2.2579577403204372e-10,2.2528054565408818e-10,2.261310759805674e-10,3.439423687563045e-11]"
0.8999999999999999,sqp_rti,0,"[0.08398717847832897,0.18128764224764127,0.09514348217055127]",0.1167635036714206,0.022332683205604553,"[-1.1920928966180355e-08,-1.1995674453757488e-08,4.5352807981347e-06,0.00023852810854196882,0.0034210631264765534,0.06223922112130892,0.29989920228468064,0.3538223463981229,0.34749539321546513,0.28692400739242635,0.3125438036787031,0.26817930913639393,0.26231771310274893,0.4014463486165482,null,null,0.3913182445698908,0.4583092501437946,0.4977396245779914,0.5298964040101943,0.8011591969674108]","[null,7.799995413391775e-16,7.816555636722005e-16,7.816560967125571e-16,7.796848705379771e-16,7.791945983400196e-16,7.781259940280017e-16,7.784375352689027e-16,7.784405130415597e-16,7.783404852178604e-16,7.795893515465498e-16,7.778170871505565e-16,7.783064657349585e-16,7.774936061003506e-16,7.799995410289848e-16,7.799995410289848e-16,7.78428182958102e-16,7.771669889757979e-16,7.793945955160888e-16,7.799995410289848e-16,9.36212133205608e-17]"
