timestep,x,y,theta,sdf_value,risk_margin_stage0,risk_margin_5,risk_margin_max,path_s,predicted_s,solver_status,planner_projected_s_raw,planner_projected_s,planner_slice_start_s,planner_slice_lookback,slice_start_s,slice_end_s,slice_start_idx,slice_end_idx,slice_n_segments
0,0.075,0.7949999999999999,-1.5707963267948966,0.029999956488609314,,,,0.012781250000000003,0.0223102387741667,0,0.011250000000000093,0.04125000000000009,0.011250000000000093,0.03,0.0,2.891614275999009,0,15,16
1,0.075,0.7826598773060328,-1.5707963219882006,0.0299999937415123,,,,0.023590122693967208,0.032131655778796675,0,0.023590122693967208,0.05359012269396721,0.023590122693967208,0.03,0.0,2.891614275999009,0,15,16
2,0.07500000005496661,0.771224450493498,-1.5619986463325437,0.0293419249355793,,,,0.035025549506502045,0.043269255429017384,0,0.035025549506502045,0.06502554950650205,0.03502554950650205,0.03,0.0,2.891614275999009,0,15,16
3,0.075110048267152,0.7587159974497907,-1.553776190068327,0.028620021417737007,,,,0.0407451941571763,0.05318467331417093,0,0.04753400255020934,0.07753400255020934,0.04753400255020934,0.03,0.0,2.891614275999009,0,15,16
4,0.07538679171309112,0.7424578012287413,-1.5544480851090623,0.02839316613972187,,,,0.0553184673314171,0.06458896045016606,0,0.06379219877125875,0.09379219877125874,0.06379219877125875,0.03,0.0,2.891614275999009,0,15,16
5,0.07558688836522742,0.7302192480322601,-1.5300737576071235,0.02639707922935486,,,,0.07057362005627076,0.07737517520305252,0,0.07603075196773991,0.10603075196773991,0.07603075196773991,0.03,0.0,2.891614275999009,0,15,16
6,0.07604311423798628,0.7190221732084081,-1.5281408322455001,0.025799622759222984,,,,0.07217189690038156,0.08491915449351838,0,0.08722782679159191,0.11722782679159191,0.08722782679159191,0.03,0.0,2.891614275999009,0,15,16
7,0.07668984054804777,0.7038697518922445,-1.542844637173213,0.026231633499264717,,,,0.08773787317402776,0.10057572916953116,0,0.10238024810775548,0.13238024810775548,0.10238024810775548,0.03,0.0,2.891614275999009,0,15,16
8,0.07718193550514896,0.6862691417089647,-1.5445747368157365,0.025867145508527756,,,,0.10510075260466795,0.1128523168820884,0,0.11998085829103533,0.14998085829103533,0.11998085829103533,0.03,0.0,2.891614275999009,0,15,16
9,0.07743354678885025,0.676675764102259,-1.4994246107632458,0.022332683205604553,,,,0.10724915545436547,0.1167635036714206,0,0.12957423589774097,0.15957423589774097,0.12957423589774097,0.03,0.0,2.891614275999009,0,15,16
10,0.07803246891468625,0.6682984283817157,-1.4812958465384818,0.020574897527694702,,,,0.12335270073428413,0.13236485689922134,0,0.1379515716182843,0.1679515716182843,0.1379515716182843,0.03,0.0,2.891614275999009,0,15,16
11,0.07903008456782583,0.657181722849101,-1.4707826140352207,0.019905850291252136,,,,0.12647297137984426,0.1376113392318657,0,0.149068277150899,0.17906827715089899,0.149068277150899,0.03,0.0,2.891614275999009,0,15,16
12,0.07997342292866709,0.6477811025562015,-1.4263454563576992,0.017419222742319107,,,,0.14346255132716978,0.1534427598678395,0,0.15846889744379855,0.18846889744379855,0.15846889744379855,0.03,0.0,2.891614275999009,0,15,16
