timestep,x,y,theta,sdf_value,risk_margin_stage0,risk_margin_5,risk_margin_max,path_s,predicted_s,solver_status,planner_projected_s_raw,planner_projected_s,planner_slice_start_s,planner_slice_lookback,slice_start_s,slice_end_s,slice_start_idx,slice_end_idx,slice_n_segments
0,0.3,0.2,0.0,0.10499998927116394,,,,0.015811388300841868,0.0257394076118399,0,0.015811388300841864,0.04581138830084186,0.01581138830084186,0.03,0.0,0.987913663321624,0,4,5
1,0.3090564520231672,0.2,-2.994871386357499e-10,0.10499998927116394,,,,0.026286970380591995,0.033797327054487666,0,0.02440309307481641,0.05440309307481641,0.02440309307481641,0.03,0.0,0.987913663321624,0,4,5
2,0.3159732384024431,0.19999999999792853,0.11074940590253674,0.09698644280433655,,,,0.030964932788363687,0.03948487941888457,0,0.030964932788363677,0.06096493278836368,0.03096493278836368,0.03,0.0,0.987913663321624,0,4,5
3,0.3232683345321754,0.20081124704042322,0.18822235881533286,0.09095002710819244,,,,0.04046136595641635,0.04971757281396802,0,0.0381422074842495,0.0681422074842495,0.0381422074842495,0.03,0.0,0.987913663321624,0,4,5
4,0.3331043683498305,0.20268478599115156,0.24435600705820826,0.08550713956356049,,,,0.04806595352305327,0.0568741793517903,0,0.04806595352305325,0.07806595352305325,0.04806595352305325,0.03,0.0,0.987913663321624,0,4,5
5,0.34102832502060454,0.20466053370563272,0.32861771900678516,0.0785423070192337,,,,0.05620806515705583,0.06636699423767854,0,0.05620806515705581,0.08620806515705581,0.056208065157055814,0.03,0.0,0.987913663321624,0,4,5
6,0.3511866863027402,0.20812434334365096,0.3679913587444178,0.07290767878293991,,,,0.06694048562471903,0.07639648445772752,0,0.066940485624719,0.096940485624719,0.066940485624719,0.03,0.0,0.987913663321624,0,4,5
7,0.3604496445197673,0.2116957152381177,0.4649625639552881,0.06445234268903732,,,,0.07685746633155495,0.08660202682490045,0,0.07685746633155494,0.10685746633155493,0.07685746633155494,0.03,0.0,0.987913663321624,0,4,5
8,0.37038104843257,0.21667775212976118,0.5103232237581463,0.05742139369249344,,,,0.08799030402373506,0.0990047645198702,0,0.08785468174628229,0.11785468174628229,0.08785468174628229,0.03,0.0,0.987913663321624,0,4,5
9,0.38167033342907025,0.22299730361367842,0.5576623840355558,0.04913011193275452,,,,0.1005630555173819,0.10948840822119706,0,0.10056305551738184,0.13056305551738184,0.10056305551738184,0.03,0.0,0.987913663321624,0,4,5
10,0.39093434173671093,0.22877524560378643,0.6105486301542403,0.04138631746172905,,,,0.11117881115954856,0.11942563683147718,0,0.11117881115954852,0.1411788111595485,0.1111788111595485,0.03,0.0,0.987913663321624,0,4,5
11,0.3991598386434309,0.23453092030154796,0.6629710947691112,0.03429833799600601,,,,0.12080230684471274,0.1330637370706496,0,0.12080230684471269,0.15080230684471269,0.12080230684471269,0.03,0.0,0.987913663321624,0,4,5
12,0.41149528767997934,0.24416338418006878,0.6925704485590889,0.027987860143184662,,,,0.13555079385318203,0.14472608231027695,0,0.13555079385318197,0.16555079385318197,0.13555079385318197,0.03,0.0,0.987913663321624,0,4,5
13,0.42035609376867206,0.2515148998204347,0.775392146568143,0.022082053124904633,,,,0.14506336851981233,0.15741181547650174,0,0.14628164596457985,0.17628164596457985,0.14628164596457985,0.03,0.0,0.987913663321624,0,4,5
