time,stage,v,omega,sigma_f,sigma_l,sigma_psi,P_lpsi
0.0,0,0.12340121812765066,3.074561643630229e-09,0.00020000003250396925,0.0002500000072279587,0.0002500000072279587,-3.4121426830572874e-28
0.0,1,0.12264224512816457,2.402285104354352e-09,0.00020000006564620463,0.0002500000337417453,0.0002500000337417453,7.712576132978168e-10
0.0,2,0.12180371801783609,1.88948053517309e-09,0.00020000006564620463,0.0002500000337417453,0.0002500000337417453,1.5377716453488454e-09
0.0,3,0.12085913904529666,1.5075603093396167e-09,0.00020000006564620463,0.0002500000337417453,0.0002500000337417453,2.299044882960321e-09
0.0,4,0.11980105078854071,1.2192478117387008e-09,0.00020000006564620463,0.0002500000337417453,0.0002500000337417453,3.0544145019934252e-09
0.0,5,0.11863596971027902,9.964969501300558e-10,0.00020000006564620463,0.0002500000337417453,0.0002500000337417453,3.803171069421805e-09
0.0,6,0.11738205932971416,8.199726422058564e-10,0.00020000006564620463,0.0002500000337417453,0.0002500000337417453,4.5446458801110484e-09
0.0,7,0.11606860115400723,6.76628548846619e-10,0.00020000006564620463,0.0002500000337417453,0.0002500000337417453,5.2782837509217626e-09
0.0,8,0.11473668189972157,5.576764335709003e-10,0.00020000006564620463,0.0002500000337417453,0.0002500000337417453,6.003712508134308e-09
0.0,9,0.1134406441184281,4.5716159487988497e-10,0.00020000006564620463,0.0002500000337417453,0.0002500000337417453,6.720816770007567e-09
0.0,10,0.1122497505313749,3.7101936955066775e-10,0.00020000006564620463,0.0002500000337417453,0.0002500000337417453,7.4298207957477425e-09
0.0,11,0.111249132078622,2.9646614164843415e-10,0.00020000006564620463,0.0002500000337417453,0.0002500000337417453,8.131381736568835e-09
0.0,12,0.1105383135683425,2.3161375133370647e-10,0.00020000006564620463,0.0002500000337417453,0.0002500000337417453,8.826688812060224e-09
0.0,13,0.11022431672700736,1.7523245418095337e-10,0.00020000006564620463,0.0002500000337417453,0.0002500000337417453,9.517553271862364e-09
0.0,14,0.11040454116434063,1.2661079621404075e-10,0.00020000006564620463,0.0002500000337417453,0.0002500000337417453,1.020645525140616e-08
0.0,15,0.11113281214399226,8.547172238432488e-11,0.00020000006564620463,0.0002500000337417453,0.0002500000337417453,1.089648363368329e-08
0.0,16,0.11236171991398149,5.19026751889837e-11,0.00020000006564620463,0.0002500000337417453,0.0002500000337417453,1.1591063709583241e-08
0.0,17,0.11385875743804098,2.6251190486288433e-11,0.00020000006564620463,0.0002500000337417453,0.0002500000337417453,1.2293324459045625e-08
0.0,18,0.1151064547539403,8.947409152664198e-12,0.00020000006564620463,0.0002500000337417453,0.0002500000337417453,1.3004941693033382e-08
0.0,19,0.11521745590925228,2.572260186742702e-13,0.00020000006564620463,0.0002500000337417453,0.0002500000337417453,1.372435703524551e-08
0.0,20,,,0.00020000006564620463,0.0002500000337417453,0.0002500000337417453,1.4444466134678336e-08
0.1,0,0.11457679438505307,0.2372262353931474,0.00019999999999970573,0.00025000000000030006,0.0002499999999999806,2.9182900506921705e-20
0.1,1,0.11393905457754488,0.23730097347165116,0.0016278803001116093,0.0025813924718607597,0.005569836880788903,1.7580454886386395e-07
0.1,2,0.11392230366317493,0.23823157637325101,0.0022871962744801327,0.0037838090877169188,0.007907727567909749,7.334619781748163e-07
0.1,3,0.11406017444370604,0.23971531114092007,0.0027954430264244003,0.004891498973877033,0.009777878566073137,1.6815377740508632e-06
0.1,4,0.11411652548971539,0.24132800494593876,0.0032260194061613273,0.00600711320788929,0.011436264330903691,3.036114839958406e-06
0.1,5,0.11396677277302832,0.24259204942932877,0.003606279900586366,0.007159953768909919,0.012977101514699914,4.8164501608622635e-06
0.1,6,0.11354023483780891,0.24301669553123298,0.003949503703083976,0.008360913659118578,0.014446543845295977,7.043136765938224e-06
0.1,7,0.11279402982842528,0.24212478449846883,0.004263086272061773,0.009615660240326295,0.01587156856848849,9.737595849332404e-06
0.1,8,0.11170381140272642,0.23947280353174424,0.004551511686528109,0.010928634399197132,0.017270312945101472,1.29224069679597e-05
0.1,9,0.1102641731629967,0.23466704962118162,0.004817672391138226,0.012304353387368419,0.018656561238833542,1.6622307708322745e-05
0.1,10,0.1084952752461136,0.2273761091728606,0.005063554764342495,0.013747817017895384,0.020041989157854927,2.086586576493025e-05
0.1,11,0.10645364326557513,0.21733793498763798,0.00529065332305448,0.015264588981005288,0.0214374271923361,2.5687922155431967e-05
0.1,12,0.10424459119569578,0.20435813034887942,0.005500262618738747,0.016860734499416524,0.022853633746809664,3.113294167802881e-05
0.1,13,0.10203111600336343,0.18829482144738857,0.005693711763478813,0.018542636246336976,0.024301752527842137,3.7259356129407e-05
0.1,14,0.1000292007113493,0.16902607594386695,0.0058725631256345105,0.020316569691318006,0.025793422879109063,4.4144750078305195e-05
0.1,15,0.09847371366251695,0.14640204500255208,0.006038761158190481,0.022187632759883,0.027340228111191925,5.189109545857688e-05
0.1,16,0.09753859106412516,0.12020367366655131,0.006194675151072037,0.024157013574845464,0.028951633829707037,6.062774496969659e-05
0.1,17,0.09721123433617788,0.0901728562762284,0.006342933906867789,0.026215735670143504,0.030629821152773413,7.050685664861369e-05
0.1,18,0.09715994064810768,0.05624441541386427,0.006485937662207688,0.028333182211837407,0.03235980799241672,8.168099634987182e-05
0.1,19,0.09667294967954244,0.019160704940939726,0.00662502699599659,0.030442569456032527,0.03409624854373066,9.424801763280798e-05
0.1,20,,,0.006759536581406416,0.03243341152260012,0.03575501134107805,0.00010815161255285088
0.2,0,0.12032687424211663,0.10229411142590888,0.00020000006530148051,0.0002500000029362855,0.0002499999987883032,-2.3148900017327706e-14
0.2,1,0.11801329474290051,0.10821104827352804,0.0017114291015115062,0.0033034758815807014,0.0055654408840469065,2.004784811294184e-07
0.2,2,0.1170076867035701,0.11572841844234248,0.0023902111991033186,0.004716922925694626,0.007965021234109389,7.671030095218621e-07
0.2,3,0.11666374593737532,0.1264298402891323,0.0029075290043623844,0.005941420547673065,0.009974174868525271,1.7269081424671273e-06
0.2,4,0.11659664725486502,0.1401331988107073,0.0033439755365325167,0.0071311926692903425,0.011881131794565573,3.135062409085262e-06
0.2,5,0.11659849831821695,0.15655282841063958,0.0037300075741152168,0.00833934829978281,0.013794165699142678,5.06936163162117e-06
0.2,6,0.1165501523353282,0.17532177283957762,0.0040807188531778475,0.00959131654343888,0.01576455014550787,7.6259119842519554e-06
0.2,7,0.11637803094455035,0.1960087021781468,0.004404805311100483,0.010903468149847355,0.017817643680140344,1.0915832300945198e-05
0.2,8,0.11603567040667248,0.2181346229282307,0.004707823889784534,0.012289589541875895,0.01996412278242019,1.5061513948308704e-05
0.2,9,0.11550057639703609,0.24119493020419702,0.004993626331592383,0.013763657009355708,0.022205234514010956,2.0192043950050717e-05
0.2,10,0.11478276585666175,0.26469119729397333,0.005265086236192266,0.015341362147963984,0.024536080602836793,2.643823969204791e-05
0.2,11,0.11394398391662439,0.288174126217709,0.00552452611843252,0.017041255309852815,0.026948364508050576,3.392866449288044e-05
0.2,12,0.11312581067066386,0.3112924930977057,0.005774018410119704,0.01888578393193342,0.029433108933536577,4.278903628842191e-05
0.2,13,0.11257809746590242,0.33383290500674295,0.006015635479288676,0.020902009401061402,0.031983278815557875,5.3148352784205074e-05
0.2,14,0.11266139053101756,0.3557225234266259,0.00625165064733297,0.023120787438037284,0.034595446355274305,6.515494030508333e-05
0.2,15,0.11376740060598992,0.3769635766669148,0.006484592743610888,0.0255709004192164,0.0372680000341888,7.900217657151494e-05
0.2,16,0.11608886456621209,0.39750302447341646,0.006716912860700978,0.0282608584986919,0.0399905842307505,9.495239823895332e-05
0.2,17,0.119259905681461,0.4171675693893537,0.006949917780470357,0.03114094706367057,0.0427182748713545,0.00011332507035124072
0.2,18,0.12281037938678685,0.3334554566660081,0.007181853152527734,0.03405815911417433,0.04533580012151889,0.00013439478604043996
0.2,19,0.12466332215352262,0.11087450855052464,0.007400865043479734,0.036692593668116516,0.04751276483537215,0.0001581821859466288
0.2,20,,,0.007600240696671334,0.0385934524045898,0.04899772298930749,0.00018407718357448032
