time,stage,v,omega,sigma_f,sigma_l,sigma_psi,P_lpsi
0.0,0,0.09056452022435878,-1.951973597383007e-09,0.00020000002127555194,0.000249999983241213,0.000249999983241213,-2.786633195771917e-27
0.0,1,0.09342219661567028,-1.8497215122778772e-09,0.0002000000430006142,0.00025000000062126227,0.00025000000062126227,5.660282514022424e-10
0.0,2,0.09550663630468996,-1.751299075637686e-09,0.0002000000430006142,0.00025000000062126227,0.00025000000062126227,1.1499169802501815e-09
0.0,3,0.09714885934869273,-1.6552712772147999e-09,0.0002000000430006142,0.00025000000062126227,0.00025000000062126227,1.746833457154494e-09
0.0,4,0.09855570662111249,-1.5606080824471735e-09,0.0002000000430006142,0.00025000000062126227,0.00025000000062126227,2.3540138280838234e-09
0.0,5,0.09986073024215916,-1.466575433988649e-09,0.0002000000430006142,0.00025000000062126227,0.00025000000062126227,2.9699869944657765e-09
0.0,6,0.10115405022167365,-1.3726569065425354e-09,0.0002000000430006142,0.00025000000062126227,0.00025000000062126227,3.594116558479271e-09
0.0,7,0.10249949141759018,-1.278496928217051e-09,0.0002000000430006142,0.00025000000062126227,0.00025000000062126227,4.226329372364731e-09
0.0,8,0.10394390062639608,-1.1838593255224749e-09,0.0002000000430006142,0.00025000000062126227,0.00025000000062126227,4.8669511937246696e-09
0.0,9,0.10552149166447129,-1.08859685539317e-09,0.0002000000430006142,0.00025000000062126227,0.00025000000062126227,5.516600572639645e-09
0.0,10,0.10725482465800523,-9.926286806261398e-10,0.0002000000430006142,0.00025000000062126227,0.00025000000062126227,6.1761098955425905e-09
0.0,11,0.10915325678446483,-8.959236317599427e-10,0.0002000000430006142,0.00025000000062126227,0.00025000000062126227,6.846452549655124e-09
0.0,12,0.11120919314766907,-7.984877126737998e-10,0.0002000000430006142,0.00025000000062126227,0.00025000000062126227,7.528660404558028e-09
0.0,13,0.11339207740274655,-7.003547366493738e-10,0.0002000000430006142,0.00025000000062126227,0.00025000000062126227,8.223717861730961e-09
0.0,14,0.11563969161821482,-6.015792825002605e-10,0.0002000000430006142,0.00025000000062126227,0.00025000000062126227,8.932418345498126e-09
0.0,15,0.11785960037010879,-5.022313754401319e-10,0.0002000000430006142,0.00025000000062126227,0.00025000000062126227,9.65516641811197e-09
0.0,16,0.11992785759867826,-4.023924511016088e-10,0.0002000000430006142,0.00025000000062126227,0.00025000000062126227,1.039178892042515e-08
0.0,17,0.1216234073266352,-3.0215227132201103e-10,0.0002000000430006142,0.00025000000062126227,0.00025000000062126227,1.1141338030416889e-08
0.0,18,0.12257746846729155,-2.0160653938551604e-10,0.0002000000430006142,0.00025000000062126227,0.00025000000062126227,1.1901484326208358e-08
0.0,19,0.12222422451041397,-1.0085501889226138e-10,0.0002000000430006142,0.00025000000062126227,0.00025000000062126227,1.266759350412893e-08
0.0,20,,,0.0002000000430006142,0.00025000000062126227,0.00025000000062126227,1.3431494907319018e-08
0.1,0,0.06916785546602039,1.107505266869461,0.00020000005732380516,0.0002499999468467784,0.0002500000032128831,-1.2482777322591843e-15
0.1,1,0.07068701615276032,0.9973117031417155,0.0009514594369608792,0.001937558476558245,0.0033955911300952327,2.9101579675233383e-08
0.1,2,0.07167956883913663,0.886957398451673,0.0013420984406509226,0.002870322174862855,0.004892017213127811,1.671396278830467e-07
0.1,3,0.07228296718331889,0.7773706972148349,0.0016478090038633977,0.0037179316122831754,0.006114525086966207,4.278162047094025e-07
0.1,4,0.07257828399045743,0.6690030888370648,0.0019069812435785632,0.00454320168967963,0.007203813546387187,8.243899710726117e-07
0.1,5,0.07262339596425572,0.5620134211533809,0.0021342759023317824,0.005358548720271877,0.008208000734969089,1.3694328085378773e-06
0.1,6,0.072469707479735,0.4563590176522903,0.0023370046383496402,0.006163449247331354,0.009147549813587251,2.074594196268621e-06
0.1,7,0.0721704341925948,0.3518509405408418,0.0025194055005594435,0.006953507074402262,0.010031834279872188,2.950432442170654e-06
0.1,8,0.07178437038469074,0.24818785767777252,0.0026842406836947714,0.007723405395794943,0.01086521765092317,4.0063313562143145e-06
0.1,9,0.0713768263318377,0.1449773350245004,0.0028335313898280004,0.00846814241170748,0.011649859153495565,5.25051674113109e-06
0.1,10,0.07101828272399333,0.041750375156996505,0.002968949102020628,0.009183752762134583,0.012387287636430338,6.690188129720949e-06
0.1,11,0.070780707851177,-0.06202615117950372,0.003092047973805958,0.009867874881668104,0.01307944595734716,8.331778352436467e-06
0.1,12,0.07073108822676218,-0.16693433661801374,0.0032044113173555376,0.010520239611633885,0.013729451248113653,1.0181341028993276e-05
