time,stage,v,omega,sigma_f,sigma_l,sigma_psi,P_lpsi
0.0,0,0.12340122720970083,4.9460079857308135e-08,0.00020000044227079565,0.0002499998839737763,0.0002499998839737763,2.8403790542039144e-27
0.0,1,0.12264225216984113,3.6532619482007746e-08,0.0002000008934802361,0.00025000024494235975,0.00025000024494235975,7.712576700606303e-10
0.0,2,0.12180372292104398,2.673693662949481e-08,0.0002000008934802361,0.00025000024494235975,0.00025000024494235975,1.5377717461221375e-09
0.0,3,0.12085914214844043,1.967375310107218e-08,0.0002000008934802361,0.00025000024494235975,0.00025000024494235975,2.2990450143786625e-09
0.0,4,0.11980105249191537,1.4569857886832129e-08,0.0002000008934802361,0.00025000024494235975,0.00025000024494235975,3.054414652806415e-09
0.0,5,0.11863597037171589,1.0820080423326274e-08,0.0002000008934802361,0.00025000024494235975,0.00025000024494235975,3.803171230880886e-09
0.0,6,0.11738205923893803,8.005598718530158e-09,0.0002000008934802361,0.00025000024494235975,0.00025000024494235975,4.54464604570411e-09
0.0,7,0.1160686005325961,5.846009270155379e-09,0.0002000008934802361,0.00025000024494235975,0.00025000024494235975,5.278283915947473e-09
0.0,8,0.11473668090996332,4.1551427016037285e-09,0.0002000008934802361,0.00025000024494235975,0.00025000024494235975,6.003712669276199e-09
0.0,9,0.11344064287472032,2.809319297796695e-09,0.0002000008934802361,0.00025000024494235975,0.00025000024494235975,6.7208169249634694e-09
0.0,10,0.11224974911198457,1.7261909535570277e-09,0.0002000008934802361,0.00025000024494235975,0.00025000024494235975,7.429820942930472e-09
0.0,11,0.11124913053617451,8.511355722187709e-10,0.0002000008934802361,0.00025000024494235975,0.00025000024494235975,8.131381874880375e-09
0.0,12,0.11053831193712224,1.487451529338219e-10,0.0002000008934802361,0.00025000024494235975,0.00025000024494235975,8.826688940731467e-09
0.0,13,0.11022431502816202,-4.023101314694053e-10,0.0002000008934802361,0.00025000024494235975,0.00025000024494235975,9.517553390338482e-09
0.0,14,0.11040453940944449,-8.122562175502975e-10,0.0002000008934802361,0.00025000024494235975,0.00025000024494235975,1.0206455359264495e-08
0.0,15,0.11113281033720673,-1.0819796328715052e-09,0.0002000008934802361,0.00025000024494235975,0.00025000024494235975,1.0896483730573523e-08
0.0,16,0.11236171805326055,-1.2045375729846796e-09,0.0002000008934802361,0.00025000024494235975,0.00025000024494235975,1.1591063795181066e-08
0.0,17,0.11385875551640423,-1.1675451530504807e-09,0.0002000008934802361,0.00025000024494235975,0.00025000024494235975,1.2293324533013945e-08
0.0,18,0.11510645276337501,-9.575514876923883e-10,0.0002000008934802361,0.00025000024494235975,0.00025000024494235975,1.3004941754991471e-08
0.0,19,0.11521745385599476,-5.666673311227988e-10,0.0002000008934802361,0.00025000024494235975,0.00025000024494235975,1.3724357084762565e-08
0.0,20,,,0.0002000008934802361,0.00025000024494235975,0.00025000024494235975,1.444446617136253e-08
0.1,0,0.11435426775268855,0.08797675606222619,0.00019999996132689425,0.00024999999961225835,0.00024999999513700014,-1.1065263263822903e-15
0.1,1,0.11368916945544606,0.10700938802147955,0.0016245030699683248,0.0025760022628672076,0.005558128509460264,1.7459728544562908e-07
0.1,2,0.11364529208467632,0.1267947604761252,0.002282109580402391,0.0037753196901314525,0.007890008380915813,7.292788969079628e-07
0.1,3,0.11377461186630214,0.14705993178101848,0.0027888640377760564,0.0048797914709973874,0.009754700833197709,1.6723648499149105e-06
0.1,4,0.11385342365149956,0.16742688480869863,0.003218176031356803,0.0059921830409719185,0.011408246969209309,3.019770630064494e-06
0.1,5,0.11376567485406029,0.18747687706951605,0.003597513381055974,0.007142272683274696,0.012945368879167765,4.7907963486796e-06
0.1,6,0.11344646252229146,0.20678707330715018,0.003940289878498735,0.008341651118919253,0.01441290244705706,7.006403455278388e-06
0.1,7,0.11285645844680145,0.22495396800503453,0.004254034145897008,0.009596867640586957,0.015838622311022583,9.688815405656415e-06
0.1,8,0.11197264105789333,0.2416108008539514,0.004543353275511995,0.010913432413503387,0.017241572701051786,1.2861960915653079e-05
