time,stage,v,omega,sigma_f,sigma_l,sigma_psi,P_lpsi
0.0,0,0.09056452023329373,-3.015835117645851e-09,0.000200000006500772,0.00025000001416641284,0.00025000001416641284,1.3862089128807222e-27
0.0,1,0.0934221966301299,-2.859433105599725e-09,0.00020000002452270432,0.00025000002858395536,0.00025000002858395536,5.660282514580859e-10
0.0,2,0.09550663632129903,-2.7128252755502267e-09,0.00020000002452270432,0.00025000002858395536,0.00025000002858395536,1.1499169803963979e-09
0.0,3,0.09714885936307271,-2.5713560614984546e-09,0.00020000002452270432,0.00025000002858395536,0.00025000002858395536,1.7468334574045169e-09
0.0,4,0.09855570663052476,-2.43200327831249e-09,0.00020000002452270432,0.00025000002858395536,0.00025000002858395536,2.3540138284237214e-09
0.0,5,0.09986073024574324,-2.292835732908297e-09,0.00020000002452270432,0.00025000002858395536,0.00025000002858395536,2.9699869948645016e-09
0.0,6,0.10115405021997519,-2.1526544507436546e-09,0.00020000002452270432,0.00025000002858395536,0.00025000002858395536,3.594116558900397e-09
0.0,7,0.10249949141204866,-2.0107528783191457e-09,0.00020000002452270432,0.00025000002858395536,0.00025000002858395536,4.226329372775242e-09
0.0,8,0.10394390061892785,-1.866755316153073e-09,0.00020000002452270432,0.00025000002858395536,0.00025000002858395536,4.866951194100546e-09
0.0,9,0.10552149165705887,-1.7205074261501945e-09,0.00020000002452270432,0.00025000002858395536,0.00025000002858395536,5.516600572968845e-09
0.0,10,0.10725482465239519,-1.5720017654514845e-09,0.00020000002452270432,0.00025000002858395536,0.00025000002858395536,6.176109895825462e-09
0.0,11,0.10915325678185536,-1.4213270885870119e-09,0.00020000002452270432,0.00025000002858395536,0.00025000002858395536,6.846452549902933e-09
0.0,12,0.1112091931483612,-1.2686338982665045e-09,0.00020000002452270432,0.00025000002858395536,0.00025000002858395536,7.52866040478953e-09
0.0,13,0.11339207740603417,-1.1141111713436726e-09,0.00020000002452270432,0.00025000002858395536,0.00025000002858395536,8.223717861966787e-09
0.0,14,0.11563969162280799,-9.579708066975276e-10,0.00020000002452270432,0.00025000002858395536,0.00025000002858395536,8.9324183457545e-09
0.0,15,0.11785960037502362,-8.004374257296161e-10,0.00020000002452270432,0.00025000002858395536,0.00025000002858395536,9.65516641839705e-09
0.0,16,0.11992785760384274,-6.417418879450094e-10,0.00020000002452270432,0.00025000002858395536,0.00025000002858395536,1.0391788920740949e-08
0.0,17,0.12162340733248679,-4.821173812451536e-10,0.00020000002452270432,0.00025000002858395536,0.00025000002858395536,1.1141338030764965e-08
0.0,18,0.12257746847434149,-3.217972857149062e-10,0.00020000002452270432,0.00025000002858395536,0.00025000002858395536,1.1901484326593007e-08
0.0,19,0.12222422451979,-1.6101424063575563e-10,0.00020000002452270432,0.00025000002858395536,0.00025000002858395536,1.266759350455764e-08
0.0,20,,,0.00020000002452270432,0.00025000002858395536,0.00025000002858395536,1.3431494907806329e-08
0.1,0,0.06916786896187047,1.107491886076324,0.00020000007804912102,0.00024999995853927296,0.00025000002264569983,5.89637492170757e-16
0.1,1,0.07068702378243792,0.997314186898305,0.000951459700396259,0.001937559017529718,0.0033955918085091606,2.9101617145720215e-08
0.1,2,0.0716795745999808,0.8869596751198091,0.0013420987335459288,0.0028703227885891235,0.0048920179224638816,1.6713972848691188e-07
0.1,3,0.0722829717394316,0.7773727637932347,0.0016478093091211719,0.0037179322670147694,0.006114525807631267,4.2781638825495184e-07
0.1,4,0.07257828751073914,0.669004944835667,0.0019069815537069979,0.00454320236994007,0.007203814272392678,8.243902549893184e-07
0.1,5,0.07262339847331978,0.5620150678778115,0.002134276211897644,0.005358549411271928,0.00820800145774245,1.3694332082015673e-06
0.1,6,0.07246970894010307,0.4563604564621627,0.002337004942475404,0.0061634499318852015,0.009147550520100205,2.0745947241623084e-06
0.1,7,0.07217043453518934,0.3518521735313433,0.0025194057943806873,0.006953507731714595,0.010031834952197104,2.950433106435405e-06
0.1,8,0.07178436952797775,0.2481888871384103,0.002684240962088591,0.007723406000695675,0.010865218265950454,4.006332158706346e-06
0.1,9,0.07137682419848451,0.14497816329758267,0.002833531647276116,0.008468142934188301,0.011649859682799643,5.25051767502766e-06
0.1,10,0.07101827927064151,0.04175100462398569,0.002968949332573148,0.009183753167284878,0.012387288046428625,6.69018917673359e-06
0.1,11,0.07078070305225717,-0.062025718466070655,0.0030920481712339337,0.009867875130677491,0.013079446210443744,8.331779479856419e-06
0.1,12,0.07073108209770622,-0.16693409890202607,0.0032044114751756054,0.01052023966232341,0.013729451303218053,1.018134218655777e-05
0.1,13,0.0709213106560263,-0.2735810262608649,0.0033077385934253884,0.011143023797927159,0.014342112528572456,1.2245036340821628e-05
0.1,14,0.07137298571558601,-0.382556012527614,0.0034038724796860657,0.011740921648190947,0.014924121066744726,1.4529613021127187e-05
0.1,15,0.07205465105945029,-0.494364264928223,0.003494747519605886,0.012320695549163546,0.015483716283838354,1.7042685554757975e-05
0.1,16,0.07284761790077758,-0.6093236499579519,0.003582180355249671,0.012889658714406471,0.01602929871233686,1.9792551136810797e-05
0.1,17,0.07349376009639091,-0.7273719005200581,0.0036674325338661266,0.013452615322168926,0.016566510176856144,2.2786814518059637e-05
0.1,18,0.07351375623469261,-0.8477289207157914,0.0037506046654788142,0.014007698153412903,0.017094183070518923,2.602751238666119e-05
0.1,19,0.09640152865638055,-0.4820069436025846,0.0038296788711728895,0.014539910343643528,0.01759797198983797,2.950122099126741e-05
0.1,20,,,0.0040486700134105815,0.01595159188141739,0.018985485229223237,3.3482915107839964e-05
0.2,0,0.07788644989208598,0.709161598042208,0.00019999999988832727,0.00024999999999384244,0.00024999999999704035,-2.847294315942156e-18
0.2,1,0.07857259657388102,0.6548932067400546,0.0011197650725467917,0.0024654350675088607,0.017089139675082316,1.4437753301059417e-06
0.2,2,0.08627548467672293,0.6001541483500126,0.001589559195700807,0.0036424173419512987,0.023644481388238252,4.780396277791928e-06
0.2,3,0.09132756086395709,0.5489981799387307,0.0020141189146425853,0.004826385060822983,0.028346499227131238,1.0169578668883097e-05
0.2,4,0.09451218313735679,0.5017533916566654,0.0024017066203193727,0.006019481677759393,0.03207417954751411,1.7339365439271652e-05
0.2,5,0.09637650980412624,0.458408254252761,0.002756637417697271,0.007216623831694635,0.03516764588516531,2.608704365190389e-05
0.2,6,0.09731150345684521,0.41870721543023093,0.00308188384999149,0.008412237147974573,0.0377883348505252,3.624597548770401e-05
0.2,7,0.097600683656671,0.3822054087223379,0.003379789606928791,0.009601854161658523,0.040013278117147305,4.766144901419523e-05
0.2,8,0.09744560590235257,0.3483044596643375,0.003652343659477732,0.010782305805038691,0.04187112435861286,6.017405247980651e-05
0.2,9,0.09697462389334359,0.3162790175380529,0.0039013055982486415,0.011951411031198742,0.04335901332164803,7.360881344486403e-05
0.2,10,0.09623848901274877,0.28529734851531596,0.0041282752594637515,0.013107376970220965,0.04445123745642403,8.776823367361218e-05
0.2,11,0.09519286290194995,0.2544372759834482,0.004334744489910315,0.014247896830355876,0.04510337431196366,0.00010242699136514515
