time,stage,v,omega,sigma_f,sigma_l,sigma_psi,P_lpsi
0.0,0,0.1234012272097012,4.9460081569229484e-08,0.0002000004422708093,0.00024999988397376993,0.00024999988397376993,-4.2875174993839e-27
0.0,1,0.12264225216984143,3.6532620724244244e-08,0.00020000089348026366,0.0002500002449423646,0.0002500002449423646,7.712576700606326e-10
0.0,2,0.12180372292104419,2.6736937512970504e-08,0.00020000089348026366,0.0002500002449423646,0.0002500002449423646,1.5377717461221416e-09
0.0,3,0.12085914214844057,1.9673753727466596e-08,0.00020000089348026366,0.0002500002449423646,0.0002500002449423646,2.299045014378668e-09
0.0,4,0.11980105249191546,1.4569858329969273e-08,0.00020000089348026366,0.0002500002449423646,0.0002500002449423646,3.0544146528064214e-09
0.0,5,0.11863597037171593,1.0820080734247505e-08,0.00020000089348026366,0.0002500002449423646,0.0002500002449423646,3.803171230880893e-09
0.0,6,0.11738205923893806,8.005598932300098e-09,0.00020000089348026366,0.0002500002449423646,0.0002500002449423646,4.544646045704118e-09
0.0,7,0.11606860053259609,5.846009411119926e-09,0.00020000089348026366,0.0002500002449423646,0.0002500002449423646,5.278283915947481e-09
0.0,8,0.1147366809099633,4.155142787022104e-09,0.00020000089348026366,0.0002500002449423646,0.0002500002449423646,6.0037126692762065e-09
0.0,9,0.11344064287472028,2.809319340238763e-09,0.00020000089348026366,0.0002500002449423646,0.0002500002449423646,6.720816924963477e-09
0.0,10,0.11224974911198457,1.726190962523189e-09,0.00020000089348026366,0.0002500002449423646,0.0002500002449423646,7.429820942930479e-09
0.0,11,0.1112491305361745,8.511355551783738e-10,0.00020000089348026366,0.0002500002449423646,0.0002500002449423646,8.131381874880382e-09
0.0,12,0.11053831193712224,1.4874511605866605e-10,0.00020000089348026366,0.0002500002449423646,0.0002500002449423646,8.826688940731472e-09
0.0,13,0.11022431502816203,-4.023101827722851e-10,0.00020000089348026366,0.0002500002449423646,0.0002500002449423646,9.517553390338485e-09
0.0,14,0.11040453940944449,-8.122562782429611e-10,0.00020000089348026366,0.0002500002449423646,0.0002500002449423646,1.0206455359264498e-08
0.0,15,0.11113281033720676,-1.0819796979543405e-09,0.00020000089348026366,0.0002500002449423646,0.0002500002449423646,1.0896483730573526e-08
0.0,16,0.11236171805326063,-1.2045376371916828e-09,0.00020000089348026366,0.0002500002449423646,0.0002500002449423646,1.1591063795181069e-08
0.0,17,0.11385875551640431,-1.167545210673285e-09,0.00020000089348026366,0.0002500002449423646,0.0002500002449423646,1.2293324533013947e-08
0.0,18,0.11510645276337514,-9.575515325328302e-10,0.00020000089348026366,0.0002500002449423646,0.0002500002449423646,1.3004941754991474e-08
0.0,19,0.11521745385599488,-5.666673566880531e-10,0.00020000089348026366,0.0002500002449423646,0.0002500002449423646,1.372435708476257e-08
0.0,20,,,0.00020000089348026366,0.0002500002449423646,0.0002500002449423646,1.4444466171362537e-08
0.1,0,0.11435428524337089,0.08797572723485322,0.00020000189042788515,0.0002499977969415569,0.00024999776546673287,-1.0950658307316691e-13
0.1,1,0.1136891877264501,0.10700828246210237,0.00020000473040333153,0.0002500325483986487,0.00025000003748328867,7.145909890422406e-10
0.1,2,0.11364530701658088,0.12679354079849145,0.00020000473041555117,0.0002500969373036338,0.00025000003748328867,1.4251346003348767e-09
0.1,3,0.11377462227102168,0.1470585648651281,0.0002000047304261494,0.00025019341871591595,0.00025000003748328867,2.135404060608646e-09
0.1,4,0.11385342972396326,0.16742534965213984,0.00020000473043519556,0.0002503222395790188,0.00025000003748328867,2.846481859909195e-09
0.1,5,0.11376567750216593,0.1874751764721465,0.00020000473044282378,0.0002504834352716389,0.00025000003748328867,3.558052337930647e-09
0.1,6,0.11344646302189207,0.2067852455351329,0.000200004730449168,0.0002506767196083612,0.00025000003748328867,4.269074507930214e-09
0.1,7,0.11285645814232967,0.22495235695055782,0.00020000473045434614,0.00025090143698592514,0.00025000003748328867,4.978101738970097e-09
0.1,8,0.11197264123324212,0.24160965272947527,0.00020000473045846015,0.000251156540723465,0.00025000003748328867,5.6834415951206465e-09
0.1,9,0.11078817091245488,0.25644189392928685,0.00020000473046160114,0.00025144059216601644,0.00025000003748328867,6.383257749887638e-09
0.1,10,0.1093179132098331,0.2691978796971572,0.00020000473046385544,0.00025175178975771916,0.00025000003748328867,7.075671111317452e-09
0.1,11,0.10760755760514129,0.27969740721808317,0.00020000473046530962,0.00025208804510484464,0.00025000003748328867,7.758895491738466e-09
0.1,12,0.10574395080090226,0.2878347071384388,0.00020000473046605471,0.00025244712661195653,0.00025000003748328867,8.431430252733194e-09
0.1,13,0.10386218160537508,0.29356268771240007,0.00020000473046618872,0.00025282688840818707,0.00025000003748328867,9.092317536500124e-09
0.1,14,0.10214101206255458,0.2968869831200123,0.00020000473046581898,0.0002532255858474322,0.00025000003748328867,9.741443778675979e-09
0.1,15,0.10077379413111454,0.297819002743964,0.000200004730465064,0.0002536422368897481,0.00025000003748328867,1.0379812667786818e-08
0.1,16,0.09990198153726354,0.3259339134251197,0.00020000473046405496,0.00025407691019298955,0.00025000003748328867,1.1009636337795527e-08
0.1,17,0.0995184834727764,0.23642622695797022,0.00020000473046282544,0.0002545307161536221,0.00025000003748328867,1.1634011016063742e-08
0.1,18,0.09934430006056179,0.14339718120634234,0.00020000473046196082,0.0002550052487769168,0.00025000003748328867,1.2255988641139506e-08
0.1,19,0.09874047618620993,0.04802351974983623,0.00020000473046153066,0.0002555011822952778,0.00025000003748328867,1.2876877463074549e-08
0.1,20,,,0.0002000047304614454,0.00025601602021908484,0.00025000003748328867,1.3493992364638617e-08
0.2,0,0.11881128008759441,0.18005398352137392,0.0002000000000006165,0.0002499999999997996,0.0002499999999996026,3.360580166457553e-20
0.2,1,0.11648781454795903,0.17800197596611492,0.00020003741009725598,0.00025005438948990944,0.0002500000000001095,7.425705005787985e-10
0.2,2,0.11560791694317117,0.17686852266263745,0.00020007905665987968,0.00025014414931675156,0.0002500000000001095,1.4706193467463707e-09
0.2,3,0.11540002918689493,0.17742950718934694,0.00020012405930421384,0.00025026845527230645,0.0002500000000001095,2.1931688313171864e-09
0.2,4,0.11546294961372382,0.1797213894483557,0.00020017189494001483,0.0002504271941005627,0.0002500000000001095,2.914419016779299e-09
0.2,5,0.11557455963329274,0.1836914159400359,0.00020022228142002239,0.0002506204351595099,0.0002500000000001095,3.636062454879315e-09
0.2,6,0.1156050970008501,0.18922524889820855,0.0002002752272889417,0.00025084824180459254,0.0002500000000001095,4.358403455975277e-09
0.2,7,0.115474627279711,0.19616331963633263,0.00020033105801635828,0.00025111057791470966,0.0002500000000001095,5.080935316273971e-09
0.2,8,0.11513486352183439,0.20431400687425758,0.00020039040779649584,0.0002514072453251344,0.0002500000000001095,5.802651741676802e-09
0.2,9,0.11456584189648696,0.213469247175282,0.00020045417618613843,0.00025173783784415677,0.0002500000000001095,6.522244644612567e-09
0.2,10,0.11378335026740358,0.223426416718245,0.0002005234574405507,0.0002521017271496862,0.0002500000000001095,7.2382811635433855e-09
0.2,11,0.11285525451862935,0.23401788810387214,0.0002005994582622131,0.00025249811830721443,0.0002500000000001095,7.949427111081449e-09
0.2,12,0.11192400279112058,0.24514535343891913,0.00020068342510803602,0.00025292623027647275,0.0002500000000001095,8.654772461655794e-09
0.2,13,0.11122676405267769,0.2568090438414271,0.00020077660035127212,0.0002533856609852374,0.0002500000000001095,9.35429749068063e-09
0.2,14,0.11109045500005281,0.2691137038963128,0.00020088021620753136,0.0002538769647334692,0.0002500000000001095,1.0049464779810242e-08
0.2,15,0.11185625852415063,0.2822316898151586,0.0002009955063182004,0.0002544023483496057,0.0002500000000001095,1.0743780140331271e-08
0.2,16,0.11365480146677263,0.29638525148308503,0.00020112369204855024,0.0002549661251339674,0.0002500000000001095,1.1442881776875571e-08
0.2,17,0.11810094852052119,0.4502950003310136,0.0002012647551099354,0.0002555735544799198,0.0002500000000001095,1.2153224311815962e-08
0.2,18,0.12399078710679198,0.2985251375320519,0.00020151864533637205,0.00025628718169698266,0.0002500000000001095,1.2891355274893841e-08
0.2,19,0.12686260621199516,0.09911358453256613,0.00020162414655835111,0.00025699082062798296,0.0002500000000001095,1.3666297740500889e-08
0.2,20,,,0.00020163589379503167,0.00025769869987540015,0.0002500000000001095,1.4459189082029397e-08
0.30000000000000004,0,0.1186257590537269,-0.08022999650977974,0.00019999999999939803,0.0002500000000000253,0.00025000000000074913,1.7499868865053206e-19
0.30000000000000004,1,0.11867415637438349,-0.030619249013886768,0.00019990414232428684,0.0002499860995663621,0.0002500000000015156,7.41410994265242e-10
0.30000000000000004,2,0.11834690642550053,0.019836368801859544,0.00019983746881854797,0.000250022353531631,0.0002500000000015156,1.4831244716095144e-09
0.30000000000000004,3,0.1181437268659915,0.07255469193443577,0.00019979940149799372,0.0002501080190678825,0.0002500000000015156,2.222792636773238e-09
0.30000000000000004,4,0.11794041857966642,0.127465442350043,0.00019979033913579107,0.00025024312774556704,0.0002500000000015156,2.9611909296900227e-09
0.30000000000000004,5,0.11766111479684983,0.1843824044715858,0.00019981149205057567,0.00025042802269940726,0.0002500000000015156,3.6983185458172765e-09
0.30000000000000004,6,0.11724846405664402,0.24305490782235414,0.0001998648861291696,0.0002506632700224745,0.0002500000000015156,4.433700513301928e-09
0.30000000000000004,7,0.11665283383926357,0.30319706706195143,0.00019995331401717855,0.0002509495620169878,0.0002500000000015156,5.166503413660291e-09
0.30000000000000004,8,0.11583308671993861,0.3645089542267166,0.00020008024037934796,0.00025128760477280697,0.0002500000000015156,5.89558362516002e-09
0.30000000000000004,9,0.1147664007106615,0.42669987873688986,0.00020024967112022298,0.000251678007277329,0.0002500000000015156,6.6195404171639545e-09
0.30000000000000004,10,0.11346668235691058,0.4895210413401857,0.00020046600568315872,0.00025212121275687875,0.0002500000000015156,7.336830421609882e-09
