timestep,x,y,theta,sdf_value,risk_margin_stage0,risk_margin_5,risk_margin_max,path_s,predicted_s,solver_status,planner_projected_s_raw,planner_projected_s,planner_slice_start_s,planner_slice_lookback,slice_start_s,slice_end_s,slice_start_idx,slice_end_idx,slice_n_segments
0,0.075,0.7949999999999999,-1.5707963267948966,0.029999956488609314,,,,0.012781250000000003,0.02231023881579847,0,0.011250000000000093,0.04125000000000009,0.011250000000000093,0.03,0.0,2.891614275999009,0,15,16
1,0.075,0.7826598772790299,-1.5707963218488885,0.0299999937415123,,,,0.023590122720970164,0.03213165989377294,0,0.023590122720970164,0.05359012272097016,0.023590122720970164,0.03,0.0,2.891614275999009,0,15,16
2,0.07500000005655973,0.7712244487546928,-1.5619987491254033,0.029341932386159897,,,,0.03502555124530726,0.04297244928913878,0,0.03502555124530726,0.06502555124530726,0.03502555124530726,0.03,0.0,2.891614275999009,0,15,16
3,0.07510452385469457,0.759343780527015,-1.543993350773266,0.027901656925678253,,,,0.04072293369668541,0.05027223332741576,0,0.04690621947298502,0.07690621947298501,0.04690621947298501,0.03,0.0,2.891614275999009,0,15,16
4,0.07542243812414051,0.7474854654009944,-1.552016350424244,0.028177089989185333,,,,0.05502722333274157,0.06340934537594863,0,0.05876453459900566,0.08876453459900566,0.05876453459900566,0.03,0.0,2.891614275999009,0,15,16
5,0.07565923493743645,0.7348779429237554,-1.5469190168133626,0.02756296470761299,,,,0.05634093453759487,0.06804848759776293,0,0.07137205707624461,0.10137205707624461,0.07137205707624461,0.03,0.0,2.891614275999009,0,15,16
6,0.07594617791688922,0.722862835426693,-1.553309420838532,0.027749251574277878,,,,0.07100606094972037,0.08164163719640924,0,0.08338716457330697,0.11338716457330697,0.08338716457330697,0.03,0.0,2.891614275999009,0,15,16
7,0.07616779839913221,0.7101906170010444,-1.5474480509304418,0.02709350734949112,,,,0.0872462455794614,0.09689621579464536,0,0.09605938299895567,0.12605938299895567,0.09605938299895567,0.03,0.0,2.891614275999009,0,15,16
8,0.0764881000213751,0.6964746827410946,-1.5391839937989817,0.02616385743021965,,,,0.08953443236919681,0.10269706307464095,0,0.10977531725890545,0.13977531725890546,0.10977531725890546,0.03,0.0,2.891614275999009,0,15,16
9,0.07688988878317213,0.6837690430848437,-1.5200380138324294,0.0243628341704607,,,,0.10547198603806218,0.11787258627128701,0,0.12248095691515637,0.15248095691515637,0.12248095691515637,0.03,0.0,2.891614275999009,0,15,16
