time,stage,v,omega,sigma_f,sigma_l,sigma_psi,P_lpsi
0.0,0,0.09056452023329374,-3.0158351909480822e-09,0.00020000000650077256,0.0002500000141664129,0.0002500000141664129,-1.927515533483155e-27
0.0,1,0.0934221966301299,-2.8594331752859726e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,5.66028251458086e-10
0.0,2,0.09550663632129905,-2.7128253417238286e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,1.1499169803963979e-09
0.0,3,0.09714885936307271,-2.5713561242000685e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,1.7468334574045169e-09
0.0,4,0.09855570663052475,-2.43200333754381e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,2.3540138284237214e-09
0.0,5,0.09986073024574321,-2.2928357886532294e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,2.969986994864501e-09
0.0,6,0.10115405021997516,-2.1526545029632358e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,3.594116558900396e-09
0.0,7,0.10249949141204866,-2.0107529269854237e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,4.22632937277524e-09
0.0,8,0.10394390061892787,-1.866755361221155e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,4.8669511941005446e-09
0.0,9,0.10552149165705892,-1.7205074675887404e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,5.516600572968844e-09
0.0,10,0.1072548246523952,-1.5720018032223777e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,6.176109895825462e-09
0.0,11,0.10915325678185542,-1.4213271226627238e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,6.846452549902932e-09
0.0,12,0.11120919314836127,-1.2686339286220477e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,7.52866040478953e-09
0.0,13,0.11339207740603426,-1.114111197951095e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,8.223717861966787e-09
0.0,14,0.11563969162280807,-9.579708295381945e-10,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,8.9324183457545e-09
0.0,15,0.11785960037502367,-8.004374447887044e-10,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,9.655166418397052e-09
0.0,16,0.11992785760384284,-6.417419032087549e-10,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,1.039178892074095e-08
0.0,17,0.1216234073324869,-4.82117392701486e-10,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,1.1141338030764967e-08
0.0,18,0.1225774684743416,-3.217972933560963e-10,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,1.190148432659301e-08
0.0,19,0.12222422451979012,-1.6101424445762122e-10,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,1.2667593504557647e-08
0.0,20,,,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,1.3431494907806334e-08
0.1,0,0.06916779393683581,1.1075306882587204,0.0002000000427080594,0.0002499999473448367,0.0002499999528019273,-4.950260020916323e-15
0.1,1,0.07068699438263955,0.9973067943143964,0.0002000001097274241,0.00025001081645184304,0.00025000000642578265,4.3229354812168237e-10
0.1,2,0.07167955737042339,0.8869530431285435,0.00020000010971851103,0.00025003302071268546,0.00025000000642578265,8.740870100527166e-10
0.1,3,0.07228296007193913,0.7773668017165963,0.00020000010971098992,0.00025006687228668794,0.00025000000642578265,1.3220839841778157e-09
0.1,4,0.07257827949344446,0.6689996142912583,0.00020000010970474123,0.00025011237319006536,0.00025000000642578265,1.7738522198272204e-09
0.1,5,0.07262339353613301,0.562010341854991,0.0002000001096996545,0.0002501692918756995,0.00025000000642578265,2.2274661969524164e-09
0.1,6,0.07246970701082814,0.4563563238258222,0.0002000001096956254,0.00025023718412600697,0.00025000000642578265,2.6813621319640263e-09
0.1,7,0.07217043575392101,0.35184863039610664,0.00020000010969255342,0.000250315424612666,0.00025000000642578265,3.1342975210723122e-09
0.1,8,0.07178437411840125,0.24818592770002812,0.00020000010969034083,0.0002504032534863627,0.00025000000642578265,3.5853624592991984e-09
0.1,9,0.07137683239014604,0.1449757801817197,0.00020000010968889171,0.0002504998390086365,0.00025000000642578265,4.034014506279313e-09
