time,stage,v,omega,sigma_f,sigma_l,sigma_psi,P_lpsi
0.0,0,0.09056452023329374,-3.0158351909480822e-09,0.00020000000650077256,0.0002500000141664129,0.0002500000141664129,-1.927515533483155e-27
0.0,1,0.0934221966301299,-2.8594331752859726e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,5.66028251458086e-10
0.0,2,0.09550663632129905,-2.7128253417238286e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,1.1499169803963979e-09
0.0,3,0.09714885936307271,-2.5713561242000685e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,1.7468334574045169e-09
0.0,4,0.09855570663052475,-2.43200333754381e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,2.3540138284237214e-09
0.0,5,0.09986073024574321,-2.2928357886532294e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,2.969986994864501e-09
0.0,6,0.10115405021997516,-2.1526545029632358e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,3.594116558900396e-09
0.0,7,0.10249949141204866,-2.0107529269854237e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,4.22632937277524e-09
0.0,8,0.10394390061892787,-1.866755361221155e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,4.8669511941005446e-09
0.0,9,0.10552149165705892,-1.7205074675887404e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,5.516600572968844e-09
0.0,10,0.1072548246523952,-1.5720018032223777e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,6.176109895825462e-09
0.0,11,0.10915325678185542,-1.4213271226627238e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,6.846452549902932e-09
0.0,12,0.11120919314836127,-1.2686339286220477e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,7.52866040478953e-09
0.0,13,0.11339207740603426,-1.114111197951095e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,8.223717861966787e-09
0.0,14,0.11563969162280807,-9.579708295381945e-10,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,8.9324183457545e-09
0.0,15,0.11785960037502367,-8.004374447887044e-10,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,9.655166418397052e-09
0.0,16,0.11992785760384284,-6.417419032087549e-10,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,1.039178892074095e-08
0.0,17,0.1216234073324869,-4.82117392701486e-10,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,1.1141338030764967e-08
0.0,18,0.1225774684743416,-3.217972933560963e-10,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,1.190148432659301e-08
0.0,19,0.12222422451979012,-1.6101424445762122e-10,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,1.2667593504557647e-08
0.0,20,,,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,1.3431494907806334e-08
0.1,0,0.06916779319562985,1.1075327997453883,0.00019999999999878616,0.0002500000000000732,0.00024999999999996406,-1.0004860413836902e-19
0.1,1,0.07068699358118202,0.997306593343879,0.0005473406810970094,0.0010816611053370622,0.001871564102132807,9.033019766277552e-09
0.1,2,0.07167955659958619,0.8869527142913998,0.0007539015302661282,0.0015859956527725164,0.0026876171953867747,5.0753573868102526e-08
0.1,3,0.07228295939523291,0.7773664452728399,0.0009179222535864103,0.0020471133394530886,0.0033555862530398987,1.292699990317098e-07
0.1,4,0.07257827895405253,0.668999269736279,0.0010578147559031348,0.002497196049876716,0.003951229062104483,2.485581993590573e-07
0.1,5,0.0726233931651631,0.5620100326519331,0.001180905943484091,0.0029424507383686137,0.004500568159016693,4.1238839661118304e-07
0.1,6,0.07246970683270222,0.456356057121749,0.0012909205744315712,0.003382345109802882,0.005014681483996336,6.242543443456117e-07
0.1,7,0.07217043578964097,0.3518484036620014,0.001390043143427884,0.003814345546304302,0.005498639785735455,8.87322669956027e-07
0.1,8,0.07178437438666979,0.24818573968396554,0.0014797104959277771,0.004235467157777551,0.005954797766855398,1.2044078851675041e-06
0.1,9,0.07137683290688154,0.14497563105949943,0.0015609832889659035,0.004642924735988224,0.006384316450687794,1.5779773580588798e-06
