timestep,x,y,theta,sdf_value,risk_margin_stage0,risk_margin_5,risk_margin_max,path_s,predicted_s,solver_status,planner_projected_s_raw,planner_projected_s,planner_slice_start_s,planner_slice_lookback,slice_start_s,slice_end_s,slice_start_idx,slice_end_idx,slice_n_segments
0,0.3,0.2,0.0,0.10499998927116394,,,,0.015811388300841868,0.025739407612337714,0,0.015811388300841864,0.04581138830084186,0.01581138830084186,0.03,0.0,0.987913663321624,0,4,5
1,0.3090564520233294,0.2,-3.0158351909480827e-10,0.10499998927116394,,,,0.026286970380616885,0.033797328428786,0,0.024403093074970236,0.05440309307497024,0.02440309307497024,0.03,0.0,0.987913663321624,0,4,5
2,0.31597323134289235,0.199999999997914,0.11075327967295531,0.09698618203401566,,,,0.03096492609108118,0.03935284537865292,0,0.030964926091081174,0.06096492609108117,0.030964926091081174,0.03,0.0,0.987913663321624,0,4,5
3,0.32300800996974766,0.20078232616774033,0.19214688618896614,0.09072332084178925,,,,0.040451463403398974,0.04996350728379113,0,0.03788609633684222,0.06788609633684223,0.03788609633684223,0.03,0.0,0.987913663321624,0,4,5
4,0.33313344998993577,0.20275220068871758,0.24769627287934792,0.08523336797952652,,,,0.04811486118850908,0.05753963397887581,0,0.048114861188509064,0.07811486118850906,0.048114861188509064,0.03,0.0,0.987913663321624,0,4,5
5,0.34169559428687823,0.2049174764843558,0.3417551532325441,0.07754937559366226,,,,0.056922344806181864,0.06713783719269101,0,0.05692234480618185,0.08692234480618186,0.05692234480618186,0.03,0.0,0.987913663321624,0,4,5
6,0.35156980868291404,0.20842986174528044,0.38636818497042774,0.07162535190582275,,,,0.06740056082952366,0.07877497314240595,0,0.06740056082952363,0.09740056082952363,0.06740056082952363,0.03,0.0,0.987913663321624,0,4,5
7,0.3629547517510325,0.21306143596930754,0.4384435440367767,0.06435514241456985,,,,0.07966589853750884,0.09250335242221663,0,0.07966589853750881,0.10966589853750881,0.07966589853750881,0.03,0.0,0.987913663321624,0,4,5
8,0.37728555583222406,0.2197808705234865,0.5257782675758347,0.05365562066435814,,,,0.0953861647949338,0.10542369655948516,0,0.09538616479493377,0.12538616479493375,0.09538616479493375,0.03,0.0,0.987913663321624,0,4,5
9,0.3873557310951727,0.22562418966033437,0.5700005529647916,0.046033866703510284,,,,0.10594914689790991,0.11739187603177044,0,0.10678739163210342,0.1367873916321034,0.1067873916321034,0.03,0.0,0.987913663321624,0,4,5
10,0.3990628354137372,0.23312808449338088,0.5979995833591992,0.03895866870880127,,,,0.12026666586714024,0.12982845833866596,0,0.1202666658671402,0.15026666586714021,0.12026666586714022,0.03,0.0,0.987913663321624,0,4,5
11,0.4092158864390326,0.2400443846823224,0.6562128220698216,0.032811488956213,,,,0.1259656916677332,0.1373745002204837,0,0.13208582195694343,0.16208582195694343,0.13208582195694343,0.03,0.0,0.987913663321624,0,4,5
12,0.41869966893286575,0.2473474124167696,0.6772358646552733,0.031049907207489014,,,,0.14339234815681007,0.1523794981822215,0,0.14339234815681,0.17339234815681,0.14339234815681,0.03,0.0,0.987913663321624,0,4,5
13,0.4280753370273568,0.2548863858599244,0.7706447900316645,0.025382637977600098,,,,0.14678538709099984,0.15876888998696423,0,0.15467092061610785,0.18467092061610785,0.15467092061610785,0.03,0.0,0.987913663321624,0,4,5
14,0.4368296318522006,0.26338610727059664,0.811692733467303,0.023195698857307434,,,,0.1582664336051161,0.16996020851314106,0,0.1582664336051161,0.1882664336051161,0.1582664336051161,0.03,0.158113883008419,0.987913663321624,1,4,4
15,0.4453777650328359,0.27239602837215376,0.8717308171979713,0.020536385476589203,,,,0.17091004114603706,0.1808084124284365,0,0.17068185285249587,0.20068185285249587,0.17068185285249587,0.03,0.158113883008419,0.987913663321624,1,4,4
