timestep,x,y,theta,sdf_value,risk_margin_stage0,risk_margin_5,risk_margin_max,path_s,predicted_s,solver_status,planner_projected_s_raw,planner_projected_s,planner_slice_start_s,planner_slice_lookback,slice_start_s,slice_end_s,slice_start_idx,slice_end_idx,slice_n_segments
0,0.075,0.7949999999999999,-1.5707963267948966,0.029999956488609314,,,,0.012781250000000003,0.02231023881579847,0,0.011250000000000093,0.04125000000000009,0.011250000000000093,0.03,0.0,2.891614275999009,0,15,16
1,0.075,0.7826598772790299,-1.5707963218488885,0.0299999937415123,,,,0.023590122720970164,0.03213165578597607,0,0.023590122720970164,0.05359012272097016,0.023590122720970164,0.03,0.0,2.891614275999009,0,15,16
2,0.07500000005655971,0.7712244505037609,-1.5619986462426658,0.0293419249355793,,,,0.03502554949623915,0.04347221301193112,0,0.03502554949623915,0.06502554949623915,0.03502554949623915,0.03,0.0,2.891614275999009,0,15,16
3,0.07511241598115746,0.7584468753673186,-1.5555496426233457,0.028749357908964157,,,,0.04076041597589483,0.05215052785612283,0,0.04780312463268144,0.07780312463268144,0.04780312463268144,0.03,0.0,2.891614275999009,0,15,16
4,0.07533315685744803,0.7439700377175154,-1.5805375029990743,0.028938407078385353,,,,0.055215052785612284,0.0634719041532156,0,0.062279962282484676,0.09227996228248467,0.06227996228248467,0.03,0.0,2.891614275999009,0,15,16
5,0.07522492719436218,0.7328598557976975,-1.591069939542444,0.02826390042901039,,,,0.05634719041532156,0.07003236590425474,0,0.0733901442023025,0.1033901442023025,0.0733901442023025,0.03,0.0,2.891614275999009,0,15,16
6,0.07492730816924595,0.7181817492374138,-1.5789763179300018,0.02931532822549343,,,,0.07125404573803185,0.08392059267184462,0,0.08806825076258618,0.11806825076258617,0.08806825076258618,0.03,0.0,2.891614275999009,0,15,16
7,0.07480508015006153,0.7032397656864059,-1.489268616432827,0.023846745491027832,,,,0.08758808890077668,0.0957591723080226,0,0.10301023431359413,0.13301023431359413,0.10301023431359413,0.03,0.0,2.891614275999009,0,15,16
8,0.07568256202398399,0.6925006333269275,-1.4368570418087383,0.01970503479242325,,,,0.0893638758462034,0.09950736600694884,0,0.11374936667307256,0.14374936667307256,0.11374936667307256,0.03,0.0,2.891614275999009,0,15,16
9,0.07676355065921313,0.6844782172334837,-1.4049137028110457,0.01646995358169079,,,,0.10491378905121605,0.11516891127439371,0,0.12177178276651636,0.15177178276651637,0.12177178276651637,0.03,0.0,2.891614275999009,0,15,16
