time,stage,v,omega,sigma_f,sigma_l,sigma_psi,P_lpsi
0.0,0,0.09056452023329371,-3.0158351909480822e-09,0.00020000000650077256,0.0002500000141664129,0.0002500000141664129,-1.9534609781213748e-27
0.0,1,0.09342219663012988,-2.8594331752868196e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,5.660282514580858e-10
0.0,2,0.09550663632129902,-2.7128253417238286e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,1.1499169803963977e-09
0.0,3,0.09714885936307269,-2.5713561242009155e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,1.7468334574045165e-09
0.0,4,0.09855570663052474,-2.43200333754381e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,2.3540138284237206e-09
0.0,5,0.09986073024574321,-2.2928357886540764e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,2.9699869948645e-09
0.0,6,0.10115405021997517,-2.152654502965777e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,3.5941165589003953e-09
0.0,7,0.10249949141204866,-2.010752926987118e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,4.22632937277524e-09
0.0,8,0.10394390061892787,-1.866755361223696e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,4.8669511941005446e-09
0.0,9,0.10552149165705892,-1.7205074675904344e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,5.516600572968844e-09
0.0,10,0.10725482465239523,-1.5720018032249188e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,6.176109895825463e-09
0.0,11,0.10915325678185542,-1.4213271226656885e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,6.846452549902933e-09
0.0,12,0.11120919314836125,-1.2686339286233183e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,7.52866040478953e-09
0.0,13,0.11339207740603423,-1.1141111979532127e-09,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,8.223717861966787e-09
0.0,14,0.11563969162280807,-9.579708295390415e-10,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,8.9324183457545e-09
0.0,15,0.1178596003750236,-8.00437444789975e-10,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,9.655166418397052e-09
0.0,16,0.11992785760384281,-6.417419032100254e-10,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,1.0391788920740949e-08
0.0,17,0.12162340733248689,-4.82117392701486e-10,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,1.1141338030764965e-08
0.0,18,0.1225774684743416,-3.2179729335683747e-10,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,1.1901484326593009e-08
0.0,19,0.12222422451979016,-1.610142444577271e-10,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,1.2667593504557645e-08
0.0,20,,,0.00020000002452270498,0.00025000002858395547,0.00025000002858395547,1.3431494907806332e-08
0.1,0,0.06916786896187045,1.107491886076323,0.00020000007804912102,0.00024999995853927296,0.00025000002264569983,5.896374921768154e-16
0.1,1,0.07068702378243791,0.9973141868983042,0.0009514597003962586,0.0019375590175297174,0.0033955918085091406,2.9101617145719583e-08
0.1,2,0.07167957459998078,0.8869596751198083,0.0013420987335459283,0.0028703227885891226,0.0048920179224638555,1.6713972848690944e-07
0.1,3,0.0722829717394316,0.7773727637932342,0.0016478093091211712,0.0037179322670147685,0.006114525807631238,4.278163882549464e-07
0.1,4,0.07257828751073911,0.6690049448356665,0.0019069815537069974,0.0045432023699400696,0.007203814272392649,8.243902549893092e-07
0.1,5,0.07262339847331974,0.5620150678778114,0.0021342762118976436,0.005358549411271927,0.008208001457742418,1.3694332082015533e-06
0.1,6,0.07246970894010303,0.45636045646216283,0.0023370049424754034,0.006163449931885199,0.009147550520100172,2.074594724162289e-06
0.1,7,0.07217043453518933,0.35185217353134357,0.0025194057943806864,0.006953507731714591,0.01003183495219707,2.9504331064353798e-06
0.1,8,0.0717843695279777,0.24818888713841097,0.00268424096208859,0.0077234060006956705,0.01086521826595042,4.006332158706314e-06
0.1,9,0.07137682419848455,0.1449781632975834,0.0028335316472761153,0.008468142934188294,0.011649859682799609,5.25051767502762e-06
0.1,10,0.0710182792706415,0.04175100462398661,0.0029689493325731476,0.009183753167284873,0.012387288046428595,6.690189176733544e-06
0.1,11,0.07078070305225714,-0.06202571846606958,0.0030920481712339324,0.009867875130677486,0.013079446210443713,8.331779479856365e-06
0.1,12,0.07073108209770619,-0.1669340989020248,0.0032044114751756036,0.010520239662323402,0.013729451303218022,1.0181342186557707e-05
0.1,13,0.07092131065602625,-0.2735810262608634,0.0033077385934253867,0.01114302379792715,0.014342112528572426,1.2245036340821559e-05
0.1,14,0.07137298571558601,-0.3825560125276124,0.0034038724796860635,0.011740921648190935,0.014924121066744697,1.4529613021127107e-05
0.1,15,0.07205465105945019,-0.4943642649282209,0.003494747519605884,0.012320695549163534,0.01548371628383832,1.7042685554757884e-05
0.1,16,0.07284761790077748,-0.6093236499579494,0.003582180355249669,0.012889658714406458,0.01602929871233683,1.9792551136810695e-05
0.1,17,0.0734937600963908,-0.7273719005200555,0.003667432533866123,0.013452615322168907,0.01656651017685611,2.278681451805952e-05
0.1,18,0.07351375623469243,-0.8477289207157885,0.00375060466547881,0.014007698153412877,0.01709418307051888,2.602751238666106e-05
0.1,19,0.09640152865638031,-0.4820069436025815,0.0038296788711728847,0.014539910343643495,0.01759797198983792,2.950122099126727e-05
0.1,20,,,0.004048670013410575,0.015951591881417353,0.018985485229223182,3.34829151078398e-05
0.2,0,0.07788809110191029,0.709148854233967,0.0002000000000009219,0.00025000000001834454,0.0002500000000005047,-3.2268215376126075e-18
0.2,1,0.0785744323348553,0.6548827825208761,0.0011197856603398283,0.0024654813475899276,0.017088497342776468,1.4437810238691387e-06
0.2,2,0.0862764369696799,0.600146670259902,0.0015895907742658603,0.0036424900495552383,0.02364368129346352,4.780267141000183e-06
0.2,3,0.09132781157654501,0.5489942619685109,0.0020141514396183483,0.004826458734562049,0.02834565202393954,1.0169174788653181e-05
0.2,4,0.09451187415525938,0.5017535831928244,0.002401736102400279,0.00601954467810327,0.03207335667000035,1.7338604407179496e-05
0.2,5,0.09637575650525382,0.4584130468388667,0.0027566620649783565,0.0072166695813753205,0.03516689612048249,2.6085892282893102e-05
0.2,6,0.09731040327872531,0.41871704877964533,0.0030819029197118055,0.008412261572160951,0.037787688852553444,3.6244440036711876e-05
0.2,7,0.09759932099451511,0.3822206773523399,0.003379802929169747,0.009601854716175596,0.04001275011313704,4.765956407026181e-05
0.2,8,0.09744405435197859,0.348325520684858,0.003652351369597923,0.010782281033921244,0.04187071290527836,6.0171868826178865e-05
0.2,9,0.09697294644062412,0.31630619973734664,0.0039013079369823174,0.011951360317620957,0.04335870145052453,7.360638520376763e-05
0.2,10,0.09623673632537061,0.2853309627798158,0.004128272389958793,0.013107300345264713,0.044450992055568836,8.776560495497203e-05
0.2,11,0.0951910694115281,0.2544776271448197,0.004334736310460779,0.014247794767783714,0.04510314431835937,0.00010242418240305057
0.2,12,0.10676975326032012,0.3202428571354967,0.00452211944806395,0.015368687784126369,0.045252792798350594,0.00011732249002568207
0.2,13,0.10577507243430054,0.27385651202250155,0.004727059132106754,0.01668591912400623,0.04463280977548492,0.00013237581706291858
0.2,14,0.10474565532180657,0.22466329581672473,0.004915348297261114,0.017968458133994947,0.043194765962573586,0.00014692434994911856
0.2,15,0.10335775421305282,0.17144114197652943,0.005093604859028344,0.01921701296182895,0.040814593543012354,0.0001605132404094844
0.2,16,0.10118846199277198,0.11299604388169548,0.005269379184361534,0.020424520380086957,0.037283017011695715,0.00017262548496226897
0.2,17,0.09764948083718401,0.04854976884079243,0.005451162227964432,0.02157500613155813,0.032215595948383635,0.0001826616151365801
0.2,18,0.12299899569328529,0.024618124625411353,0.005647742469770052,0.022643080422777254,0.024721457535226414,0.00018993398197501114
0.2,19,0.11062008138729076,-0.03591264724193394,0.005937338423150374,0.024120786761332617,0.008973952960430012,0.00019542682068187002
0.2,20,,,0.006170166796677461,0.025556879676699173,3.162340582000121e-05,0.0001964300855311676
0.30000000000000004,0,0.1003322289111323,0.5454573461111312,0.00019999999964422213,0.00025000000000635506,0.00025000000000133395,1.0662474410978475e-18
0.30000000000000004,1,0.09858330814544715,0.5304995770078631,0.0014053098283832066,0.0035413343805721286,0.015666060378428156,1.4281377342463415e-06
0.30000000000000004,2,0.09979875205464425,0.512199213669982,0.001975846982894649,0.00509728124908797,0.022072541748235405,5.253175791679003e-06
0.30000000000000004,3,0.09987683086404764,0.49104390291507355,0.002441620061591103,0.00649215688109864,0.026886272967801314,1.1440406842221678e-05
0.30000000000000004,4,0.09917260587700742,0.4693317206583616,0.0028421040359217606,0.007813487762886881,0.030779323527581857,1.9869669408153524e-05
