timestep,x,y,theta,sdf_value,risk_margin_stage0,risk_margin_5,risk_margin_max,path_s,predicted_s,solver_status,planner_projected_s_raw,planner_projected_s,planner_slice_start_s,planner_slice_lookback,slice_start_s,slice_end_s,slice_start_idx,slice_end_idx,slice_n_segments
0,0.3,0.2,0.0,0.10499998927116394,,,,0.015811388300841868,0.02573940761233771,0,0.015811388300841864,0.04581138830084186,0.01581138830084186,0.03,0.0,0.987913663321624,0,4,5
1,0.3090564520233294,0.2,-3.0158351909480827e-10,0.10499998927116394,,,,0.026286970380616885,0.03379732701596547,0,0.024403093074970236,0.05440309307497024,0.02440309307497024,0.03,0.0,0.987913663321624,0,4,5
2,0.3159732389195164,0.199999999997914,0.11074918830604878,0.09698647260665894,,,,0.030964933278897874,0.03974163999352297,0,0.030964933278897867,0.06096493327889786,0.030964933278897863,0.03,0.0,0.987913663321624,0,4,5
3,0.32371433047017945,0.2008608420038872,0.18166407372944549,0.09132964164018631,,,,0.04048062299951423,0.04980411098430444,0,0.03858099968613421,0.06858099968613421,0.03858099968613421,0.03,0.0,0.987913663321624,0,4,5
4,0.3335824507822434,0.2026735094001265,0.2362098083405586,0.08602458238601685,,,,0.04851593637058663,0.05704895299367928,0,0.048515936370586626,0.07851593637058663,0.048515936370586626,0.03,0.0,0.987913663321624,0,4,5
5,0.3412378623063341,0.20451619171158558,0.31965463082332296,0.07919541746377945,,,,0.056361204734026386,0.06639507562337882,0,0.05636120473402637,0.08636120473402636,0.056361204734026366,0.03,0.0,0.987913663321624,0,4,5
6,0.35143467047177146,0.20789139794327532,0.3586268744132088,0.07364734262228012,,,,0.06710208026049523,0.07596893600969158,0,0.06710208026049522,0.09710208026049522,0.06710208026049522,0.03,0.0,0.987913663321624,0,4,5
7,0.36003107348202973,0.21111363919061782,0.45309706158055585,0.06559563428163528,,,,0.07627630637085285,0.0857663598693575,0,0.07627630637085282,0.10627630637085282,0.07627630637085282,0.03,0.0,0.987913663321624,0,4,5
8,0.3698969190572189,0.21591712738895577,0.49726413952205967,0.058756064623594284,,,,0.08715486563122904,0.09725303360865274,0,0.08715486563122901,0.11715486563122901,0.08715486563122901,0.03,0.0,0.987913663321624,0,4,5
9,0.3801790780082081,0.22149782482991104,0.5468675842364408,0.05106402188539505,,,,0.09867414958050226,0.10715113308781629,0,0.09867414958050225,0.12867414958050225,0.09867414958050225,0.03,0.0,0.987913663321624,0,4,5
