timestep,time,x,y,theta,v,omega,solver_computation_time,solver_raw_status,solver_status_code,solver_success
0,0.1,0.3090564520233294,0.2,-3.0158351909480827e-10,0.09056452023329371,-3.0158351909480822e-09,0.3329939842224121,success,0,True
1,0.2,0.3159732389195164,0.199999999997914,0.11074918830604878,0.06916786896187045,1.107491886076323,0.04428434371948242,success,0,True
2,0.30000000000000004,0.32371433047017945,0.2008608420038872,0.18166407372944549,0.07788809110191029,0.709148854233967,0.046979665756225586,success,0,True
3,0.4,0.3335824507822434,0.2026735094001265,0.2362098083405586,0.1003322289111323,0.5454573461111312,0.07649469375610352,success,0,True
4,0.5,0.3412378623063341,0.20451619171158558,0.31965463082332296,0.07874058909110687,0.8344482248276437,0.04777336120605469,success,0,True
5,0.6000000000000001,0.35143467047177146,0.20789139794327532,0.3586268744132088,0.10740899118284593,0.3897224358988583,0.05937337875366211,success,0,True
6,0.7000000000000001,0.36003107348202973,0.21111363919061782,0.45309706158055585,0.0918046749195558,0.9447018716734707,0.0478973388671875,success,0,True
7,0.8,0.3698969190572189,0.21591712738895577,0.49726413952205967,0.1097307649590811,0.44167077941503796,0.05447888374328613,success,0,True
8,0.9,0.3801790780082081,0.22149782482991104,0.5468675842364408,0.11699016053535985,0.49603444714381084,0.053441524505615234,success,0,True
9,1.0,0.388946672790735,0.22683556788575746,0.5868606454948851,0.1026461003647142,0.3999306125844433,0.049462080001831055,success,0,True
10,1.1,0.40042034925893644,0.23446577414877728,0.6138753324602578,0.13779161778322588,0.2701468696537273,0.06162142753601074,success,0,True
11,1.2000000000000002,0.4086545897369263,0.2402684676377733,0.7092880960695426,0.10073428809328203,0.9541276360928475,0.05164504051208496,success,0,True
12,1.3,0.4186444249854005,0.24884265902612057,0.7513638492123678,0.1316486104201887,0.4207575314282521,0.05301165580749512,success,0,True
13,1.4000000000000001,0.4261792373859298,0.25588128291821793,0.7911197577645934,0.10310946814215148,0.39755908552225633,0.04803156852722168,success,0,True
14,1.5,0.4369006255011516,0.2667260652593509,0.8118482482666817,0.15249834987427546,0.2072849050208821,0.051349639892578125,success,0,True
15,1.6,0.4436584315414433,0.27385116088368505,0.9250794430871885,0.09820128824720635,1.1323119482050683,0.04611372947692871,success,0,True
16,1.7000000000000002,0.4511177578334987,0.2837511528050969,0.9768286037392679,0.12395619741480013,0.5174916065207943,0.07417035102844238,success,0,True
17,1.8,0.4565249079312963,0.29175797990216473,1.0214959691404821,0.09661601955289406,0.446673654012142,0.09108233451843262,success,0,True
18,1.9000000000000001,0.4643702266658444,0.3045741337595371,1.0254124981601007,0.15026737029125536,0.039165290196185754,0.09300422668457031,success,0,True
19,2.0,0.46826683582186707,0.3109960039231428,1.0831488636372855,0.07511589666176449,0.5773636547718484,0.0630195140838623,success,0,True
20,2.1,0.47444325073635496,0.322641485177106,1.102531109366664,0.13182007996975145,0.19382245729378644,0.06480646133422852,success,0,True
21,2.2,0.47818576672519925,0.33004089987358354,1.1941823841171761,0.08292030136052497,0.9165127475051204,0.059854745864868164,success,0,True
22,2.3000000000000003,0.48152946292889437,0.33849542772059926,1.2400348618813017,0.09091718507442324,0.458524777641255,0.06634211540222168,success,0,True
23,2.4000000000000004,0.48509511366860036,0.3488795310352081,1.3081513533407474,0.10979228882122606,0.6811649145944569,0.08478021621704102,success,0,True
24,2.5,0.48745233773333635,0.35764714919338886,1.335812871319919,0.09078966541354329,0.27661517979171607,0.06590080261230469,success,0,True
25,2.6,0.48965441782218155,0.36684524009058544,1.4094460630611962,0.094580142139235,0.7363319174127718,0.09613299369812012,success,0,True
26,2.7,0.4918046413834836,0.3800558260058886,1.435193825249431,0.13384432807899785,0.25747762188234663,0.0747528076171875,success,0,True
27,2.8000000000000003,0.4937372415531914,0.39422031431414234,1.4691984870938353,0.14295722173105177,0.34004661844404405,0.04672122001647949,success,0,True
28,2.9000000000000004,0.4949279384021848,0.4058996688310308,1.4821329771284493,0.11739892713196534,0.129344900346139,0.04908561706542969,success,0,True
29,3.0,0.49553392811637076,0.412716475891582,1.5630118028103563,0.06843689212294765,0.8087882568190714,0.06503129005432129,success,0,True
30,3.1,0.4956474976364552,0.4273053224596343,1.6001648721711468,0.14589288612611112,0.37153069360790375,0.04611635208129883,success,0,True
31,3.2,0.4954333620980255,0.4345945486491408,1.6187355475274992,0.0729237084017303,0.18570675356352437,0.05006718635559082,success,0,True
32,3.3000000000000003,0.49464308860706285,0.4510668231696522,1.6368469175551366,0.16491220696770942,0.18111370027637427,0.0473935604095459,success,0,True
33,3.4000000000000004,0.4938010899942826,0.46379606283033953,1.6424369941375228,0.12757057027509874,0.055900765823863,0.049520254135131836,success,0,True
34,3.5,0.4924235014011063,0.4829922968357696,1.6026888528890328,0.19245600804424867,-0.39748141248489827,0.04839920997619629,success,0,True
35,3.6,0.49158926441900475,0.5091411856718567,1.603157249980382,0.2616219292613575,0.004683970913490931,0.045271873474121094,success,0,True
36,3.7,0.4910900280781097,0.524562935361043,1.5492421184149068,0.15429828268648627,-0.5391513156547504,0.047310829162597656,success,0,True
37,3.8000000000000003,0.491464149769893,0.5419174930614614,1.5311023290386485,0.17358589804975902,-0.18139789376258308,0.0471036434173584,success,0,True
38,3.9000000000000004,0.49210511252982153,0.5580566104156701,1.411102329038864,0.16151840211955296,-1.1999999999978455,0.04639077186584473,success,0,True
39,4.0,0.49553962051364986,0.5793802823646145,1.358846143048116,0.21598491393548191,-0.5225618599074797,0.044979095458984375,success,0,True
40,4.1000000000000005,0.4988617061520912,0.5948187692447062,1.3418409989100841,0.15791869114702825,-0.17005144138031947,0.048255205154418945,success,0,True
41,4.2,0.5034630043527865,0.6145632976051111,1.384311174142911,0.20273587381283847,0.4247017523282681,0.04865908622741699,success,0,True
42,4.3,0.5054938843918209,0.6253270651417985,1.463090252359505,0.10953682728507076,0.78779078216594,0.0605924129486084,success,0,True
43,4.4,0.5076991680838195,0.6457228465717341,1.4922498039839216,0.20514657596457758,0.2915955162441648,0.06878161430358887,success,0,True
44,4.5,0.5085772970862836,0.6568795768653244,1.5034576267757118,0.11191235025183124,0.11207822791790292,0.05306100845336914,success,0,True
45,4.6000000000000005,0.5096170632783356,0.6722970724462376,1.474441161165057,0.154525170675076,-0.29016465610654907,0.047098398208618164,success,0,True
46,4.7,0.5107531919906139,0.684051610634245,1.4186311437703443,0.11809316511305284,-0.5581001739471269,0.04672503471374512,success,0,True
47,4.800000000000001,0.5128932231878266,0.6980067656097505,1.375117893484364,0.14118288986821942,-0.43513250285980276,0.0466618537902832,success,0,True
48,4.9,0.5149099914728609,0.7081814260680374,1.3003235632803918,0.10372611520583694,-0.7479433020397215,0.06186985969543457,success,0,True
49,5.0,0.518736171741594,0.7219810409551635,1.2225079773525025,0.14320231369703385,-0.7781558592788932,0.05153203010559082,success,0,True
50,5.1000000000000005,0.522724252289956,0.7329647660141032,1.1211685418480486,0.11685332799308906,-1.0133943550445395,0.04953408241271973,success,0,True
51,5.2,0.5281534102725546,0.7442146667327549,1.0198345040821932,0.12491437970847619,-1.0133403776585528,0.04693603515625,success,0,True
52,5.300000000000001,0.5340067024529778,0.7537410541723062,0.9125827270652737,0.11180925140516927,-1.0725177701691957,0.04601240158081055,success,0,True
53,5.4,0.5404592321569293,0.7620857800585411,0.8051857788528922,0.10548440154675762,-1.0739694821238137,0.04636430740356445,success,0,True
54,5.5,0.5479445393319199,0.7698733403111575,0.7054398335958674,0.10801662751266479,-0.9974594525702488,0.04766702651977539,success,0,True
55,5.6000000000000005,0.5562960477980601,0.7769857387974419,0.6192412160993976,0.109696812117633,-0.8619861749646973,0.046289682388305664,success,0,True
56,5.7,0.565294512582618,0.7833995215978495,0.5446395559500107,0.11050293131393994,-0.7460166014938692,0.04896879196166992,success,0,True
57,5.800000000000001,0.574610244232152,0.7890425621792935,0.4801720306786804,0.10891591397493414,-0.6446752527133024,0.0488736629486084,success,0,True
58,5.9,0.584212663212486,0.7940437854563405,0.424426069596445,0.10826757803735854,-0.5574596108223538,0.0497288703918457,success,0,True
59,6.0,0.5940347903880963,0.7984823246028492,0.37597651768651846,0.10778442002856956,-0.48449551909926536,0.04920768737792969,success,0,True
60,6.1000000000000005,0.6032473746810734,0.8021190367597929,0.3340111312619044,0.09904412383764696,-0.41965386424614076,0.04752016067504883,success,0,True
61,6.2,0.6127082141874775,0.8054020690534026,0.2975802971559977,0.10014279065755051,-0.36430834105906673,0.04719996452331543,success,0,True
62,6.300000000000001,0.6215863347178744,0.8081248730787352,0.2657362810601128,0.09286263291153414,-0.31844016095884875,0.0503537654876709,success,0,True
63,6.4,0.6299398481103192,0.8103984757137856,0.23806086504650759,0.08657393079897907,-0.27675416013605225,0.04866504669189453,success,0,True
64,6.5,0.6387034494504774,0.812525072356979,0.21364723716013684,0.09017933340409197,-0.2441362788637075,0.05715179443359375,success,0,True
65,6.6000000000000005,0.6470164778174786,0.8143286533396419,0.19198230368538063,0.08506429626558411,-0.2166493347475621,0.04982280731201172,success,0,True
66,6.7,0.6549152688854873,0.8158639907050171,0.17286089545110847,0.08046624209043926,-0.19121408234272164,0.04769730567932129,success,0,True
67,6.800000000000001,0.6624655014341514,0.8171822875229304,0.15592156873805543,0.07664458104721149,-0.16939326713053046,0.04884958267211914,success,0,True
68,6.9,0.6697306453611291,0.8183243502962511,0.14084961301917776,0.0735436085991889,-0.1507195571887767,0.0477757453918457,success,0,True
69,7.0,0.6767658380363581,0.8193218596033494,0.12737818544743595,0.0710555844359499,-0.134714275717418,0.04685401916503906,success,0,True
70,7.1000000000000005,0.6836175148864446,0.8201993648090536,0.11528308150133462,0.06907640048819103,-0.12095103946101335,0.04721236228942871,success,0,True
71,7.2,0.6903242865396444,0.8209759856435246,0.10437547669642873,0.067515869192878,-0.10907604804905888,0.047524213790893555,success,0,True
72,7.300000000000001,0.6969180327855916,0.8216667212212393,0.09449572215003708,0.0662982693546856,-0.09879754546391645,0.049747467041015625,success,0,True
